energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.53776888,0.60628698,-0.65375233,0.10674072,-0.10720320,0.10065288,-0.11045873,0.10373853,-0.11017418,0.00000000,-0.00000000,0.01559814,-0.01745662,0.02520486,-0.03333245,0.03839835,-0.04320029,0.35347432,-0.37287456
-5.53176588,0.59262484,-0.63186144,0.10805752,-0.10598673,0.09898656,-0.10593484,0.10215278,-0.10752224,0.00000000,-0.00000000,0.01467002,-0.01663457,0.02420719,-0.03042009,0.03636722,-0.04123636,0.34648338,-0.36343261
-5.52576288,0.58075752,-0.61134867,0.11009564,-0.10532308,0.09784639,-0.10206380,0.10073887,-0.10492916,0.00000000,-0.00000000,0.01371050,-0.01575237,0.02354184,-0.02803888,0.03429867,-0.03920907,0.34009667,-0.35403778
-5.51975988,0.57112751,-0.59248588,0.11296591,-0.10528575,0.09728326,-0.09883999,0.09959201,-0.10245783,0.00000000,-0.00000000,0.01273354,-0.01482369,0.02319514,-0.02614192,0.03220973,-0.03712994,0.33462832,-0.34493796
-5.51375688,0.56419348,-0.57560785,0.11678058,-0.10596284,0.09735493,-0.09627410,0.09881124,-0.10018357,0.00000000,-0.00000000,0.01175262,-0.01386253,0.02315756,-0.02468991,0.03011911,-0.03501333,0.33039716,-0.33641225
-5.50775388,0.56040949,-0.56109789,0.12164835,-0.10745325,0.09812192,-0.09439075,0.09849548,-0.09819130,0.00000000,-0.00000000,0.01078041,-0.01288276,0.02342261,-0.02365067,0.02804652,-0.03287597,0.32771473,-0.32876188
-5.50175088,0.56020397,-0.54937063,0.12766937,-0.10986241,0.09964321,-0.09322541,0.09873980,-0.09657225,0.00000000,-0.00000000,0.00982851,-0.01189786,0.02398564,-0.02299845,0.02601192,-0.03073639,0.32687322,-0.32229981
-5.49574787,0.56395933,-0.54085296,0.13493023,-0.11329750,0.10197201,-0.09282073,0.09963171,-0.09542039,0.00000000,-0.00000000,0.00890724,-0.01092052,0.02484266,-0.02271291,0.02403479,-0.02861423,0.32813400,-0.31733945
-5.48974487,0.57199308,-0.53596386,0.14349941,-0.11786247,0.10515184,-0.09322264,0.10124790,-0.09482882,0.00000000,-0.00000000,0.00802545,-0.00996242,0.02598921,-0.02277804,0.02213338,-0.02652953,0.33171699,-0.31418309
-5.48374187,0.58454131,-0.53509407,0.15342310,-0.12365296,0.10921302,-0.09447621,0.10365130,-0.09488606,0.00000000,-0.00000000,0.00719043,-0.00903399,0.02741931,-0.02318092,0.02032417,-0.02450196,0.33779149,-0.31311031
-5.47773887,0.60174520,-0.53858658,0.16472189,-0.13075133,0.11416968,-0.09662159,0.10688885,-0.09567267,0.00000000,-0.00000000,0.00640789,-0.00814421,0.02912452,-0.02391045,0.01862128,-0.02255018,0.34646884,-0.31436702
