energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-5.89794897,3.77781803,0.11042641,0.03982756,0.81213475,0.19419125,0.03057814,0.95020717,0.53768120,1.67249355
-5.89194597,3.77743528,0.10636249,0.03973140,0.84256347,0.20317126,0.03126529,0.99001683,0.53694341,1.61524053
-5.88594297,3.79019776,0.10209720,0.03976968,0.87224275,0.21245528,0.03207407,1.03125487,0.53580835,1.56747215
-5.87993997,3.81501693,0.09768527,0.03993661,0.90098035,0.22195284,0.03300044,1.07362145,0.53428615,1.52859410
-5.87393697,3.85085217,0.09318805,0.04022644,0.92864303,0.23157949,0.03404055,1.11684635,0.53240813,1.49800342
-5.86793397,3.89675843,0.08867241,0.04063418,0.95516675,0.24126140,0.03519120,1.16070604,0.53022908,1.47510383
-5.86193097,3.95193283,0.08420941,0.04115635,0.98056507,0.25093967,0.03645041,1.20503978,0.52782913,1.45932176
-5.85592796,4.01575745,0.07987282,0.04179158,1.00493532,0.26057432,0.03781789,1.24976420,0.52531479,1.45012202
-5.84992496,4.08783576,0.07573743,0.04254120,1.02846211,0.27014758,0.03929538,1.29488526,0.52281925,1.44702227
-5.84392196,4.16802003,0.07187737,0.04340971,1.05141775,0.27966640,0.04088685,1.34050687,0.52050182,1.44960510
-5.83791896,4.25642757,0.06836438,0.04440496,1.07415938,0.28916398,0.04259859,1.38683538,0.51854639,1.45752714
-5.83191596,4.35344387,0.06526609,0.04553837,1.09712264,0.29870004,0.04443909,1.43417937,0.51715899,1.47052419
-5.82591296,4.45971142,0.06264443,0.04682470,1.12081173,0.30836000,0.04641871,1.48294435,0.51656425,1.48841199
-5.81990995,4.57610346,0.06055407,0.04828186,1.14578626,0.31825281,0.04854922,1.53362212,0.51700098,1.51108224
-5.81390695,4.70368279,0.05904116,0.04993029,1.17264484,0.32850753,0.05084315,1.58677489,0.51871668,1.53849374
-5.80790395,4.84364635,0.05814207,0.05179230,1.20200601,0.33926881,0.05331289,1.64301450,0.52196127,1.57065883
-5.80190095,4.99725724,0.05788246,0.05389112,1.23448692,0.35069125,0.05596983,1.70297716,0.52698000,1.60762555
-5.79589795,5.16576625,0.05827650,0.05624984,1.27068047,0.36293298,0.05882331,1.76729477,0.53400575,1.64945615
-5.78989495,5.35032612,0.05932630,0.05889022,1.31113151,0.37614865,0.06187951,1.83656363,0.54325094,1.69620292
-5.78389195,5.55190168,0.06102163,0.06183138,1.35631300,0.39048204,0.06514045,1.91131181,0.55489923,1.74788236
-5.77788894,5.77118002,0.06333978,0.06508849,1.40660283,0.40605863,0.06860302,1.99196656,0.56909731,1.80444909
-5.77188594,6.00848462,0.06624570,0.06867144,1.46226216,0.42297842,0.07225807,2.07882307,0.58594701,1.86577061
-5.76588294,6.26369749,0.06969242,0.07258363,1.52341617,0.44130928,0.07608981,2.17201602,0.60549816,1.93160458
-5.75987994,6.53619358,0.07362166,0.07682087,1.59003783,0.46108117,0.08007532,2.27149523,0.62774230,2.00157968
-5.75387694,6.82479068,0.07796468,0.08137039,1.66193560,0.48228130,0.08418442,2.37700666,0.65260775,2.07518145
-5.74787394,7.12771814,0.08264342,0.08621025,1.73874551,0.50485071,0.08837974,2.48807973,0.67995612,2.15174396
-5.74187094,7.44260665,0.08757184,0.09130885,1.81992832,0.52868216,0.09261716,2.60402182,0.70958069,2.23044822
-5.73586793,7.76650066,0.09265754,0.09662487,1.90477202,0.55361964,0.09684656,2.72392048,0.74120663,2.31032764
-5.72986493,8.09589402,0.09780350,0.10210750,1.99240008,0.57945949,0.10101282,2.84665365,0.77449336,2.39028078
-5.72386193,8.42678844,0.10291009,0.10769704,2.08178550,0.60595310,0.10505711,2.97090776,0.80903906,2.46909108
-5.71785893,8.75477361,0.10787720,0.11332584,2.17177050,0.63281121,0.10891845,3.09520341,0.84438726,2.54545305
-5.71185593,9.07512652,0.11260640,0.11891954,2.26109181,0.65970963,0.11253536,3.21792804,0.88003548,2.61800401
-5.70585293,9.38292702,0.11700323,0.12439867,2.34841076,0.68629632,0.11584769,3.33737449,0.91544570,2.68536011
-5.69984992,9.67318575,0.12097941,0.12968048,2.43234781,0.71219950,0.11879850,3.45178452,0.95005642,2.74615540
-5.69384692,9.94098002,0.12445499,0.13468094,2.51152032,0.73703677,0.12133586,3.55939560,0.98329598,2.79908218
-5.68784392,10.18159282,0.12736030,0.13931692,2.58458257,0.76042466,0.12341463,3.65848975,1.01459678,2.84293114
-5.68184092,10.39064993,0.12963770,0.14350842,2.65026669,0.78198867,0.12499799,3.74744246,1.04340992,2.87662953
-5.67583792,10.56425015,0.13124305,0.14718078,2.70742304,0.80137320,0.12605886,3.82477028,1.06921976,2.89927582
-5.66983492,10.69908375,0.13214678,0.15026678,2.75505849,0.81825125,0.12658091,3.88917507,1.09155804,2.91016940
-5.66383192,10.79253465,0.13233464,0.15270862,2.79237094,0.83233344,0.12655936,3.93958359,1.11001695,2.90883419
-5.65782891,10.84276264,0.13180797,0.15445963,2.81877868,0.84337617,0.12600128,3.97518075,1.12426068,2.89503503
-5.65182591,10.84876225,0.13058356,0.15548568,2.83394308,0.85118858,0.12492569,3.99543528,1.13403519,2.86878642
-5.64582291,10.81039627,0.12869311,0.15576627,2.83778343,0.85563800,0.12336308,4.00011688,1.13917568,2.83035323
-5.63981991,10.72840240,0.12618225,0.15529523,2.83048302,0.85665384,0.12135469,3.98930399,1.13961151,2.78024334
-5.63381691,10.60437294,0.12310918,0.15408100,2.81248595,0.85422964,0.11895139,3.96338198,1.13536848,2.71919273
-5.62781391,10.44070822,0.11954301,0.15214659,2.78448458,0.84842327,0.11621222,3.92303162,1.12656830,2.64814358
-5.62181091,10.24054556,0.11556182,0.14952904,2.74739779,0.83935516,0.11320267,3.86920820,1.11342528,2.56821635
-5.61580790,10.00766659,0.11125057,0.14627863,2.70234109,0.82720471,0.10999277,3.80311226,1.09624037,2.48067706
-5.60980490,9.74638638,0.10669880,0.14245774,2.65058953,0.81220499,0.10665502,3.72615271,1.07539286,2.38690101
-5.60380190,9.46142882,0.10199836,0.13813940,2.59353526,0.79463581,0.10326222,3.63990411,1.05132989,2.28833437
-5.59779890,9.15779283,0.09724116,0.13340570,2.53264143,0.77481552,0.09988535,3.54605946,1.02455432,2.18645512
-5.59179590,8.84061460,0.09251697,0.12834602,2.46939479,0.75309183,0.09659153,3.44638059,0.99561136,2.08273473
-5.58579290,8.51503083,0.08791139,0.12305516,2.40525888,0.72983188,0.09344205,3.34264802,0.96507439,1.97860188
-5.57978989,8.18604812,0.08350408,0.11763148,2.34163033,0.70541212,0.09049074,3.23661215,0.93353055,1.87540947
-5.57378689,7.85842288,0.07936716,0.11217503,2.27979997,0.68020822,0.08778255,3.12994786,0.90156661,1.77440577
-5.56778389,7.53655597,0.07556394,0.10678577,2.22092062,0.65458544,0.08535244,3.02421399,0.86975546,1.67671066
-5.56178089,7.22440507,0.07214794,0.10156183,2.16598281,0.62888984,0.08322469,2.92081931,0.83864375,1.58329735
-5.55577789,6.92541746,0.06916223,0.09659798,2.11579930,0.60344057,0.08141258,2.82099596,0.80874098,1.49497989
-5.54977489,6.64248425,0.06663906,0.09198414,2.07099870,0.57852356,0.07991843,2.72578116,0.78051028,1.41240657
-5.54377189,6.37791665,0.06459981,0.08780410,2.03202793,0.55438670,0.07873407,2.63600742,0.75436109,1.33605892
-5.53776888,6.13344362,0.06305524,0.08413429,1.99916291,0.53123677,0.07784163,2.55230121,0.73064374,1.26625592
-5.53176588,5.91022921,0.06200597,0.08104276,1.97252608,0.50923793,0.07721465,2.47508940,0.70964605,1.20316280
-5.52576288,5.70890730,0.06144326,0.07858815,1.95210933,0.48851195,0.07681951,2.40461282,0.69159167,1.14680378
-5.51975988,5.52963071,0.06134987,0.07681886,1.93780042,0.46913988,0.07661702,2.34094547,0.67664022,1.09707779
-5.51375688,5.37213111,0.06170122,0.07577226,1.92941094,0.45116514,0.07656413,2.28401810,0.66488877,1.05377633
