energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
1.04752376,2.58635679,0.54518106,0.00000000,1.68931040,1.57577837,0.11442655,0.25762881
1.05352676,2.56981918,0.53888134,0.00000000,1.69895933,1.56274911,0.11247327,0.25469817
1.05952976,2.55371550,0.53279816,0.00000000,1.71070258,1.55007852,0.11041052,0.25236462
1.06553277,2.53696079,0.52683073,0.00000000,1.72346379,1.53707232,0.10821729,0.25046852
1.07153577,2.51853407,0.52087614,0.00000000,1.73621587,1.52308050,0.10587329,0.24884804
1.07753877,2.49751993,0.51483553,0.00000000,1.74801798,1.50752267,0.10336031,0.24734590
1.08354177,2.47314489,0.50861971,0.00000000,1.75804753,1.48991013,0.10066353,0.24581572
1.08954477,2.44480704,0.50215389,0.00000000,1.76562617,1.46986349,0.09777265,0.24412760
1.09554777,2.41209777,0.49538143,0.00000000,1.77023849,1.44712547,0.09468276,0.24217290
1.10155078,2.37481469,0.48826624,0.00000000,1.77154296,1.42156822,0.09139501,0.23986778
1.10755378,2.33296561,0.48079395,0.00000000,1.76937472,1.39319520,0.08791694,0.23715558
1.11355678,2.28676338,0.47297168,0.00000000,1.76374050,1.36213754,0.08426261,0.23400775
1.11955978,2.23661219,0.46482667,0.00000000,1.75480613,1.32864539,0.08045239,0.23042355
1.12556278,2.18308636,0.45640380,0.00000000,1.74287770,1.29307473,0.07651244,0.22642827
1.13156578,2.12690272,0.44776226,0.00000000,1.72837754,1.25587049,0.07247412,0.22207047
1.13756878,2.06888834,0.43897183,0.00000000,1.71181666,1.21754699,0.06837300,0.21741808
1.14357179,2.00994529,0.43010873,0.00000000,1.69376515,1.17866658,0.06424789,0.21255382
1.14957479,1.95101439,0.42125175,0.00000000,1.67482239,1.13981786,0.06013966,0.20757011
1.15557779,1.89303964,0.41247863,0.00000000,1.65558858,1.10159429,0.05609010,0.20256380
1.16158079,1.83693533,0.40386314,0.00000000,1.63663918,1.06457435,0.05214075,0.19763105
1.16758379,1.78355709,0.39547293,0.00000000,1.61850325,1.02930406,0.04833179,0.19286251
1.17358679,1.73367816,0.38736834,0.00000000,1.60164688,0.99628254,0.04470110,0.18833924
