energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-4.93746873,3.49502953,1.89452454,1.64133906,0.03316954,0.30345999,0.22749956,0.04546081,1.65297180
-4.93146573,3.37658214,1.90020777,1.61506039,0.03148325,0.28535431,0.22180199,0.04246298,1.57951873
-4.92546273,3.27049070,1.90787652,1.59420694,0.03004150,0.26871674,0.21725107,0.03963158,1.51153596
-4.91945973,3.17795530,1.91741599,1.57923101,0.02886624,0.25366853,0.21395918,0.03699753,1.44973243
-4.91345673,3.09980744,1.92868920,1.57038293,0.02797245,0.24029456,0.21200157,0.03458536,1.39466483
-4.90745373,3.03651648,1.94155601,1.56771201,0.02736782,0.22864526,0.21141508,0.03241318,1.34673934
-4.90145073,2.98820965,1.95589240,1.57107613,0.02705265,0.21873955,0.21219775,0.03049291,1.30621918
-4.89544772,2.95470374,1.97160819,1.58015910,0.02701990,0.21056825,0.21430952,0.02883072,1.27323705
-4.88944472,2.93554669,1.98866209,1.59449537,0.02725547,0.20409801,0.21767389,0.02742761,1.24781141
-4.88344172,2.93006671,2.00707303,1.61350065,0.02773862,0.19927541,0.22218048,0.02628010,1.22986569
-4.87743872,2.93742672,2.02692680,1.63650740,0.02844263,0.19603109,0.22768835,0.02538106,1.21924922
-4.87143572,2.95668181,2.04837763,1.66280349,0.02933554,0.19428381,0.23403020,0.02472054,1.21575894
-4.86543272,2.98683724,2.07164463,1.69167254,0.03038110,0.19394420,0.24101712,0.02428663,1.21916112
-4.85942971,3.02690504,2.09700315,1.72243409,0.03153978,0.19491831,0.24844389,0.02406631,1.22921190
-4.85342671,3.07595690,2.12477187,1.75448198,0.03276993,0.19711071,0.25609476,0.02404626,1.24567642
-4.84742371,3.13317168,2.15529620,1.78731918,0.03402896,0.20042723,0.26374946,0.02421361,1.26834543
-4.84142071,3.19787567,2.18892916,1.82058739,0.03527454,0.20477733,0.27118931,0.02455653,1.29704931
-4.83541771,3.26957414,2.22601085,1.85409000,0.03646585,0.21007600,0.27820329,0.02506482,1.33166865
-4.82941471,3.34797299,2.26684770,1.88780724,0.03756474,0.21624533,0.28459389,0.02573028,1.37214136
-4.82341171,3.43298926,2.31169252,1.92190236,0.03853676,0.22321563,0.29018241,0.02654700,1.41846569
-4.81740870,3.52475009,2.36072662,1.95671836,0.03935216,0.23092622,0.29481370,0.02751147,1.47069922
-4.81140570,3.62357949,2.41404456,1.99276508,0.03998666,0.23932573,0.29836007,0.02862255,1.52895335
-4.80540270,3.72997314,2.47164237,2.03069665,0.04042202,0.24837202,0.30072420,0.02988125,1.59338350
-4.79939970,3.84456166,2.53340960,2.07128016,0.04064645,0.25803166,0.30184096,0.03129046,1.66417495
-4.79339670,3.96806337,2.59912532,2.11535655,0.04065474,0.26827896,0.30167809,0.03285437,1.74152456
-4.78739370,4.10122807,2.66845818,2.16379524,0.04044817,0.27909448,0.30023568,0.03457794,1.82561888
-4.78139070,4.24477389,2.74097020,2.21744453,0.04003418,0.29046312,0.29754451,0.03646609,1.91660928
-4.77538769,4.39931978,2.81612407,2.27707991,0.03942586,0.30237180,0.29366333,0.03852299,2.01458488
-4.76938469,4.56531679,2.89329346,2.34335288,0.03864120,0.31480668,0.28867523,0.04075111,2.11954456
-4.76338169,4.74298116,2.97177600,2.41674281,0.03770224,0.32775024,0.28268330,0.04315045,2.23136923
-4.75737869,4.93223321,3.05080829,2.49751442,0.03663409,0.34117801,0.27580582,0.04571762,2.34979588
-4.75137569,5.13264526,3.12958275,2.58568349,0.03546385,0.35505549,0.26817119,0.04844521,2.47439500
-4.74537269,5.34340232,3.20726579,2.68099282,0.03421960,0.36933507,0.25991286,0.05132106,2.60455305
-4.73936968,5.56327855,3.28301706,2.78290029,0.03292936,0.38395344,0.25116459,0.05432791,2.73946133
-4.73336668,5.79063196,3.35600949,2.89058029,0.03162012,0.39882952,0.24205613,0.05744309,2.87811287
-4.72736368,6.02341943,3.42545001,3.00293912,0.03031709,0.41386316,0.23270965,0.06063858,3.01930820
-4.72136068,6.25923264,3.49060055,3.11864432,0.02904299,0.42893481,0.22323687,0.06388125,3.16167095
-4.71535768,6.49535499,3.55079927,3.23616709,0.02781758,0.44390630,0.21373727,0.06713339,3.30367332
-4.70935468,6.72883817,3.60548156,3.35383644,0.02665737,0.45862270,0.20429706,0.07035356,3.44367130
-4.70335168,6.95659584,3.65420053,3.46990269,0.02557551,0.47291557,0.19498915,0.07349759,3.57994880
-4.69734867,7.17551124,3.69664619,3.58260773,0.02458189,0.48660716,0.18587398,0.07651987,3.71076921
-4.69134567,7.38255381,3.73266303,3.69025872,0.02368338,0.49951587,0.17700094,0.07937482,3.83443261
-4.68534267,7.57490006,3.76226479,3.79130160,0.02288420,0.51146242,0.16841050,0.08201842,3.94933612
-4.67933967,7.75005246,3.78564581,3.88439083,0.02218647,0.52227671,0.16013659,0.08440980,4.05403474
-4.67333667,7.90595064,3.80318784,3.96845162,0.02159071,0.53180494,0.15220927,0.08651284,4.14729970
-4.66733367,8.04106878,3.81546141,4.04273120,0.02109652,0.53991669,0.14465732,0.08829762,4.22817135
-4.66133067,8.15449372,3.82322084,4.10683633,0.02070310,0.54651155,0.13751079,0.08974176,4.29600360
-4.65532766,8.24597901,3.82739229,4.16075443,0.02040984,0.55152492,0.13080307,0.09083142,4.35049741
-4.64932466,8.31597126,3.82905418,4.20485711,0.02021678,0.55493275,0.12457270,0.09156208,4.39172113
-4.64332166,8.36560633,3.82941008,4.23988504,0.02012500,0.55675471,0.11886454,0.09193892,4.42011608
-4.63731866,8.39667448,3.82975410,4.26691478,0.02013679,0.55705574,0.11373037,0.09197691,4.43648667
-4.63131566,8.41155534,3.83142969,4.28730859,0.02025582,0.55594580,0.10922893,0.09170036,4.44197478
-4.62531266,8.41312491,3.83578284,4.30264947,0.02048705,0.55357761,0.10542533,0.09114222,4.43801949
-4.61930965,8.40463864,3.84411140,4.31466447,0.02083652,0.55014271,0.10238990,0.09034300,4.42630342
-4.61330665,8.38959588,3.85761248,4.32513993,0.02131106,0.54586575,0.10019657,0.08934929,4.40868825
-4.60730365,8.37159198,3.87733033,4.33583290,0.02191779,0.54099733,0.09892081,0.08821217,4.38714219
-4.60130065,8.35416544,3.90410718,4.34838326,0.02266361,0.53580582,0.09863723,0.08698532,4.36366298
-4.59529765,8.34064757,3.93853987,4.36423102,0.02355460,0.53056834,0.09941703,0.08572310,4.34020000
-4.58929465,8.33402223,3.98094459,4.38454318,0.02459536,0.52556151,0.10132526,0.08447859,4.31857939
-4.58329165,8.33680279,4.03133235,4.41015402,0.02578844,0.52105238,0.10441812,0.08330175,4.30043583
-4.57728864,8.35093253,4.08939695,4.44152193,0.02713367,0.51728983,0.10874035,0.08223769,4.28715421
-4.57128564,8.37771356,4.15451685,4.47870530,0.02862775,0.51449705,0.11432279,0.08132524,4.27982424
-4.56528264,8.41776764,4.22577181,4.52135854,0.03026378,0.51286526,0.12118026,0.08059573,4.27920983
-4.55927964,8.47103082,4.30197403,4.56874866,0.03203106,0.51254900,0.12930983,0.08007223,4.28573486
-4.55327664,8.53678169,4.38171310,4.61979145,0.03391495,0.51366320,0.13868938,0.07976908,4.29948540
-4.54727364,8.61370143,4.46341288,4.67310536,0.03589693,0.51628200,0.14927686,0.07969181,4.32022826
-4.54127064,8.69996197,4.54539808,4.72708023,0.03795487,0.52043939,0.16100985,0.07983750,4.34744421
-4.53526763,8.79333710,4.62596710,4.77995705,0.04006342,0.52613143,0.17380581,0.08019539,4.38037380
-4.52926463,8.89133011,4.70346780,4.82991474,0.04219458,0.53331995,0.18756282,0.08074784,4.41807295
-4.52326163,8.99131075,4.77637205,4.87515914,0.04431839,0.54193739,0.20216078,0.08147153,4.45947481
-4.51725863,9.09065379,4.84334507,4.91400962,0.04640375,0.55189243,0.21746318,0.08233882,4.50345448
-4.51125563,9.18687152,4.90330579,4.94497886,0.04841930,0.56307598,0.23331928,0.08331917,4.54889249
