energy_ev,total_up,total_down,Ga_p_up,Ga_p_down,Ga_d_up,Ga_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
3.89294647,2.02959916,-2.02959918,0.75311142,-0.75311144,0.00000000,-0.00000000,1.19917042,-1.19917043,0.46789514,-0.46789514,0.01983146,-0.01983146,0.65626298,-0.65626299
3.89894947,2.06070254,-2.06070256,0.78705122,-0.78705124,0.00000000,-0.00000000,1.20215931,-1.20215931,0.47234148,-0.47234148,0.02071855,-0.02071855,0.65690926,-0.65690926
3.90495248,2.08446319,-2.08446321,0.82163171,-0.82163173,0.00000000,-0.00000000,1.19828157,-1.19828156,0.47484392,-0.47484392,0.02157392,-0.02157392,0.65401072,-0.65401072
3.91095548,2.10120498,-2.10120499,0.85688347,-0.85688350,0.00000000,-0.00000000,1.18776147,-1.18776146,0.47549639,-0.47549639,0.02239377,-0.02239377,0.64773211,-0.64773211
3.91695848,2.11138951,-2.11138951,0.89282868,-0.89282870,0.00000000,-0.00000000,1.17095057,-1.17095055,0.47442703,-0.47442703,0.02317507,-0.02317507,0.63829979,-0.63829979
3.92296148,2.11558946,-2.11558946,0.92947137,-0.92947139,0.00000000,-0.00000000,1.14831282,-1.14831280,0.47179164,-0.47179163,0.02391547,-0.02391548,0.62599227,-0.62599226
3.92896448,2.11445871,-2.11445870,0.96678831,-0.96678834,0.00000000,-0.00000000,1.12040646,-1.12040644,0.46776636,-0.46776636,0.02461323,-0.02461323,0.61112933,-0.61112932
3.93496748,2.10870069,-2.10870069,1.00472083,-1.00472086,0.00000000,-0.00000000,1.08786351,-1.08786348,0.46254005,-0.46254005,0.02526708,-0.02526709,0.59406035,-0.59406033
3.94097049,2.09903688,-2.09903687,1.04316828,-1.04316831,0.00000000,-0.00000000,1.05136779,-1.05136776,0.45630664,-0.45630663,0.02587619,-0.02587619,0.57515235,-0.57515233
3.94697349,2.08617674,-2.08617673,1.08198359,-1.08198362,0.00000000,-0.00000000,1.01163275,-1.01163272,0.44925791,-0.44925790,0.02644000,-0.02644000,0.55477840,-0.55477838
3.95297649,2.07079090,-2.07079088,1.12097126,-1.12097128,0.00000000,-0.00000000,0.96937977,-0.96937974,0.44157709,-0.44157708,0.02695817,-0.02695817,0.53330674,-0.53330672
3.95897949,2.05348852,-2.05348851,1.15988805,-1.15988807,0.00000000,-0.00000000,0.92531806,-0.92531803,0.43343336,-0.43343336,0.02743052,-0.02743052,0.51109121,-0.51109119
3.96498249,2.03480008,-2.03480006,1.19844649,-1.19844651,0.00000000,-0.00000000,0.88012682,-0.88012679,0.42497768,-0.42497767,0.02785696,-0.02785696,0.48846322,-0.48846321
3.97098549,2.01516589,-2.01516587,1.23632117,-1.23632119,0.00000000,-0.00000000,0.83444021,-0.83444018,0.41633988,-0.41633987,0.02823750,-0.02823750,0.46572550,-0.46572548
3.97698849,1.99493091,-1.99493089,1.27315757,-1.27315759,0.00000000,-0.00000000,0.78883561,-0.78883558,0.40762722,-0.40762721,0.02857223,-0.02857223,0.44314775,-0.44314773
3.98299150,1.97434551,-1.97434549,1.30858313,-1.30858315,0.00000000,-0.00000000,0.74382525,-0.74382522,0.39892423,-0.39892422,0.02886141,-0.02886141,0.42096424,-0.42096422
3.98899450,1.95357182,-1.95357180,1.34222010,-1.34222012,0.00000000,-0.00000000,0.69985133,-0.69985130,0.39029387,-0.39029386,0.02910550,-0.02910550,0.39937311,-0.39937310
3.99499750,1.93269487,-1.93269486,1.37369949,-1.37369951,0.00000000,-0.00000000,0.65728431,-0.65728428,0.38177968,-0.38177967,0.02930526,-0.02930526,0.37853739,-0.37853737
4.00100050,1.91173758,-1.91173756,1.40267546,-1.40267548,0.00000000,-0.00000000,0.61642415,-0.61642413,0.37340884,-0.37340883,0.02946184,-0.02946184,0.35858721,-0.35858719
4.00700350,1.89067821,-1.89067819,1.42883949,-1.42883951,0.00000000,-0.00000000,0.57750402,-0.57750400,0.36519573,-0.36519573,0.02957688,-0.02957688,0.33962318,-0.33962316
4.01300650,1.86946917,-1.86946915,1.45193339,-1.45193340,0.00000000,-0.00000000,0.54069591,-0.54069589,0.35714588,-0.35714587,0.02965259,-0.02965259,0.32172035,-0.32172034
4.01900950,1.84805567,-1.84805565,1.47176048,-1.47176049,0.00000000,-0.00000000,0.50611767,-0.50611765,0.34925988,-0.34925988,0.02969180,-0.02969180,0.30493262,-0.30493261
4.02501251,1.82639304,-1.82639302,1.48819423,-1.48819424,0.00000000,-0.00000000,0.47384079,-0.47384077,0.34153710,-0.34153709,0.02969802,-0.02969802,0.28929710,-0.28929708
4.03101551,1.80446147,-1.80446145,1.50118380,-1.50118380,0.00000000,-0.00000000,0.44389854,-0.44389852,0.33397891,-0.33397890,0.02967540,-0.02967540,0.27483826,-0.27483825
4.03701851,1.78227720,-1.78227718,1.51075584,-1.51075584,0.00000000,-0.00000000,0.41629378,-0.41629376,0.32659126,-0.32659126,0.02962866,-0.02962866,0.26157167,-0.26157166
4.04302151,1.75989955,-1.75989953,1.51701256,-1.51701256,0.00000000,-0.00000000,0.39100626,-0.39100624,0.31938647,-0.31938647,0.02956300,-0.02956300,0.24950693,-0.24950692
4.04902451,1.73743321,-1.73743319,1.52012576,-1.52012576,0.00000000,-0.00000000,0.36799891,-0.36799890,0.31238410,-0.31238410,0.02948392,-0.02948392,0.23864994,-0.23864993
4.05502751,1.71502575,-1.71502574,1.52032704,-1.52032704,0.00000000,-0.00000000,0.34722304,-0.34722303,0.30561096,-0.30561095,0.02939700,-0.02939700,0.22900430,-0.22900429
4.06103052,1.69286060,-1.69286058,1.51789469,-1.51789469,0.00000000,-0.00000000,0.32862226,-0.32862224,0.29910020,-0.29910019,0.02930764,-0.02930764,0.22057184,-0.22057183
4.06703352,1.67114588,-1.67114587,1.51313775,-1.51313774,0.00000000,-0.00000000,0.31213506,-0.31213505,0.29288963,-0.29288962,0.02922078,-0.02922078,0.21335240,-0.21335239
4.07303652,1.65010007,-1.65010006,1.50637805,-1.50637805,0.00000000,-0.00000000,0.29769631,-0.29769630,0.28701942,-0.28701942,0.02914058,-0.02914058,0.20734292,-0.20734292
4.07903952,1.62993528,-1.62993527,1.49793137,-1.49793136,0.00000000,-0.00000000,0.28523753,-0.28523752,0.28152927,-0.28152926,0.02907015,-0.02907015,0.20253599,-0.20253599
4.08504252,1.61083952,-1.61083950,1.48808852,-1.48808851,0.00000000,-0.00000000,0.27468633,-0.27468633,0.27645531,-0.27645530,0.02901125,-0.02901125,0.19891801,-0.19891801
