energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,W_p_up,W_d_up
4.38519260,0.42846016,0.04029095,0.09973076,0.07596385,0.03405342,0.01299701,0.03490125,0.20511337,0.19702433
4.39119560,0.41128403,0.03860752,0.09563088,0.07334881,0.03266332,0.01243776,0.03395302,0.19740280,0.18877211
4.39719860,0.39318098,0.03683063,0.09125489,0.07065909,0.03117825,0.01184211,0.03301053,0.18928894,0.18003537
4.40320160,0.37461065,0.03500860,0.08670188,0.06799656,0.02963508,0.01122452,0.03212403,0.18099433,0.17100204
4.40920460,0.35607107,0.03319485,0.08207659,0.06547342,0.02807327,0.01060092,0.03134826,0.17275637,0.16187404
4.41520760,0.33808680,0.03144710,0.07748627,0.06321054,0.02653393,0.00998840,0.03074134,0.16482084,0.15286094
4.42121061,0.32119777,0.02982676,0.07303779,0.06133603,0.02505907,0.00940502,0.03036383,0.15743566,0.14417400
4.42721361,0.30594925,0.02839837,0.06883485,0.05998391,0.02369086,0.00886964,0.03027769,0.15084504,0.13602067
4.43321661,0.29288308,0.02722917,0.06497554,0.05929300,0.02247106,0.00840177,0.03054539,0.14528421,0.12859964
4.43921961,0.28253031,0.02638873,0.06155026,0.05940599,0.02144055,0.00802149,0.03122900,0.14097470,0.12209668
4.44522261,0.27540512,0.02594867,0.05864002,0.06046861,0.02063899,0.00774948,0.03238931,0.13812041,0.11668103
4.45122561,0.27200015,0.02598239,0.05631503,0.06262895,0.02010461,0.00760696,0.03408505,0.13690427,0.11250270
