energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
4.15107554,1.49786031,1.77439815,0.05001580,0.86502964,0.00015976,0.00740150,0.19580740
4.15707854,1.47718347,1.76994908,0.04898478,0.83601931,0.00016055,0.00739701,0.19327767
4.16308154,1.45290786,1.75945143,0.04782073,0.80420912,0.00016089,0.00744276,0.19058972
4.16908454,1.42524268,1.74312000,0.04653293,0.77005797,0.00016079,0.00753589,0.18770762
4.17508754,1.39451332,1.72134336,0.04513456,0.73407125,0.00016027,0.00767423,0.18461217
4.18109055,1.36115227,1.69467559,0.04364228,0.69678411,0.00015937,0.00785631,0.18130178
4.18709355,1.32568550,1.66382152,0.04207569,0.65874406,0.00015814,0.00808127,0.17779262
4.19309655,1.28871505,1.62961582,0.04045676,0.62049404,0.00015666,0.00834870,0.17411777
4.19909955,1.25089875,1.59299716,0.03880904,0.58255648,0.00015501,0.00865855,0.17032570
4.20510255,1.21292816,1.55497818,0.03715699,0.54541912,0.00015326,0.00901087,0.16647813
4.21110555,1.17550577,1.51661282,0.03552523,0.50952311,0.00015152,0.00940569,0.16264731
4.21710855,1.13932250,1.47896222,0.03393780,0.47525372,0.00014987,0.00984274,0.15891301
4.22311156,1.10503662,1.44306076,0.03241757,0.44293393,0.00014841,0.01032130,0.15535940
4.22911456,1.07325483,1.40988351,0.03098563,0.41282093,0.00014723,0.01084001,0.15207182
4.23511756,1.04451642,1.38031654,0.02966086,0.38510542,0.00014638,0.01139673,0.14913381
4.24112056,1.01928086,1.35513111,0.02845959,0.35991358,0.00014595,0.01198842,0.14662439
4.24712356,0.99791931,1.33496288,0.02739536,0.33731124,0.00014598,0.01261112,0.14461574
4.25312656,0.98071006,1.32029672,0.02647881,0.31730994,0.00014650,0.01325993,0.14317141
4.25912956,0.96783781,1.31145756,0.02571767,0.29987436,0.00014754,0.01392909,0.14234502
4.26513257,0.95939654,1.30860751,0.02511687,0.28493058,0.00014909,0.01461214,0.14217951
4.27113557,0.95539535,1.31174899,0.02467865,0.27237475,0.00015113,0.01530207,0.14270701
4.27713857,0.95576677,1.32073348,0.02440284,0.26208156,0.00015365,0.01599158,0.14394901
4.28314157,0.96037683,1.33527517,0.02428707,0.25391230,0.00015658,0.01667336,0.14591717
4.28914457,0.96903598,1.35496872,0.02432703,0.24772181,0.00015988,0.01734041,0.14861422
4.29514757,0.98151036,1.37930988,0.02451675,0.24336441,0.00016348,0.01798636,0.15203528
4.30115058,0.99753250,1.40771814,0.02484885,0.24069833,0.00016732,0.01860578,0.15616914
4.30715358,1.01681096,1.43955990,0.02531471,0.23958874,0.00017132,0.01919450,0.16099965
4.31315658,1.03903854,1.47417140,0.02590470,0.23990919,0.00017540,0.01974985,0.16650699
4.31915958,1.06389854,1.51088012,0.02660824,0.24154179,0.00017950,0.02027087,0.17266878
4.32516258,1.09106913,1.54902398,0.02741394,0.24437602,0.00018354,0.02075848,0.17946102
4.33116558,1.12022581,1.58796753,0.02830963,0.24830668,0.00018748,0.02121552,0.18685866
4.33716858,1.15104209,1.62711482,0.02928241,0.25323097,0.00019126,0.02164677,0.19483601
4.34317159,1.18318879,1.66591862,0.03031863,0.25904530,0.00019483,0.02205879,0.20336676
4.34917459,1.21633239,1.70388609,0.03140395,0.26564195,0.00019816,0.02245984,0.21242373
4.35517759,1.25013285,1.74058107,0.03252332,0.27290594,0.00020124,0.02285952,0.22197847
4.36118059,1.28424146,1.77562344,0.03366111,0.28071246,0.00020403,0.02326855,0.23200044
4.36718359,1.31829924,1.80868596,0.03480111,0.28892505,0.00020654,0.02369837,0.24245626
4.37318659,1.35193620,1.83948946,0.03592676,0.29739469,0.00020877,0.02416069,0.25330863
4.37918959,1.38477196,1.86779675,0.03702127,0.30596004,0.00021071,0.02466716,0.26451529
4.38519260,1.41641774,1.89340612,0.03806788,0.31444870,0.00021238,0.02522890,0.27602799
4.39119560,1.44647999,1.91614491,0.03905012,0.32267967,0.00021379,0.02585611,0.28779140
4.39719860,1.47456547,1.93586369,0.03995213,0.33046675,0.00021494,0.02655771,0.29974221
4.40320160,1.50028760,1.95243142,0.04075901,0.33762275,0.00021584,0.02734102,0.31180829
4.40920460,1.52327391,1.96573184,0.04145707,0.34396446,0.00021650,0.02821151,0.32390816
4.41520760,1.54317400,1.97566114,0.04203428,0.34931787,0.00021692,0.02917260,0.33595058
4.42121061,1.55966772,1.98212704,0.04248047,0.35352356,0.00021710,0.03022554,0.34783453
4.42721361,1.57247308,1.98504892,0.04278764,0.35644195,0.00021704,0.03136936,0.35944944
4.43321661,1.58135338,1.98435901,0.04295015,0.35795802,0.00021673,0.03260086,0.37067589
4.43921961,1.58612331,1.98000419,0.04296486,0.35798543,0.00021615,0.03391471,0.38138666
4.44522261,1.58665348,1.97194824,0.04283123,0.35646972,0.00021529,0.03530355,0.39144819
4.45122561,1.58287347,1.96017413,0.04255125,0.35339042,0.00021413,0.03675815,0.40072256
