energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-2.50625313,0.86745156,0.00174143,0.17065378,0.05594469,0.44867091,0.00000000,0.56341509,0.21435904
-2.50025013,0.84224107,0.00158830,0.17003251,0.05298135,0.43261674,0.00000000,0.54759215,0.20744606
-2.49424712,0.82013458,0.00144833,0.16919252,0.05016052,0.41933030,0.00000000,0.53251396,0.20138588
-2.48824412,0.80099292,0.00132108,0.16810804,0.04744821,0.40878299,0.00000000,0.51813474,0.19613855
-2.48224112,0.78467756,0.00120607,0.16676152,0.04481661,0.40093131,0.00000000,0.50442212,0.19166488
-2.47623812,0.77105483,0.00110282,0.16514407,0.04224421,0.39571866,0.00000000,0.49135999,0.18792766
-2.47023512,0.75999786,0.00101093,0.16325538,0.03971583,0.39307594,0.00000000,0.47894966,0.18489225
-2.46423212,0.75138659,0.00093008,0.16110338,0.03722221,0.39292122,0.00000000,0.46720949,0.18252675
-2.45822911,0.74510614,0.00086011,0.15870353,0.03475960,0.39515858,0.00000000,0.45617319,0.18080174
-2.45222611,0.74104424,0.00080104,0.15607802,0.03232906,0.39967666,0.00000000,0.44588705,0.17968980
-2.44622311,0.73908814,0.00075308,0.15325488,0.02993567,0.40634713,0.00000000,0.43640655,0.17916492
-2.44022011,0.73912191,0.00071667,0.15026697,0.02758774,0.41502365,0.00000000,0.42779257,0.17920197
-2.43421711,0.74102441,0.00069246,0.14715128,0.02529591,0.42554163,0.00000000,0.42010780,0.17977642
-2.42821411,0.74466879,0.00068133,0.14394814,0.02307229,0.43771914,0.00000000,0.41341349,0.18086433
-2.42221111,0.74992355,0.00068435,0.14070079,0.02092969,0.45135927,0.00000000,0.40776692,0.18244283
-2.41620810,0.75665554,0.00070281,0.13745500,0.01888093,0.46625405,0.00000000,0.40321966,0.18449102
-2.41020510,0.76473488,0.00073814,0.13425896,0.01693825,0.48218983,0.00000000,0.39981684,0.18699137
-2.40420210,0.77404144,0.00079190,0.13116323,0.01511287,0.49895409,0.00000000,0.39759726,0.18993141
-2.39819910,0.78447257,0.00086576,0.12822074,0.01341476,0.51634324,0.00000000,0.39659421,0.19330577
-2.39219610,0.79595153,0.00096138,0.12548687,0.01185244,0.53417113,0.00000000,0.39683693,0.19711832
-2.38619310,0.80843585,0.00108041,0.12301935,0.01043308,0.55227751,0.00000000,0.39835222,0.20138419
-2.38019010,0.82192488,0.00122440,0.12087816,0.00916262,0.57053602,0.00000000,0.40116608,0.20613158
-2.37418709,0.83646586,0.00139471,0.11912513,0.00804610,0.58886101,0.00000000,0.40530498,0.21140297
-2.36818409,0.85215768,0.00159244,0.11782343,0.00708804,0.60721252,0.00000000,0.41079653,0.21725581
-2.36218109,0.86915184,0.00181834,0.11703681,0.00629298,0.62559897,0.00000000,0.41766927,0.22376220
-2.35617809,0.88765016,0.00207272,0.11682868,0.00566596,0.64407710,0.00000000,0.42595157,0.23100778
-2.35017509,0.90789908,0.00235537,0.11726104,0.00521319,0.66274886,0.00000000,0.43566947,0.23908945
-2.34417209,0.93018043,0.00266551,0.11839339,0.00494261,0.68175520,0.00000000,0.44684362,0.24811224
-2.33816908,0.95479919,0.00300167,0.12028159,0.00486448,0.70126695,0.00000000,0.45948550,0.25818516
-2.33216608,0.98206853,0.00336170,0.12297688,0.00499195,0.72147292,0.00000000,0.47359308,0.26941630
