energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-5.77788894,2.09550441,-2.09562298,0.52467743,-0.52468868,0.60069756,-0.60073432,0.00919031,-0.00919115,0.29021316,-0.29023021,0.01399407,-0.01399520,0.95308714,-0.95313642,0.49700695,-0.49704102,0.10705007,-0.10705996
-5.77188594,2.17399236,-2.17412022,0.53789590,-0.53791113,0.62357850,-0.62361800,0.00973399,-0.00973483,0.30291681,-0.30293717,0.01462738,-0.01462867,0.98729116,-0.98734254,0.51743838,-0.51747336,0.11271944,-0.11272982
-5.76588294,2.25816362,-2.25829974,0.55392961,-0.55394857,0.64814008,-0.64818181,0.01027253,-0.01027337,0.31788181,-0.31790502,0.01535789,-0.01535937,1.02264575,-1.02269914,0.53824462,-0.53828035,0.11860795,-0.11861880
-5.75987994,2.34730625,-2.34744935,0.57255758,-0.57257994,0.67405316,-0.67409655,0.01080490,-0.01080575,0.33479541,-0.33482096,0.01619456,-0.01619624,1.05908923,-1.05914445,0.55932659,-0.55936288,0.12469760,-0.12470890
-5.75387694,2.44057105,-2.44071965,0.59350427,-0.59352964,0.70094866,-0.70099308,0.01133058,-0.01133143,0.35330424,-0.35333157,0.01714462,-0.01714650,1.09651821,-1.09657501,0.58056459,-0.58060119,0.13096541,-0.13097712
-5.74787394,2.53697880,-2.53713118,0.61644484,-0.61647273,0.72842227,-0.72846705,0.01184940,-0.01185024,0.37302032,-0.37304882,0.01821296,-0.01821504,1.13478482,-1.13484285,0.60181955,-0.60185619,0.13738308,-0.13739515
-5.74187094,2.63543054,-2.63558483,0.64101125,-0.64104112,0.75604031,-0.75608474,0.01236149,-0.01236233,0.39352798,-0.39355702,0.01940164,-0.01940394,1.17369482,-1.17375367,0.62293488,-0.62297124,0.14391675,-0.14392912
-5.73586793,2.73472109,-2.73487523,0.66679921,-0.66683049,0.78334661,-0.78338994,0.01286711,-0.01286796,0.41439160,-0.41442052,0.02070943,-0.02071192,1.21300685,-1.21306600,0.64373870,-0.64377444,0.15052678,-0.15053938
-5.72986493,2.83355541,-2.83370725,0.69337574,-0.69340780,0.80987037,-0.80991185,0.01336649,-0.01336733,0.43516405,-0.43519220,0.02213136,-0.02213404,1.25243248,-1.25249134,0.66404642,-0.66408117,0.15716756,-0.15718030
-5.72386193,2.93056788,-2.93071514,0.72028715,-0.72031934,0.83513485,-0.83517373,0.01385964,-0.01386047,0.45539573,-0.45542247,0.02365853,-0.02366137,1.29163746,-1.29169537,0.68366339,-0.68369679,0.16378744,-0.16380022
-5.71785893,3.02434382,-3.02448420,0.74706741,-0.74709907,0.85866677,-0.85870232,0.01434614,-0.01434697,0.47464408,-0.47466879,0.02527796,-0.02528093,1.33024396,-1.33030018,0.70238777,-0.70241941,0.17032876,-0.17034148
-5.71185593,3.11344320,-3.11357438,0.77324662,-0.77327708,0.88000597,-0.88003750,0.01482501,-0.01482582,0.49248319,-0.49250527,0.02697258,-0.02697566,1.36783389,-1.36788764,0.72001320,-0.72004272,0.17672805,-0.17674059
-5.70585293,3.19642586,-3.19654557,0.79835946,-0.79838809,0.89871536,-0.89874222,0.01529451,-0.01529530,0.50851332,-0.50853227,0.02872146,-0.02872459,1.40395343,-1.40400389,0.73633162,-0.73635863,0.18291638,-0.18292861
-5.69984992,3.27187791,-3.27198395,0.82195346,-0.82197963,0.91439056,-0.91441217,0.01575204,-0.01575280,0.52237012,-0.52238546,0.03050009,-0.03050324,1.43811880,-1.43816511,0.75113592,-0.75116003,0.18882002,-0.18883180
