energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-0.32716358,2.71431428,0.03679426,0.66462060,1.19589481,0.07163782,0.02303041,0.16087493,0.65154660,1.42303716
-0.32116058,2.65553165,0.03306529,0.66236651,1.17955969,0.07034462,0.02302154,0.15587166,0.62308489,1.38457650
-0.31515758,2.60476840,0.02958733,0.66068650,1.16485167,0.06914441,0.02312749,0.15118810,0.59769138,1.35213451
-0.30915458,2.56120895,0.02636673,0.65933646,1.15140824,0.06802276,0.02334566,0.14683836,0.57515366,1.32515647
-0.30315158,2.52382310,0.02340555,0.65804692,1.13880423,0.06696190,0.02367010,0.14282508,0.55519188,1.30294758
-0.29714857,2.49141429,0.02070203,0.65653266,1.12657055,0.06594154,0.02409160,0.13914017,0.53747494,1.28470598
-0.29114557,2.46267103,0.01825110,0.65450289,1.11421440,0.06493978,0.02459787,0.13576583,0.52163729,1.26955718
-0.28514257,2.43621987,0.01604490,0.65167158,1.10124008,0.06393402,0.02517380,0.13267576,0.50729581,1.25658881
-0.27913957,2.41067812,0.01407325,0.64776767,1.08716964,0.06290191,0.02580180,0.12983664,0.49406608,1.24488454
-0.27313657,2.38470459,0.01232416,0.64254476,1.07156266,0.06182225,0.02646226,0.12720970,0.48157755,1.23355618
-0.26713357,2.35704704,0.01078431,0.63578999,1.05403433,0.06067581,0.02713404,0.12475249,0.46948726,1.22177313
-0.26113057,2.32658469,0.00943946,0.62733173,1.03427123,0.05944610,0.02779503,0.12242072,0.45749152,1.20878831
-0.25512756,2.29236478,0.00827487,0.61704598,1.01204429,0.05812003,0.02842279,0.12017006,0.44533546,1.19395993
-0.24912456,2.25363205,0.00727566,0.60486104,0.98721833,0.05668840,0.02899520,0.11795803,0.43282008,1.17676871
-0.24312156,2.20985053,0.00642718,0.59076057,0.95975807,0.05514629,0.02949105,0.11574566,0.41980672,1.15683004
-0.23711856,2.16071704,0.00571524,0.57478476,0.92973043,0.05349331,0.02989076,0.11349915,0.40621896,1.13390114
-0.23111556,2.10616634,0.00512638,0.55702973,0.89730302,0.05173364,0.03017689,0.11119117,0.39204197,1.10788291
-0.22511256,2.04636795,0.00464805,0.53764513,0.86273912,0.04987599,0.03033470,0.10880209,0.37731949,1.07881698
-0.21910955,1.98171511,0.00426875,0.51683016,0.82638945,0.04793332,0.03035260,0.10632071,0.36214863,1.04687795
-0.21310655,1.91280635,0.00397813,0.49482811,0.78868101,0.04592254,0.03022247,0.10374481,0.34667296,1.01236151
-0.20710355,1.84042076,0.00376701,0.47191970,0.75010368,0.04386397,0.02993991,0.10108126,0.33107398,0.97566890
-0.20110055,1.76548788,0.00362739,0.44841544,0.71119499,0.04178079,0.02950429,0.09834578,0.31556168,0.93728852
-0.19509755,1.68905340,0.00355239,0.42464729,0.67252377,0.03969835,0.02891879,0.09556234,0.30036444,0.89777527
-0.18909455,1.61224208,0.00353618,0.40095988,0.63467322,0.03764345,0.02819016,0.09276215,0.28571873,0.85772863
-0.18309155,1.53621914,0.00357381,0.37770159,0.59822390,0.03564357,0.02732853,0.08998244,0.27185914,0.81777025
-0.17708854,1.46215153,0.00366110,0.35521575,0.56373738,0.03372610,0.02634694,0.08726492,0.25900900,0.77852182
-0.17108554,1.39117037,0.00379445,0.33383205,0.53174068,0.03191751,0.02526096,0.08465396,0.24737213,0.74058406
-0.16508254,1.32433579,0.00397063,0.31385858,0.50271221,0.03024268,0.02408805,0.08219483,0.23712584,0.70451755
-0.15907954,1.26260522,0.00418659,0.29557447,0.47706932,0.02872411,0.02284706,0.07993169,0.22841558,0.67082607
-0.15307654,1.20680614,0.00443930,0.27922332,0.45515767,0.02738136,0.02155758,0.07790576,0.22135135,0.63994279
-0.14707354,1.15761400,0.00472554,0.26500759,0.43724275,0.02623043,0.02023935,0.07615359,0.21600596,0.61222003
-0.14107054,1.11553595,0.00504173,0.25308393,0.42350354,0.02528330,0.01891171,0.07470547,0.21241522,0.58792250
-0.13506753,1.08090070,0.00538386,0.24355961,0.41402832,0.02454758,0.01759307,0.07358419,0.21057995,0.56722439
-0.12906453,1.05385469,0.00574736,0.23648998,0.40881275,0.02402626,0.01630046,0.07280417,0.21046971,0.55021022
-0.12306153,1.03436457,0.00612706,0.23187719,0.40776023,0.02371755,0.01504919,0.07237086,0.21202802,0.53687922
-0.11705853,1.02222567,0.00651719,0.22966998,0.41068429,0.02361487,0.01385255,0.07228074,0.21517894,0.52715303
-0.11105553,1.01707610,0.00691144,0.22976470,0.41731328,0.02370699,0.01272165,0.07252153,0.21983444,0.52088621
-0.10505253,1.01841581,0.00730302,0.23200759,0.42729692,0.02397830,0.01166537,0.07307302,0.22590242,0.51787911
-0.09904952,1.02562978,0.00768485,0.23619822,0.44021489,0.02440910,0.01069033,0.07390809,0.23329491,0.51789237
-0.09304652,1.03801443,0.00804965,0.24209409,0.45558710,0.02497617,0.00980099,0.07499421,0.24193600,0.52066243
-0.08704352,1.05480624,0.00839020,0.24941642,0.47288559,0.02565332,0.00899983,0.07629502,0.25176904,0.52591729
-0.08104052,1.07521133,0.00869953,0.25785689,0.49154768,0.02641210,0.00828756,0.07777221,0.26276289,0.53339170
-0.07503752,1.09843491,0.00897112,0.26708533,0.51099022,0.02722254,0.00766333,0.07938734,0.27491660,0.54284118
-0.06903452,1.12370941,0.00919915,0.27675816,0.53062442,0.02805396,0.00712506,0.08110373,0.28826237,0.55405411
-0.06303152,1.15032014,0.00937868,0.28652726,0.54987101,0.02887585,0.00666966,0.08288807,0.30286657,0.56686126
-0.05702851,1.17762755,0.00950582,0.29604919,0.56817517,0.02965866,0.00629335,0.08471193,0.31882846,0.58114251
-0.05102551,1.20508509,0.00957787,0.30499433,0.58502090,0.03037463,0.00599183,0.08655289,0.33627686,0.59683016
-0.04502251,1.23225230,0.00959340,0.31305570,0.59994416,0.03099854,0.00576058,0.08839531,0.35536462,0.61390899
-0.03901951,1.25880238,0.00955231,0.31995720,0.61254455,0.03150839,0.00559497,0.09023069,0.37626114,0.63241286
-0.03301651,1.28452440,0.00945581,0.32546084,0.62249493,0.03188595,0.00549043,0.09205767,0.39914333,0.65241829
-0.02701351,1.30932009,0.00930636,0.32937283,0.62954879,0.03211718,0.00544255,0.09388153,0.42418529,0.67403522
-0.02101051,1.33319570,0.00910757,0.33154818,0.63354496,0.03219255,0.00544714,0.09571340,0.45154731,0.69739576
-0.01500750,1.35624961,0.00886403,0.33189377,0.63440973,0.03210715,0.00550026,0.09756911,0.48136474,0.72264133
-0.00900450,1.37865645,0.00858115,0.33036961,0.63215602,0.03186067,0.00559824,0.09946788,0.51373723,0.74990924
-0.00300150,1.40064889,0.00826495,0.32698849,0.62688010,0.03145727,0.00573766,0.10143076,0.54871916,0.77931931
0.00300150,1.42249811,0.00792181,0.32181384,0.61875567,0.03090524,0.00591538,0.10347915,0.58631151,0.81096144
0.00900450,1.44449414,0.00755828,0.31495606,0.60802589,0.03021660,0.00612843,0.10563326,0.62645589,0.84488486
0.01500750,1.46692716,0.00718084,0.30656757,0.59499359,0.02940660,0.00637410,0.10791080,0.66903105,0.88108958
0.02101051,1.49007072,0.00679573,0.29683662,0.58001024,0.02849309,0.00664985,0.11032584,0.71385199,0.91952073
0.02701351,1.51416760,0.00640873,0.28598042,0.56346406,0.02749594,0.00695337,0.11288796,0.76067187,0.96006570
