energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
0.93946973,0.51345481,0.12316390,0.00002633,0.55984139,0.00000000,0.22649854,0.00478991
0.94547274,0.53869900,0.14151314,0.00002996,0.56585232,0.00000000,0.24222452,0.00520219
0.95147574,0.56521881,0.16158775,0.00003392,0.57077871,0.00000000,0.25902226,0.00564594
0.95747874,0.59305351,0.18331186,0.00003818,0.57481170,0.00000000,0.27688685,0.00612031
0.96348174,0.62219094,0.20656506,0.00004272,0.57814279,0.00000000,0.29577736,0.00662354
0.96948474,0.65255551,0.23117925,0.00004751,0.58095112,0.00000000,0.31561168,0.00715280
0.97548774,0.68399853,0.25693713,0.00005252,0.58339164,0.00000000,0.33626287,0.00770413
0.98149075,0.71629180,0.28357248,0.00005769,0.58558478,0.00000000,0.35755723,0.00827242
0.98749375,0.74912483,0.31077247,0.00006296,0.58760829,0.00000000,0.37927463,0.00885139
0.99349675,0.78210636,0.33818213,0.00006826,0.58949167,0.00000000,0.40115105,0.00943371
0.99949975,0.81477040,0.36541100,0.00007352,0.59121365,0.00000000,0.42288362,0.01001107
1.00550275,0.84658673,0.39204182,0.00007866,0.59270291,0.00000000,0.44413811,0.01057440
1.01150575,0.87697576,0.41764109,0.00008359,0.59384190,0.00000000,0.46455859,0.01111410
1.01750875,0.90532715,0.44177121,0.00008823,0.59447388,0.00000000,0.48377921,0.01162030
1.02351176,0.93102154,0.46400372,0.00009249,0.59441250,0.00000000,0.50143741,0.01208319
1.02951476,0.95345444,0.48393312,0.00009630,0.59345364,0.00000000,0.51718829,0.01249333
1.03551776,0.97206121,0.50119081,0.00009958,0.59138886,0.00000000,0.53071938,0.01284202
1.04152076,0.98634198,0.51545839,0.00010227,0.58801961,0.00000000,0.54176522,0.01312161
1.04752376,0.99588524,0.52647990,0.00010431,0.58317153,0.00000000,0.55012107,0.01332580
1.05352676,1.00038896,0.53407216,0.00010568,0.57670812,0.00000000,0.55565510,0.01344991
1.05952976,0.99967820,0.53813302,0.00010634,0.56854293,0.00000000,0.55831844,0.01349114
1.06553277,0.99371827,0.53864680,0.00010629,0.55864974,0.00000000,0.55815257,0.01344864
1.07153577,0.98262272,0.53568688,0.00010555,0.54707018,0.00000000,0.55529363,0.01332368
1.07753877,0.96665578,0.52941505,0.00010414,0.53391834,0.00000000,0.54997338,0.01311961
1.08354177,0.94622906,0.52007779,0.00010211,0.51938227,0.00000000,0.54251672,0.01284177
1.08954477,0.92189255,0.50799946,0.00009951,0.50372219,0.00000000,0.53333564,0.01249742
1.09554777,0.89432034,0.49357275,0.00009642,0.48726554,0.00000000,0.52291984,0.01209546
1.10155078,0.86429170,0.47724676,0.00009292,0.47039911,0.00000000,0.51182430,0.01164621
1.10755378,0.83266810,0.45951316,0.00008910,0.45355860,0.00000000,0.50065411,0.01116106
1.11355678,0.80036737,0.44089103,0.00008507,0.43721598,0.00000000,0.49004714,0.01065217
1.11955978,0.76833579,0.42191086,0.00008091,0.42186527,0.00000000,0.48065499,0.01013205
1.12556278,0.73751933,0.40309854,0.00007673,0.40800723,0.00000000,0.47312289,0.00961326
1.13156578,0.70883496,0.38495964,0.00007263,0.39613343,0.00000000,0.46806914,0.00910799
1.13756878,0.68314316,0.36796485,0.00006869,0.38671050,0.00000000,0.46606477,0.00862775
1.14357179,0.66122242,0.35253669,0.00006499,0.38016480,0.00000000,0.46761399,0.00818306
1.14957479,0.64374662,0.33903835,0.00006159,0.37686819,0.00000000,0.47313602,0.00778323
1.15557779,0.63126584,0.32776452,0.00005857,0.37712528,0.00000000,0.48294900,0.00743609
1.16158079,0.62419133,0.31893483,0.00005595,0.38116249,0.00000000,0.49725634,0.00714786
1.16758379,0.62278468,0.31268974,0.00005377,0.38911937,0.00000000,0.51613612,0.00692307
1.17358679,0.62715176,0.30908914,0.00005204,0.40104228,0.00000000,0.53953385,0.00676448
1.17958979,0.63724133,0.30811341,0.00005075,0.41688074,0.00000000,0.56725902,0.00667314
1.18559280,0.65284821,0.30966703,0.00004990,0.43648658,0.00000000,0.59898566,0.00664837
1.19159580,0.67362110,0.31358437,0.00004945,0.45961590,0.00000000,0.63425700,0.00668796
1.19759880,0.69907439,0.31963741,0.00004937,0.48593385,0.00000000,0.67249437,0.00678824
1.20360180,0.72860390,0.32754522,0.00004961,0.51502215,0.00000000,0.71301009,0.00694432
1.20960480,0.76150576,0.33698462,0.00005011,0.54638918,0.00000000,0.75502427,0.00715022
1.21560780,0.79699798,0.34760183,0.00005080,0.57948235,0.00000000,0.79768496,0.00739918
1.22161081,0.83424385,0.35902452,0.00005163,0.61370246,0.00000000,0.84009117,0.00768382
1.22761381,0.87237661,0.37087396,0.00005252,0.64841947,0.00000000,0.88131814,0.00799641
1.23361681,0.91052427,0.38277673,0.00005341,0.68298939,0.00000000,0.92044383,0.00832905
1.23961981,0.94783406,0.39437572,0.00005424,0.71677150,0.00000000,0.95657597,0.00867395
1.24562281,0.98349535,0.40533990,0.00005494,0.74914552,0.00000000,0.98887845,0.00902357
1.25162581,1.01676056,0.41537261,0.00005547,0.77952783,0.00000000,1.01659624,0.00937079
1.25762881,1.04696310,0.42421821,0.00005577,0.80738655,0.00000000,1.03907777,0.00970906
1.26363182,1.07353192,0.43166668,0.00005583,0.83225445,0.00000000,1.05579397,0.01003251
1.26963482,1.09600223,0.43755630,0.00005560,0.85373974,0.00000000,1.06635306,0.01033598
1.27563782,1.11402209,0.44177432,0.00005507,0.87153405,0.00000000,1.07051082,0.01061510
1.28164082,1.12735492,0.44425574,0.00005423,0.88541748,0.00000000,1.06817562,0.01086627
1.28764382,1.13587798,0.44498035,0.00005309,0.89526079,0.00000000,1.05940845,0.01108664
1.29364682,1.13957728,0.44396837,0.00005166,0.90102464,0.00000000,1.04441772,0.01127406
1.29964982,1.13853946,0.44127496,0.00004995,0.90275627,0.00000000,1.02354950,0.01142703
1.30565283,1.13294116,0.43698400,0.00004801,0.90058380,0.00000000,0.99727357,0.01154463
1.31165583,1.12303676,0.43120159,0.00004584,0.89470883,0.00000000,0.96616605,0.01162644
1.31765883,1.10914526,0.42404947,0.00004350,0.88539757,0.00000000,0.93088952,0.01167247
1.32366183,1.09163701,0.41565901,0.00004102,0.87297129,0.00000000,0.89217165,0.01168311
1.32966483,1.07092104,0.40616586,0.00003845,0.85779642,0.00000000,0.85078307,0.01165907
1.33566783,1.04743356,0.39570553,0.00003582,0.84027486,0.00000000,0.80751566,0.01160138
1.34167084,1.02162804,0.38441022,0.00003317,0.82083476,0.00000000,0.76316191,0.01151136
1.34767384,0.99396716,0.37240671,0.00003054,0.79992214,0.00000000,0.71849617,0.01139064
1.35367684,0.96491669,0.35981563,0.00002798,0.77799334,0.00000000,0.67425824,0.01124117
1.35967984,0.93494108,0.34675165,0.00002550,0.75550852,0.00000000,0.63113960,0.01106527
1.36568284,0.90450073,0.33332476,0.00002314,0.73292577,0.00000000,0.58977262,0.01086565
1.37168584,0.87405027,0.31964219,0.00002092,0.71069601,0.00000000,0.55072260,0.01064544
1.37768884,0.84403754,0.30581083,0.00001886,0.68925813,0.00000000,0.51448240,0.01040824
1.38369185,0.81490271,0.29193984,0.00001698,0.66903419,0.00000000,0.48146958,0.01015812
1.38969485,0.78707705,0.27814318,0.00001529,0.65042446,0.00000000,0.45202555,0.00989959
1.39569785,0.76098092,0.26454184,0.00001379,0.63380200,0.00000000,0.42641622,0.00963760
1.40170085,0.73702059,0.25126556,0.00001250,0.61950663,0.00000000,0.40483399,0.00937743
1.40770385,0.71558377,0.23845375,0.00001142,0.60783832,0.00000000,0.38740033,0.00912467
1.41370685,0.69703372,0.22625575,0.00001054,0.59905008,0.00000000,0.37416904,0.00888503
