energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
4.60130065,1.76749419,0.41049015,0.00000000,0.06586259,0.70982997,1.66565622,0.02204151
4.60730365,1.75147886,0.40055561,0.00000000,0.06551345,0.69856384,1.65160990,0.02217284
4.61330665,1.73350407,0.39193611,0.00000000,0.06511700,0.68539401,1.63692891,0.02224144
4.61930965,1.71358094,0.38461111,0.00000000,0.06468048,0.67055417,1.62130991,0.02224392
4.62531266,1.69173230,0.37853755,0.00000000,0.06421196,0.65429363,1.60445256,0.02217795
4.63131566,1.66800132,0.37365702,0.00000000,0.06372016,0.63687209,1.58607940,0.02204240
4.63731866,1.64245966,0.36990290,0.00000000,0.06321400,0.61855469,1.56595432,0.02183749
4.64332166,1.61521473,0.36720724,0.00000000,0.06270230,0.59960721,1.54389875,0.02156491
4.64932466,1.58641540,0.36550700,0.00000000,0.06219331,0.58029176,1.51980478,0.02122777
4.65532766,1.55625596,0.36474946,0.00000000,0.06169437,0.56086282,1.49364485,0.02083073
4.66133067,1.52497807,0.36489642,0.00000000,0.06121145,0.54156384,1.46547738,0.02037983
4.66733367,1.49287037,0.36592736,0.00000000,0.06074887,0.52262426,1.43544851,0.01988251
4.67333667,1.46026600,0.36784115,0.00000000,0.06030901,0.50425720,1.40378980,0.01934739
4.67933967,1.42753785,0.37065656,0.00000000,0.05989211,0.48665753,1.37081237,0.01878412
4.68534267,1.39509195,0.37441152,0.00000000,0.05949625,0.47000055,1.33689774,0.01820317
4.69134567,1.36335927,0.37916122,0.00000000,0.05911733,0.45444110,1.30248611,0.01761559
4.69734867,1.33278626,0.38497525,0.00000000,0.05874931,0.44011317,1.26806274,0.01703271
4.70335168,1.30382463,0.39193406,0.00000000,0.05838442,0.42712988,1.23414310,0.01646592
4.70935468,1.27692081,0.40012473,0.00000000,0.05801364,0.41558385,1.20125760,0.01592636
4.71535768,1.25250560,0.40963645,0.00000000,0.05762713,0.40554788,1.16993657,0.01542469
4.72136068,1.23098434,0.42055591,0.00000000,0.05721482,0.39707588,1.14069611,0.01497080
