energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
5.06953477,2.61348394,0.00373278,0.22946779,0.01016732,0.17585552,0.74610294,3.00384754
5.07553777,2.65501067,0.00396073,0.23809497,0.00994288,0.17795773,0.75352821,3.05473234
5.08154077,2.69677175,0.00418095,0.24636529,0.00978014,0.18032987,0.76101264,3.10580229
5.08754377,2.73776853,0.00439078,0.25414576,0.00966850,0.18285383,0.76814994,3.15600414
5.09354677,2.77707706,0.00458786,0.26131782,0.00959836,0.18541916,0.77458290,3.20435096
5.09954977,2.81387658,0.00477029,0.26778040,0.00956158,0.18792663,0.78001427,3.24995189
5.10555278,2.84747504,0.00493670,0.27345236,0.00955186,0.19029137,0.78421539,3.29203983
5.11155578,2.87733139,0.00508635,0.27827435,0.00956503,0.19244529,0.78703267,3.32999629
5.11755878,2.90307389,0.00521917,0.28220990,0.00959925,0.19433900,0.78839145,3.36337306
5.12356178,2.92451417,0.00533588,0.28524598,0.00965511,0.19594297,0.78829753,3.39190991
5.12956478,2.94165651,0.00543793,0.28739283,0.00973569,0.19724806,0.78683623,3.41554798
5.13556778,2.95470199,0.00552757,0.28868319,0.00984640,0.19826531,0.78416909,3.43443809
5.14157079,2.96404722,0.00560781,0.28917109,0.00999486,0.19902507,0.78052838,3.44894347
5.14757379,2.97027727,0.00568236,0.28892998,0.01019063,0.19957556,0.77620963,3.45963645
5.15357679,2.97415272,0.00575552,0.28805056,0.01044487,0.19998069,0.77156229,3.46728850
5.15957979,2.97659057,0.00583214,0.28663812,0.01076993,0.20031747,0.76697885,3.47285343
5.16558279,2.97863920,0.00591746,0.28480967,0.01117891,0.20067289,0.76288263,3.47744337
5.17158579,2.98144753,0.00601696,0.28269071,0.01168515,0.20114047,0.75971453,3.48229776
5.17758879,2.98622872,0.00613617,0.28041180,0.01230174,0.20181649,0.75791903,3.48874545
5.18359180,2.99421927,0.00628057,0.27810506,0.01304096,0.20279612,0.75792976,3.49816057
5.18959480,3.00663429,0.00645532,0.27590049,0.01391378,0.20416941,0.76015491,3.51191321
5.19559780,3.02462017,0.00666513,0.27392237,0.01492936,0.20601752,0.76496295,3.53131612
5.20160080,3.04920628,0.00691404,0.27228568,0.01609460,0.20840904,0.77266893,3.55756905
5.20760380,3.08125715,0.00720530,0.27109274,0.01741374,0.21139673,0.78352172,3.59170288
5.21360680,3.12142726,0.00754113,0.27043003,0.01888798,0.21501475,0.79769267,3.63452565
5.21960980,3.17012023,0.00792266,0.27036546,0.02051528,0.21927647,0.81526610,3.68657290
5.22561281,3.22745447,0.00834978,0.27094605,0.02229012,0.22417299,0.83623177,3.74806474
5.23161581,3.29323715,0.00882104,0.27219619,0.02420345,0.22967245,0.86047996,3.81887199
