energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.65182591,0.40331239,-1.35300258,0.00000643,-0.00028831,0.00707111,-0.01474111,0.16484046,-0.40965640,0.05285284,-0.22630986,0.15675151,-0.29809264,0.04831843,-0.13597634,0.00109595,-0.01268017,0.26091803,-0.87633676
-5.64582291,0.42401906,-1.30843252,0.00000515,-0.00026282,0.00767164,-0.01445759,0.17145596,-0.39500071,0.05644654,-0.21500579,0.16105464,-0.28723774,0.05086310,-0.13253342,0.00124558,-0.01295690,0.27373929,-0.84883107
-5.63981991,0.44601448,-1.26229135,0.00000426,-0.00023822,0.00833059,-0.01421092,0.17800067,-0.38034362,0.06041936,-0.20348670,0.16480520,-0.27674606,0.05368965,-0.12876360,0.00142664,-0.01316342,0.28717465,-0.82027889
-5.63381691,0.46924958,-1.21512832,0.00000369,-0.00021467,0.00905192,-0.01400360,0.18443860,-0.36586412,0.06477546,-0.19191073,0.16794516,-0.26677469,0.05678986,-0.12470549,0.00163981,-0.01329372,0.30118766,-0.79102258
-5.62781391,0.49371979,-1.16747147,0.00000341,-0.00019233,0.00983987,-0.01383798,0.19075532,-0.35172504,0.06952283,-0.18042574,0.17044177,-0.25746229,0.06016197,-0.12039982,0.00188565,-0.01334352,0.31577100,-0.76139150
-5.62181091,0.51945565,-1.11981737,0.00000342,-0.00017130,0.01069885,-0.01371594,0.19695575,-0.33806990,0.07467136,-0.16916639,0.17228693,-0.24892475,0.06380937,-0.11588876,0.00216449,-0.01331034,0.33094080,-0.73169593
-5.61580790,0.54651177,-1.07262310,0.00000370,-0.00015166,0.01163317,-0.01363867,0.20306122,-0.32502050,0.08023089,-0.15825199,0.17349574,-0.24125186,0.06773918,-0.11121531,0.00247630,-0.01319366,0.34673002,-0.70222214
-5.60980490,0.57495496,-1.02630020,0.00000428,-0.00013348,0.01264688,-0.01360649,0.20910592,-0.31267539,0.08620908,-0.14778504,0.17410439,-0.23450483,0.07196077,-0.10642281,0.00282063,-0.01299491,0.36318104,-0.67322874
-5.60380190,0.60485194,-0.98121073,0.00000520,-0.00011678,0.01374356,-0.01361870,0.21513298,-0.30110903,0.09260940,-0.13785059,0.17416736,-0.22871494,0.07648430,-0.10155438,0.00319642,-0.01271744,0.38033791,-0.64494421
-5.59779890,0.63625763,-0.93766522,0.00000651,-0.00010155,0.01492625,-0.01367356,0.22119040,-0.29037175,0.09942931,-0.12851615,0.17375429,-0.22388318,0.08131947,-0.09665251,0.00360200,-0.01236641,0.39823882,-0.61756555
-5.59179590,0.66920463,-0.89592245,0.00000829,-0.00008777,0.01619733,-0.01376826,0.22732696,-0.28049049,0.10665877,-0.11983235,0.17294648,-0.21998100,0.08647448,-0.09175862,0.00403498,-0.01194861,0.41690916,-0.59125805
-5.58579290,0.70369479,-0.85619097,0.00001066,-0.00007541,0.01755860,-0.01389900,0.23358863,-0.27147024,0.11427918,-0.11183407,0.17183339,-0.21695191,0.09195535,-0.08691266,0.00449226,-0.01147232,0.43635575,-0.56615606
-5.57978989,0.73969354,-0.81863213,0.00001374,-0.00006439,0.01901136,-0.01406108,0.24001543,-0.26329605,0.12226293,-0.10454207,0.17050916,-0.21471412,0.09776566,-0.08215279,0.00496995,-0.01094697,0.45656257,-0.54236470
-5.57378689,0.77712767,-0.78336446,0.00001772,-0.00005465,0.02055667,-0.01424914,0.24663918,-0.25593577,0.13057354,-0.09796494,0.16906956,-0.21316398,0.10390686,-0.07751503,0.00546349,-0.01038295,0.47748862,-0.51996246
-5.56778389,0.81588680,-0.75046935,0.00002279,-0.00004609,0.02219567,-0.01445730,0.25348223,-0.24934321,0.13916657,-0.09210130,0.16760928,-0.21218011,0.11037905,-0.07303309,0.00596766,-0.00979126,0.49906789,-0.49900462
-5.56178089,0.85582894,-0.71999762,0.00002921,-0.00003864,0.02393004,-0.01467948,0.26055732,-0.24346179,0.14799124,-0.08694221,0.16621993,-0.21162810,0.11718233,-0.06873816,0.00647671,-0.00918324,0.52121184,-0.47952724
-5.55577789,0.89678999,-0.69197697,0.00003728,-0.00003220,0.02576254,-0.01490967,0.26786851,-0.23822839,0.15699273,-0.08247352,0.16498871,-0.21136570,0.12431863,-0.06465880,0.00698452,-0.00857029,0.54381430,-0.46155175
-5.54977489,0.93859665,-0.66641976,0.00004735,-0.00002667,0.02769764,-0.01514221,0.27541335,-0.23357750,0.16611509,-0.07867827,0.16399773,-0.21124819,0.13179397,-0.06082096,0.00748472,-0.00796359,0.56675847,-0.44508986
-5.54377189,0.98108244,-0.64333102,0.00005983,-0.00002196,0.02974213,-0.01537212,0.28318584,-0.22944529,0.17530464,-0.07553886,0.16332417,-0.21113374,0.13962098,-0.05724796,0.00797097,-0.00737386,0.58992594,-0.43014859
-5.53776888,1.02410550,-0.62271611,0.00007518,-0.00001798,0.03190581,-0.01559540,0.29118031,-0.22577352,0.18451361,-0.07303900,0.16304094,-0.21088873,0.14782154,-0.05396065,0.00843712,-0.00681119,0.61320695,-0.41673518
-5.53176588,1.06756724,-0.60458774,0.00009394,-0.00001464,0.03420208,-0.01580923,0.29939562,-0.22251314,0.19370393,-0.07116537,0.16321792,-0.21039257,0.15642933,-0.05097754,0.00887743,-0.00628482,0.63651134,-0.40486165
-5.52576288,1.11143049,-0.58897195,0.00011669,-0.00001186,0.03664840,-0.01601222,0.30783955,-0.21962735,0.20285074,-0.06990881,0.16392350,-0.20954203,0.16549208,-0.04831493,0.00928687,-0.00580304,0.65977944,-0.39454861
