energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
5.35767884,1.07524971,0.26613407,0.00000000,0.60471164,0.14481486,0.03903703,0.20457284
5.36368184,1.10548094,0.28193381,0.00000000,0.60750978,0.15333620,0.04087173,0.21417267
5.36968484,1.13426681,0.29757431,0.00000000,0.60882397,0.16185155,0.04294396,0.22348730
5.37568784,1.16177056,0.31298298,0.00000000,0.60889191,0.17033487,0.04527283,0.23248126
5.38169085,1.18817319,0.32809054,0.00000000,0.60796978,0.17876019,0.04787167,0.24112425
5.38769385,1.21365778,0.34282998,0.00000000,0.60632122,0.18710037,0.05074668,0.24939001
5.39369685,1.23839298,0.35713515,0.00000000,0.60420627,0.19532573,0.05389567,0.25725500
5.39969985,1.26251688,0.37093909,0.00000000,0.60187054,0.20340254,0.05730705,0.26469675
5.40570285,1.28612193,0.38417230,0.00000000,0.59953537,0.21129165,0.06095916,0.27169214
5.41170585,1.30924215,0.39676104,0.00000000,0.59738940,0.21894729,0.06482000,0.27821565
5.41770885,1.33184342,0.40862593,0.00000000,0.59558202,0.22631614,0.06884732,0.28423786
5.42371186,1.35381752,0.41968091,0.00000000,0.59421911,0.23333694,0.07298920,0.28972409
5.42971486,1.37498063,0.42983283,0.00000000,0.59336117,0.23994052,0.07718506,0.29463367
5.43571786,1.39507647,0.43898167,0.00000000,0.59302406,0.24605055,0.08136718,0.29891960
5.44172086,1.41378409,0.44702155,0.00000000,0.59318221,0.25158476,0.08546247,0.30252886
5.44772386,1.43073014,0.45384249,0.00000000,0.59377408,0.25645695,0.08939474,0.30540339
5.45372686,1.44550491,0.45933294,0.00000000,0.59470949,0.26057941,0.09308709,0.30748167
5.45972986,1.45768139,0.46338293,0.00000000,0.59587839,0.26386589,0.09646447,0.30870082
5.46573287,1.46683631,0.46588780,0.00000000,0.59716041,0.26623478,0.09945636,0.30899926
5.47173587,1.47257189,0.46675222,0.00000000,0.59843459,0.26761258,0.10199918,0.30831965
5.47773887,1.47453712,0.46589440,0.00000000,0.59958864,0.26793723,0.10403867,0.30661194
5.48374187,1.47244717,0.46325023,0.00000000,0.60052709,0.26716122,0.10553182,0.30383652
5.48974487,1.46609990,0.45877701,0.00000000,0.60117775,0.26525438,0.10644840,0.29996705
5.49574787,1.45538830,0.45245681,0.00000000,0.60149606,0.26220597,0.10677202,0.29499299
5.50175088,1.44030829,0.44429898,0.00000000,0.60146712,0.25802614,0.10650058,0.28892158
5.50775388,1.42096116,0.43434186,0.00000000,0.60110502,0.25274659,0.10564619,0.28177906
5.51375688,1.39755074,0.42265349,0.00000000,0.60044981,0.24642029,0.10423447,0.27361130
5.51975988,1.37037527,0.40933127,0.00000000,0.59956211,0.23912043,0.10230332,0.26448349
5.52576288,1.33981466,0.39450058,0.00000000,0.59851588,0.23093853,0.09990126,0.25447906
5.53176588,1.30631380,0.37831239,0.00000000,0.59738980,0.22198176,0.09708535,0.24369793
5.53776888,1.27036295,0.36093999,0.00000000,0.59625787,0.21236983,0.09391886,0.23225399
5.54377189,1.23247650,0.34257494,0.00000000,0.59518000,0.20223125,0.09046876,0.22027212
5.54977489,1.19317122,0.32342247,0.00000000,0.59419321,0.19169955,0.08680326,0.20788480
5.55577789,1.15294529,0.30369642,0.00000000,0.59330416,0.18090929,0.08298938,0.19522846
5.56178089,1.11225940,0.28361407,0.00000000,0.59248347,0.16999227,0.07909074,0.18243985
5.56778389,1.07152074,0.26339096,0.00000000,0.59166245,0.15907403,0.07516571,0.16965246
5.57378689,1.03107081,0.24323598,0.00000000,0.59073240,0.14827078,0.07126587,0.15699327
5.57978989,0.99117748,0.22334680,0.00000000,0.58954670,0.13768687,0.06743496,0.14457981
5.58579290,0.95203164,0.20390588,0.00000000,0.58792551,0.12741294,0.06370825,0.13251780
5.59179590,0.91374830,0.18507721,0.00000000,0.58566298,0.11752465,0.06011232,0.12089934
