energy_ev,total_up,Ag_p_up,Ag_d_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up
-4.95547774,1.36283548,0.58983379,0.74105505,0.10416772,0.00000000,0.33677187,0.00000000
-4.94947474,1.39221869,0.60045437,0.75317762,0.10600289,0.00000000,0.35181390,0.00000000
-4.94347174,1.42167952,0.61006900,0.76592021,0.10770544,0.00000000,0.36661536,0.00000000
-4.93746873,1.45058868,0.61848687,0.77878432,0.10925005,0.00000000,0.38108320,0.00000000
-4.93146573,1.47835879,0.62552575,0.79129341,0.11061069,0.00000000,0.39514825,0.00000000
-4.92546273,1.50445640,0.63101667,0.80300321,0.11176115,0.00000000,0.40876642,0.00000000
-4.91945973,1.52841198,0.63480868,0.81351105,0.11267566,0.00000000,0.42191851,0.00000000
-4.91345673,1.54982747,0.63677363,0.82246357,0.11332962,0.00000000,0.43460857,0.00000000
-4.90745373,1.56838118,0.63681074,0.82956299,0.11370045,0.00000000,0.44686084,0.00000000
-4.90145073,1.58383002,0.63485069,0.83457147,0.11376839,0.00000000,0.45871560,0.00000000
-4.89544772,1.59600911,0.63085901,0.83731374,0.11351738,0.00000000,0.47022390,0.00000000
-4.88944472,1.60482893,0.62483869,0.83767792,0.11293578,0.00000000,0.48144178,0.00000000
-4.88344172,1.61027035,0.61683174,0.83561445,0.11201711,0.00000000,0.49242402,0.00000000
-4.87743872,1.61237784,0.60691966,0.83113350,0.11076051,0.00000000,0.50321813,0.00000000
-4.87143572,1.61125138,0.59522263,0.82430087,0.10917119,0.00000000,0.51385866,0.00000000
-4.86543272,1.60703755,0.58189756,0.81523260,0.10726051,0.00000000,0.52436237,0.00000000
-4.85942971,1.59992015,0.56713486,0.80408861,0.10504603,0.00000000,0.53472459,0.00000000
-4.85342671,1.59011096,0.55115415,0.79106560,0.10255121,0.00000000,0.54491684,0.00000000
-4.84742371,1.57784086,0.53419889,0.77638938,0.09980496,0.00000000,0.55488600,0.00000000
