energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-4.83541771,0.63263501,0.04991167,0.00000000,0.23936619,0.02944662,0.11438027,0.11053343
-4.82941471,0.62848266,0.05126410,0.00000000,0.24478165,0.02919604,0.10910946,0.10714825
-4.82341171,0.62676556,0.05300218,0.00000000,0.25133529,0.02905125,0.10441706,0.10459210
-4.81740870,0.62780764,0.05517233,0.00000000,0.25916696,0.02903446,0.10030705,0.10301425
-4.81140570,0.63187741,0.05781528,0.00000000,0.26839831,0.02916742,0.09676675,0.10255644
-4.80540270,0.63918672,0.06096536,0.00000000,0.27913128,0.02947124,0.09376765,0.10335235
-4.79939970,0.64989159,0.06465014,0.00000000,0.29144729,0.02996625,0.09126700,0.10552705
-4.79339670,0.66409483,0.06889007,0.00000000,0.30540705,0.03067176,0.08920989,0.10919653
-4.78739370,0.68184990,0.07369852,0.00000000,0.32105082,0.03160596,0.08753176,0.11446708
-4.78139070,0.70316550,0.07908179,0.00000000,0.33839899,0.03278564,0.08616123,0.12143442
-4.77538769,0.72801056,0.08503930,0.00000000,0.35745273,0.03422600,0.08502310,0.13018245
-4.76938469,0.75631885,0.09156382,0.00000000,0.37819460,0.03594029,0.08404138,0.14078167
-4.76338169,0.78799301,0.09864157,0.00000000,0.40058886,0.03793945,0.08314224,0.15328709
-4.75737869,0.82290757,0.10625240,0.00000000,0.42458145,0.04023166,0.08225675,0.16773587
-4.75137569,0.86091064,0.11436971,0.00000000,0.45009948,0.04282189,0.08132330,0.18414447
-4.74537269,0.90182437,0.12296029,0.00000000,0.47705023,0.04571133,0.08028959,0.20250581
-4.73936968,0.94544400,0.13198406,0.00000000,0.50531979,0.04889692,0.07911425,0.22278624
-4.73336668,0.99153584,0.14139351,0.00000000,0.53477126,0.05237079,0.07776786,0.24492273
-4.72736368,1.03983440,0.15113324,0.00000000,0.56524293,0.05611985,0.07623350,0.26882052
-4.72136068,1.09003909,0.16113927,0.00000000,0.59654644,0.06012542,0.07450682,0.29435124
-4.71535768,1.14181104,0.17133850,0.00000000,0.62846538,0.06436300,0.07259558,0.32135191
-4.70935468,1.19477039,0.18164823,0.00000000,0.66075434,0.06880220,0.07051876,0.34962498
-4.70335168,1.24849475,0.19197592,0.00000000,0.69313903,0.07340690,0.06830532,0.37893936
-4.69734867,1.30251913,0.20221924,0.00000000,0.72531737,0.07813550,0.06599263,0.40903276
-4.69134567,1.35633779,0.21226657,0.00000000,0.75696194,0.08294152,0.06362459,0.43961523
-4.68534267,1.40940822,0.22199796,0.00000000,0.78772378,0.08777429,0.06124974,0.47037384
-4.67933967,1.46115741,0.23128659,0.00000000,0.81723769,0.09257991,0.05891908,0.50097835
-4.67333667,1.51099032,0.24000083,0.00000000,0.84512880,0.09730229,0.05668408,0.53108783
-4.66733367,1.55830023,0.24800683,0.00000000,0.87102040,0.10188437,0.05459458,0.56035777
-4.66133067,1.60248086,0.25517150,0.00000000,0.89454263,0.10626940,0.05269692,0.58844755
-4.65532766,1.64293953,0.26136603,0.00000000,0.91534179,0.11040219,0.05103218,0.61502787
-4.64932466,1.67911088,0.26646948,0.00000000,0.93308982,0.11423039,0.04963471,0.63978791
-4.64332166,1.71047052,0.27037265,0.00000000,0.94749357,0.11770566,0.04853081,0.66244181
-4.63731866,1.73654799,0.27298174,0.00000000,0.95830338,0.12078468,0.04773783,0.68273433
-4.63131566,1.75693832,0.27422184,0.00000000,0.96532060,0.12343001,0.04726350,0.70044547
-4.62531266,1.77131189,0.27403995,0.00000000,0.96840369,0.12561075,0.04710558,0.71539377
-4.61930965,1.77942187,0.27240740,0.00000000,0.96747254,0.12730296,0.04725189,0.72743848
-4.61330665,1.78110932,0.26932156,0.00000000,0.96251097,0.12848993,0.04768062,0.73648036
-4.60730365,1.77630558,0.26480670,0.00000000,0.95356720,0.12916208,0.04836098,0.74246141
-4.60130065,1.76503207,0.25891394,0.00000000,0.94075232,0.12931686,0.04925412,0.74536346
-4.59529765,1.74739773,0.25172031,0.00000000,0.92423694,0.12895838,0.05031429,0.74520602
-4.58929465,1.72359432,0.24332691,0.00000000,0.90424614,0.12809690,0.05149030,0.74204343
-4.58329165,1.69389007,0.23385629,0.00000000,0.88105313,0.12674829,0.05272710,0.73596174
-4.57728864,1.65862198,0.22344915,0.00000000,0.85497180,0.12493344,0.05396747,0.72707528
-4.57128564,1.61818732,0.21226047,0.00000000,0.82634859,0.12267760,0.05515387,0.71552339
-4.56528264,1.57303479,0.20045536,0.00000000,0.79555414,0.12000984,0.05623018,0.70146725
-4.55927964,1.52365564,0.18820467,0.00000000,0.76297482,0.11696242,0.05714352,0.68508710
-4.55327664,1.47057506,0.17568063,0.00000000,0.72900466,0.11357041,0.05784582,0.66657974
-4.54727364,1.41434411,0.16305272,0.00000000,0.69403786,0.10987116,0.05829530,0.64615644
-4.54127064,1.35553233,0.15048385,0.00000000,0.65846199,0.10590400,0.05845773,0.62404113
-4.53526763,1.29472084,0.13812703,0.00000000,0.62265204,0.10170990,0.05830733,0.60046881
-4.52926463,1.23249622,0.12612258,0.00000000,0.58696545,0.09733119,0.05782744,0.57568409
-4.52326163,1.16944471,0.11459603,0.00000000,0.55173794,0.09281131,0.05701083,0.54993969
-4.51725863,1.10614676,0.10365662,0.00000000,0.51728021,0.08819454,0.05585970,0.52349475
-4.51125563,1.04317179,0.09339645,0.00000000,0.48387544,0.08352563,0.05438531,0.49661292
-4.50525263,0.98107283,0.08389021,0.00000000,0.45177728,0.07884952,0.05260737,0.46956008
-4.49924962,0.92038112,0.07519549,0.00000000,0.42120852,0.07421088,0.05055313,0.44260158
-4.49324662,0.86160048,0.06735346,0.00000000,0.39236008,0.06965364,0.04825626,0.41599917
-4.48724362,0.80520145,0.06038992,0.00000000,0.36539029,0.06522045,0.04575562,0.39000742
-4.48124062,0.75161536,0.05431659,0.00000000,0.34042453,0.06095204,0.04309391,0.36486991
