energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-2.54227114,2.46725954,0.29007267,2.19367784,0.00051017,0.01094448,0.00151665,0.04820701,0.07174597,0.32690914
-2.53626813,2.52396373,0.29674767,2.24806228,0.00050589,0.01112100,0.00164066,0.04908204,0.07374658,0.33215573
-2.53026513,2.58566141,0.30476716,2.30431930,0.00050536,0.01138330,0.00178507,0.05023226,0.07643356,0.33963813
-2.52426213,2.65247765,0.31418958,2.36223130,0.00050877,0.01174077,0.00195030,0.05167622,0.07985627,0.34962288
-2.51825913,2.72440725,0.32504791,2.42147582,0.00051620,0.01220195,0.00213642,0.05342852,0.08405640,0.36235759
-2.51225613,2.80129951,0.33734479,2.48162606,0.00052762,0.01277409,0.00234307,0.05549892,0.08906535,0.37805893
-2.50625313,2.88284629,0.35104804,2.54215445,0.00054292,0.01346283,0.00256948,0.05789149,0.09490171,0.39690061
-2.50025013,2.96857375,0.36608714,2.60243913,0.00056187,0.01427179,0.00281437,0.06060395,0.10156893,0.41900195
-2.49424712,3.05783834,0.38235071,2.66177323,0.00058416,0.01520229,0.00307598,0.06362701,0.10905330,0.44441745
-2.48824412,3.14982733,0.39968525,2.71937663,0.00060938,0.01625310,0.00335201,0.06694396,0.11732233,0.47312787
-2.48224112,3.24356431,0.41789528,2.77440999,0.00063704,0.01742024,0.00363970,0.07053044,0.12632364,0.50503321
-2.47623812,3.33791981,0.43674492,2.82599082,0.00066658,0.01869690,0.00393582,0.07435438,0.13598437,0.53994802
-2.47023512,3.43162725,0.45596114,2.87321124,0.00069739,0.02007339,0.00423671,0.07837624,0.14621138,0.57759941
-2.46423212,3.52330418,0.47523843,2.91515734,0.00072879,0.02153724,0.00453838,0.08254942,0.15689197,0.61762794
-2.45822911,3.61147884,0.49424510,2.95092958,0.00076012,0.02307337,0.00483657,0.08682104,0.16789549,0.65959174
-2.45222611,3.69462145,0.51263080,2.97966419,0.00079068,0.02466438,0.00512686,0.09113284,0.17907560,0.70297363
-2.44622311,3.77117992,0.53003530,3.00055500,0.00081977,0.02629088,0.00540477,0.09542238,0.19027318,0.74719145
-2.44022011,3.83961914,0.54609811,3.01287533,0.00084675,0.02793202,0.00566591,0.09962448,0.20132000,0.79161125
-2.43421711,3.89846285,0.56046870,3.01599952,0.00087099,0.02956591,0.00590608,0.10367278,0.21204279,0.83556299
-2.42821411,3.94633685,0.57281700,3.00942328,0.00089194,0.03117033,0.00612143,0.10750144,0.22226784,0.87835834
-2.42221111,3.98201221,0.58284366,2.99278259,0.00090911,0.03272326,0.00630853,0.11104697,0.23182574,0.91931003
-2.41620810,4.00444703,0.59028978,2.96587019,0.00092211,0.03420362,0.00646455,0.11424998,0.24055638,0.95775195
-2.41020510,4.01282491,0.59494576,2.92864915,0.00093064,0.03559185,0.00658731,0.11705700,0.24831371,0.99305942
-2.40420210,4.00658887,0.59665872,2.88126284,0.00093450,0.03687060,0.00667541,0.11942210,0.25497030,1.02466876
