energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down
-2.09804902,6.53211188,-6.53262724,0.75674843,-0.75678989,5.55978158,-5.56021841,0.01806339,-0.01805924,0.25064837,-0.25065217,1.09407649,-1.09420061,0.01312039,-0.01311990
-2.09204602,6.43923430,-6.43981459,0.74753590,-0.74758699,5.48247101,-5.48295935,0.01864036,-0.01863605,0.24872363,-0.24872991,1.07229432,-1.07243701,0.01321210,-0.01321165
-2.08604302,6.33758729,-6.33822500,0.73690457,-0.73696446,5.39824552,-5.39877901,0.01924016,-0.01923574,0.24640879,-0.24641751,1.04802721,-1.04818663,0.01329942,-0.01329898
-2.08004002,6.22824737,-6.22893480,0.72500802,-0.72507597,5.30797389,-5.30854594,0.01985396,-0.01984947,0.24372026,-0.24373138,1.02159420,-1.02176845,0.01338249,-0.01338206
-2.07403702,6.11224702,-6.11297652,0.71198167,-0.71205697,5.21249718,-5.21310121,0.02047082,-0.02046634,0.24066835,-0.24068186,0.99330730,-0.99349448,0.01346138,-0.01346096
-2.06803402,5.99054634,-5.99131050,0.69793930,-0.69802136,5.11260487,-5.11323447,0.02107808,-0.02107368,0.23725724,-0.23727316,0.96346363,-0.96366185,0.01353604,-0.01353561
-2.06203102,5.86401176,-5.86480357,0.68297147,-0.68305978,5.00901614,-5.00966524,0.02166172,-0.02165748,0.23348541,-0.23350375,0.93233927,-0.93254674,0.01360621,-0.01360578
-2.05602801,5.73340241,-5.73421542,0.66714578,-0.66723994,4.90236692,-4.90302991,0.02220683,-0.02220283,0.22934655,-0.22936736,0.90018506,-0.90040008,0.01367147,-0.01367102
-2.05002501,5.59936456,-5.60019297,0.65050874,-0.65060842,4.79320314,-4.79387496,0.02269816,-0.02269448,0.22483096,-0.22485427,0.86722442,-0.86744541,0.01373116,-0.01373069
-2.04402201,5.46243361,-5.46327233,0.63308920,-0.63319416,4.68197979,-4.68265602,0.02312066,-0.02311738,0.21992721,-0.21995307,0.83365297,-0.83387849,0.01378443,-0.01378393
-2.03801901,5.32304284,-5.32388749,0.61490298,-0.61501302,4.56906557,-4.56974246,0.02346004,-0.02345724,0.21462410,-0.21465254,0.79963995,-0.79986871,0.01383022,-0.01382970
-2.03201601,5.18153759,-5.18238453,0.59595827,-0.59607321,4.45475191,-4.45542635,0.02370334,-0.02370108,0.20891264,-0.20894366,0.76533103,-0.76556187,0.01386732,-0.01386679
-2.02601301,5.03819354,-5.03903980,0.57626145,-0.57638113,4.33926550,-4.33993506,0.02383938,-0.02383771,0.20278807,-0.20282164,0.73085217,-0.73108402,0.01389440,-0.01389386
-2.02001001,4.89323718,-4.89408039,0.55582294,-0.55594715,4.22278305,-4.22344589,0.02385920,-0.02385818,0.19625163,-0.19628769,0.69631409,-0.69654602,0.01391005,-0.01390950
-2.01400700,4.74686701,-4.74770533,0.53466262,-0.53479110,4.10544696,-4.10610181,0.02375642,-0.02375606,0.18931217,-0.18935063,0.66181708,-0.66204823,0.01391283,-0.01391229
-2.00800400,4.59927381,-4.60010586,0.51281447,-0.51294689,3.98738089,-3.98802696,0.02352743,-0.02352776,0.18198728,-0.18202798,0.62745558,-0.62768516,0.01390134,-0.01390081
-2.00200100,4.45065878,-4.45148352,0.49033025,-0.49046620,3.86870413,-3.86934104,0.02317156,-0.02317258,0.17430403,-0.17434677,0.59332232,-0.59354957,0.01387425,-0.01387376
-1.99599800,4.30124848,-4.30206512,0.46728192,-0.46742086,3.74954399,-3.75017168,0.02269106,-0.02269274,0.16629923,-0.16634377,0.55951169,-0.55973589,0.01383040,-0.01382995
-1.98999500,4.15130596,-4.15211392,0.44376269,-0.44390401,3.63004578,-3.63066447,0.02209101,-0.02209334,0.15801919,-0.15806524,0.52612216,-0.52634262,0.01376880,-0.01376840
-1.98399200,4.00113786,-4.00193667,0.41988681,-0.42002979,3.51038010,-3.51099016,0.02137913,-0.02138207,0.14951902,-0.14956623,0.49325768,-0.49347370,0.01368867,-0.01368835
-1.97798899,3.85109751,-3.85188672,0.39578803,-0.39593184,3.39074737,-3.39134930,0.02056549,-0.02056898,0.14086147,-0.14090947,0.46102794,-0.46123884,0.01358956,-0.01358931
-1.97198599,3.70158435,-3.70236352,0.37161695,-0.37176072,3.27137997,-3.27197429,0.01966214,-0.01966611,0.13211549,-0.13216389,0.42954777,-0.42975287,0.01347129,-0.01347114
-1.96598299,3.55304044,-3.55380906,0.34753750,-0.34768028,3.15254219,-3.15312941,0.01868267,-0.01868706,0.12335447,-0.12340286,0.39893550,-0.39913415,0.01333405,-0.01333400
-1.95997999,3.40594454,-3.40670201,0.32372271,-0.32386352,3.03452863,-3.03510916,0.01764182,-0.01764655,0.11465437,-0.11470233,0.36931086,-0.36950241,0.01317839,-0.01317846
-1.95397699,3.26080478,-3.26155036,0.30035011,-0.30048797,2.91766137,-2.91823548,0.01655494,-0.01655994,0.10609172,-0.10613883,0.34079223,-0.34097607,0.01300528,-0.01300547
-1.94797399,3.11815050,-3.11888332,0.27759706,-0.27773100,2.80228654,-2.80285431,0.01543758,-0.01544277,0.09774170,-0.09778756,0.31349378,-0.31366934,0.01281609,-0.01281640
-1.94197099,2.97852403,-2.97924300,0.25563609,-0.25576518,2.68877057,-2.68933184,0.01430505,-0.01431035,0.08967636,-0.08972059,0.28752258,-0.28768936,0.01261261,-0.01261304
-1.93596798,2.84247274,-2.84317659,0.23463071,-0.23475409,2.57749645,-2.57805078,0.01317200,-0.01317733,0.08196298,-0.08200523,0.26297590,-0.26313346,0.01239707,-0.01239761
-1.92996498,2.71054186,-2.71122911,0.21473169,-0.21484855,2.46886001,-2.46940667,0.01205210,-0.01205738,0.07466270,-0.07470266,0.23993889,-0.24008686,0.01217211,-0.01217276
-1.92396198,2.58326806,-2.58393702,0.19607392,-0.19618359,2.36326647,-2.36380441,0.01095773,-0.01096292,0.06782946,-0.06786686,0.21848266,-0.21862075,0.01194079,-0.01194153
-1.91795898,2.46117380,-2.46182255,0.17877410,-0.17887597,2.26112688,-2.26165471,0.00989983,-0.00990486,0.06150919,-0.06154379,0.19866301,-0.19879103,0.01170652,-0.01170734
-1.91195598,2.34476218,-2.34538862,0.16292904,-0.16302264,2.16285441,-2.16337043,0.00888767,-0.00889250,0.05573931,-0.05577094,0.18051962,-0.18063745,0.01147305,-0.01147393
-1.90595298,2.23451222,-2.23511406,0.14861471,-0.14869967,2.06886031,-2.06936253,0.00792885,-0.00793343,0.05054852,-0.05057704,0.16407582,-0.16418344,0.01124439,-0.01124530
-1.89994997,2.13087401,-2.13144885,0.13588590,-0.13596198,1.97954921,-1.98003539,0.00702921,-0.00703351,0.04595678,-0.04598210,0.14933888,-0.14943635,0.01102475,-0.01102567
-1.89394697,2.03426377,-2.03480909,0.12477645,-0.12484350,1.89531371,-1.89578141,0.00619295,-0.00619696,0.04197554,-0.04199762,0.13630057,-0.13638802,0.01081845,-0.01081935
-1.88794397,1.94505830,-1.94557160,0.11529986,-0.11535787,1.81652818,-1.81697483,0.00542266,-0.00542636,0.03860809,-0.03862692,0.12493816,-0.12501579,0.01062979,-0.01063064
-1.88194097,1.86358920,-1.86406800,0.10745028,-0.10749931,1.74354180,-1.74396477,0.00471950,-0.00472288,0.03585001,-0.03586564,0.11521550,-0.11528359,0.01046300,-0.01046378
-1.87593797,1.79013645,-1.79057843,0.10120366,-0.10124389,1.67667110,-1.67706782,0.00408332,-0.00408638,0.03368971,-0.03370221,0.10708426,-0.10714313,0.01032207,-0.01032275
-1.86993497,1.72492212,-1.72532514,0.09651913,-0.09655079,1.61619239,-1.61656038,0.00351285,-0.00351559,0.03210898,-0.03211845,0.10048517,-0.10053520,0.01021070,-0.01021124
-1.86393197,1.66810417,-1.66846639,0.09334029,-0.09336371,1.56233433,-1.56267133,0.00300591,-0.00300835,0.03108357,-0.03109015,0.09534924,-0.09539083,0.01013211,-0.01013251
-1.85792896,1.61977112,-1.62009104,0.09159671,-0.09161227,1.51527139,-1.51557542,0.00255957,-0.00256171,0.03058372,-0.03058755,0.09159884,-0.09163244,0.01008905,-0.01008927
-1.85192596,1.57993809,-1.58021462,0.09120527,-0.09121342,1.47511875,-1.47538817,0.00217037,-0.00217223,0.03057470,-0.03057599,0.08914878,-0.08917486,0.01008361,-0.01008365
-1.84592296,1.54854467,-1.54877715,0.09207161,-0.09207284,1.44192897,-1.44216251,0.00183446,-0.00183606,0.03101742,-0.03101635,0.08790723,-0.08792629,0.01011728,-0.01011712
-1.83991996,1.52545546,-1.52564369,0.09409154,-0.09408638,1.41569123,-1.41588803,0.00154779,-0.00154915,0.03186887,-0.03186567,0.08777669,-0.08778924,0.01019083,-0.01019046
-1.83391696,1.51046339,-1.51060759,0.09715255,-0.09714157,1.39633332,-1.39649292,0.00130623,-0.00130736,0.03308278,-0.03307766,0.08865487,-0.08866143,0.01030435,-0.01030377
-1.82791396,1.50329635,-1.50339716,0.10113540,-0.10111917,1.38372667,-1.38384897,0.00110569,-0.00110662,0.03461018,-0.03460340,0.09043564,-0.09043675,0.01045727,-0.01045649
-1.82191096,1.50362726,-1.50368564,0.10591583,-0.10589495,1.37769442,-1.37777964,0.00094223,-0.00094296,0.03640013,-0.03639194,0.09301013,-0.09300633,0.01064846,-0.01064748
-1.81590795,1.51108724,-1.51110442,0.11136644,-0.11134152,1.37802251,-1.37807111,0.00081210,-0.00081267,0.03840046,-0.03839110,0.09626788,-0.09625970,0.01087628,-0.01087510
-1.80990495,1.52528190,-1.52525925,0.11735879,-0.11733042,1.38447325,-1.38448583,0.00071187,-0.00071228,0.04055864,-0.04054835,0.10009823,-0.10008620,0.01113872,-0.01113735
-1.80390195,1.54580997,-1.54574890,0.12376559,-0.12373436,1.39680101,-1.39677824,0.00063836,-0.00063864,0.04282269,-0.04281173,0.10439181,-0.10437646,0.01143353,-0.01143198
-1.79789895,1.57228375,-1.57218556,0.13046314,-0.13042961,1.41476929,-1.41471176,0.00058877,-0.00058892,0.04514230,-0.04513089,0.10904229,-0.10902410,0.01175840,-0.01175670
-1.79189595,1.60435036,-1.60421618,0.13733384,-0.13729853,1.43816840,-1.43807655,0.00056061,-0.00056064,0.04746986,-0.04745822,0.11394816,-0.11392761,0.01211114,-0.01210928
-1.78589295,1.64171310,-1.64154369,0.14426871,-0.14423212,1.46683292,-1.46670692,0.00055174,-0.00055166,0.04976163,-0.04974996,0.11901467,-0.11899220,0.01248982,-0.01248780
-1.77988994,1.68415166,-1.68394737,0.15117000,-0.15113256,1.50065808,-1.50049776,0.00056034,-0.00056016,0.05197888,-0.05196734,0.12415578,-0.12413180,0.01289293,-0.01289077
-1.77388694,1.73154044,-1.73130110,0.15795357,-0.15791565,1.53961430,-1.53941903,0.00058493,-0.00058465,0.05408898,-0.05407772,0.12929606,-0.12927091,0.01331959,-0.01331729
-1.76788394,1.78386403,-1.78358887,0.16455112,-0.16451302,1.58375905,-1.58352777,0.00062431,-0.00062395,0.05606646,-0.05605559,0.13437238,-0.13434638,0.01376963,-0.01376718
-1.76188094,1.84122895,-1.84091660,0.17091209,-0.17087406,1.63324560,-1.63297673,0.00067760,-0.00067716,0.05789385,-0.05788342,0.13933551,-0.13930891,0.01424373,-0.01424111
