energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-1.29364682,1.67529610,0.83656387,0.03402221,0.02542728,0.31521378,0.14267201,0.90409128
-1.28764382,1.63708669,0.81985139,0.03374091,0.02629266,0.31003702,0.13853895,0.87730722
-1.28164082,1.60724631,0.80768469,0.03363463,0.02740970,0.30597131,0.13523596,0.85478143
-1.27563782,1.58725718,0.80082981,0.03373343,0.02880330,0.30325876,0.13289321,0.83733214
-1.26963482,1.57841800,0.79995149,0.03406412,0.03049480,0.30212278,0.13162178,0.82567985
-1.26363182,1.58180285,0.80559205,0.03464917,0.03250095,0.30275974,0.13151056,0.82042651
-1.25762881,1.59822467,0.81815279,0.03550583,0.03483286,0.30533117,0.13262354,0.82203725
-1.25162581,1.62820477,0.83787883,0.03664533,0.03749519,0.30995665,0.13499762,0.83082525
-1.24562281,1.67194953,0.86484778,0.03807219,0.04048529,0.31670783,0.13864115,0.84694022
-1.23961981,1.72933529,0.89896284,0.03978377,0.04379266,0.32560384,0.14353299,0.87036102
-1.23361681,1.79990231,0.93995077,0.04176998,0.04739859,0.33660835,0.14962247,0.90089264
-1.22761381,1.88285838,0.98736483,0.04401324,0.05127608,0.34962843,0.15682997,0.93816791
-1.22161081,1.97709234,1.04059303,0.04648870,0.05539002,0.36451537,0.16504829,0.98165396
-1.21560780,2.08119732,1.09887136,0.04916468,0.05969770,0.38106739,0.17414487,1.03066334
-1.20960480,2.19350339,1.16130187,0.05200337,0.06414961,0.39903428,0.18396463,1.08436971
-1.20360180,2.31211848,1.22687503,0.05496174,0.06869054,0.41812374,0.19433349,1.14182758
-1.19759880,2.43497666,1.29449569,0.05799264,0.07326090,0.43800917,0.20506253,1.20199554
-1.19159580,2.55989180,1.36301178,0.06104605,0.07779828,0.45833871,0.21595250,1.26376241
-1.18559280,2.68461507,1.43124475,0.06407047,0.08223912,0.47874499,0.22679875,1.32597523
-1.17958979,2.80689393,1.49802062,0.06701431,0.08652052,0.49885542,0.23739625,1.38746841
-1.17358679,2.92453060,1.56220045,0.06982730,0.09058192,0.51830237,0.24754465,1.44709277
-1.16758379,3.03543785,1.62270918,0.07246188,0.09436688,0.53673300,0.25705316,1.50374368
-1.16158079,3.13768994,1.67856169,0.07487440,0.09782451,0.55381833,0.26574512,1.55638718
-1.15557779,3.22956707,1.72888520,0.07702621,0.10091082,0.56926116,0.27346207,1.60408337
-1.14957479,3.30959185,1.77293729,0.07888456,0.10358971,0.58280268,0.28006722,1.64600617
-1.14357179,3.37655670,1.81011903,0.08042323,0.10583366,0.59422755,0.28544822,1.68145898
-1.13756878,3.42954177,1.83998294,0.08162294,0.10762408,0.60336731,0.28951916,1.70988603
-1.13156578,3.46792324,1.86223594,0.08247153,0.10895127,0.61010230,0.29222179,1.73087899
-1.12556278,3.49137241,1.87673747,0.08296390,0.10981413,0.61436194,0.29352590,1.74417927
-1.11955978,3.49984646,1.88349329,0.08310169,0.11021945,0.61612369,0.29342898,1.74967605
-1.11355678,3.49357212,1.88264583,0.08289283,0.11018111,0.61541085,0.29195512,1.74740067
-1.10755378,3.47302362,1.87446165,0.08235094,0.10971899,0.61228952,0.28915341,1.73751782
-1.10155078,3.43889650,1.85931718,0.08149462,0.10885779,0.60686476,0.28509570,1.72031437
-1.09554777,3.39207893,1.83768336,0.08034669,0.10762587,0.59927653,0.27987406,1.69618633
-1.08954477,3.33362202,1.81011020,0.07893337,0.10605406,0.58969538,0.27359792,1.66562481
-1.08354177,3.26471032,1.77721179,0.07728359,0.10417465,0.57831816,0.26639105,1.62920149
-1.07753877,3.18663360,1.73965228,0.07542821,0.10202042,0.56536396,0.25838838,1.58755406
-1.07153577,3.10076063,1.69813323,0.07339942,0.09962400,0.55107022,0.24973293,1.54137222
-1.06553277,3.00851520,1.65338241,0.07123020,0.09701728,0.53568918,0.24057275,1.49138420
-1.05952976,2.91135458,1.60614387,0.06895380,0.09423111,0.51948447,0.23105789,1.43834427
-1.05352676,2.81075012,1.55716926,0.06660337,0.09129522,0.50272794,0.22133769,1.38302097
