energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.35517759,0.33041201,0.01544520,0.00000000,0.02725430,0.26558729,0.01783045,0.00000000
-4.34917459,0.34882495,0.01785712,0.00000000,0.02725209,0.28102885,0.01896047,0.00000000
-4.34317159,0.37137101,0.02060401,0.00000000,0.02770939,0.29970135,0.02045936,0.00000000
-4.33716858,0.39789737,0.02370173,0.00000000,0.02862770,0.32147081,0.02233881,0.00000000
-4.33116558,0.42817927,0.02716236,0.00000000,0.03000314,0.34614512,0.02460755,0.00000000
-4.32516258,0.46192491,0.03099364,0.00000000,0.03182695,0.37347804,0.02727118,0.00000000
-4.31915958,0.49878202,0.03519834,0.00000000,0.03408604,0.40317468,0.03033206,0.00000000
-4.31315658,0.53834634,0.03977387,0.00000000,0.03676367,0.43489847,0.03378931,0.00000000
-4.30715358,0.58017185,0.04471209,0.00000000,0.03984015,0.46827964,0.03763892,0.00000000
-4.30115058,0.62378277,0.04999922,0.00000000,0.04329376,0.50292497,0.04187402,0.00000000
-4.29514757,0.66868714,0.05561618,0.00000000,0.04710172,0.53842897,0.04648530,0.00000000
-4.28914457,0.71439173,0.06153908,0.00000000,0.05124137,0.57438591,0.05146161,0.00000000
-4.28314157,0.76041797,0.06774017,0.00000000,0.05569142,0.61040275,0.05679077,0.00000000
-4.27713857,0.80631848,0.07418891,0.00000000,0.06043347,0.64611234,0.06246051,0.00000000
-4.27113557,0.85169359,0.08085351,0.00000000,0.06545349,0.68118661,0.06845960,0.00000000
-4.26513257,0.89620744,0.08770260,0.00000000,0.07074350,0.71534922,0.07477901,0.00000000
-4.25912956,0.93960267,0.09470712,0.00000000,0.07630324,0.74838714,0.08141313,0.00000000
-4.25312656,0.98171341,0.10184228,0.00000000,0.08214172,0.78016056,0.08836105,0.00000000
-4.24712356,1.02247545,0.10908956,0.00000000,0.08827875,0.81061071,0.09562754,0.00000000
-4.24112056,1.06193335,0.11643856,0.00000000,0.09474613,0.83976498,0.10322397,0.00000000
-4.23511756,1.10024346,0.12388861,0.00000000,0.10158857,0.86773892,0.11116886,0.00000000
-4.22911456,1.13767273,0.13145000,0.00000000,0.10886408,0.89473485,0.11948804,0.00000000
-4.22311156,1.17459278,0.13914481,0.00000000,0.11664390,0.92103674,0.12821436,0.00000000
-4.21710855,1.21146905,0.14700707,0.00000000,0.12501170,0.94700136,0.13738685,0.00000000
-4.21110555,1.24884519,0.15508227,0.00000000,0.13406210,0.97304577,0.14704936,0.00000000
-4.20510255,1.28732285,0.16342620,0.00000000,0.14389842,0.99963132,0.15724859,0.00000000
