energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
5.36968484,0.48333042,0.26132976,0.15346706,0.00647445,0.01788224,0.03342884,0.12417741,0.23625453,0.00118335
5.37568784,0.47704423,0.25366797,0.15048939,0.00612151,0.01783531,0.03350534,0.12123707,0.24002186,0.00119138
5.38169085,0.47344946,0.24800423,0.14829237,0.00583835,0.01788614,0.03365537,0.11913046,0.24535999,0.00120580
5.38769385,0.47224801,0.24419454,0.14672083,0.00562384,0.01802338,0.03385445,0.11779383,0.25224680,0.00122580
5.39369685,0.47316044,0.24209267,0.14562873,0.00547621,0.01823705,0.03408012,0.11716551,0.26067198,0.00125064
5.39969985,0.47593369,0.24155398,0.14488275,0.00539316,0.01851887,0.03431264,0.11718726,0.27063773,0.00127961
5.40570285,0.48034688,0.24243845,0.14436513,0.00537194,0.01886260,0.03453551,0.11780519,0.28215845,0.00131207
5.41170585,0.48621514,0.24461275,0.14397580,0.00540935,0.01926413,0.03473591,0.11897050,0.29525917,0.00134748
5.41770885,0.49339131,0.24795143,0.14363371,0.00550186,0.01972153,0.03490496,0.12063974,0.30997302,0.00138533
5.42371186,0.50176550,0.25233725,0.14327727,0.00564556,0.02023492,0.03503782,0.12277490,0.32633742,0.00142522
5.42971486,0.51126266,0.25766073,0.14286413,0.00583629,0.02080618,0.03513360,0.12534319,0.34438952,0.00146680
5.43571786,0.52183842,0.26381914,0.14237022,0.00606961,0.02143856,0.03519512,0.12831655,0.36416076,0.00150979
5.44172086,0.53347348,0.27071505,0.14178815,0.00634087,0.02213621,0.03522860,0.13167107,0.38567101,0.00155395
5.44772386,0.54616700,0.27825471,0.14112522,0.00664524,0.02290357,0.03524313,0.13538636,0.40892251,0.00159905
5.45372686,0.55992947,0.28634647,0.14040100,0.00697777,0.02374476,0.03525013,0.13944487,0.43389407,0.00164492
5.45972986,0.57477542,0.29489936,0.13964484,0.00733351,0.02466290,0.03526272,0.14383127,0.46053572,0.00169139
5.46573287,0.59071650,0.30382217,0.13889319,0.00770751,0.02565949,0.03529505,0.14853200,0.48876425,0.00173827
5.47173587,0.60775536,0.31302294,0.13818706,0.00809499,0.02673383,0.03536170,0.15353491,0.51845999,0.00178539
5.47773887,0.62588050,0.32240919,0.13756968,0.00849143,0.02788251,0.03547696,0.15882912,0.54946494,0.00183257
5.48374187,0.64506250,0.33188863,0.13708440,0.00889266,0.02909905,0.03565436,0.16440498,0.58158252,0.00187962
5.48974487,0.66525156,0.34137051,0.13677286,0.00929499,0.03037363,0.03590607,0.17025415,0.61457900,0.00192637
5.49574787,0.68637653,0.35076737,0.13667359,0.00969533,0.03169306,0.03624249,0.17636970,0.64818659,0.00197263
5.50175088,0.70834512,0.35999709,0.13682086,0.01009124,0.03304082,0.03667191,0.18274617,0.68210797,0.00201826
5.50775388,0.73104524,0.36898499,0.13724389,0.01048102,0.03439740,0.03720017,0.18937956,0.71602227,0.00206311
5.51375688,0.75434702,0.37766578,0.13796628,0.01086372,0.03574065,0.03783052,0.19626696,0.74959197,0.00210707
5.51975988,0.77810539,0.38598515,0.13900559,0.01123912,0.03704644,0.03856343,0.20340605,0.78247047,0.00215008
5.52576288,0.80216268,0.39390072,0.14037312,0.01160770,0.03828930,0.03939653,0.21079412,0.81431004,0.00219209
5.53176588,0.82635100,0.40138231,0.14207367,0.01197050,0.03944329,0.04032457,0.21842678,0.84476958,0.00223310
5.53776888,0.85049417,0.40841133,0.14410530,0.01232899,0.04048277,0.04133945,0.22629626,0.87352188,0.00227313
5.54377189,0.87440895,0.41497930,0.14645907,0.01268490,0.04138334,0.04243029,0.23438943,0.90026018,0.00231220
5.54977489,0.89790557,0.42108548,0.14911870,0.01303998,0.04212266,0.04358349,0.24268555,0.92470355,0.00235035
5.55577789,0.92078751,0.42673385,0.15206019,0.01339579,0.04268121,0.04478293,0.25115402,0.94660112,0.00238757
5.56178089,0.94285069,0.43192953,0.15525142,0.01375342,0.04304301,0.04601014,0.25975207,0.96573491,0.00242383
5.56778389,0.96388240,0.43667487,0.15865178,0.01411329,0.04319614,0.04724453,0.26842285,0.98192154,0.00245903
5.57378689,0.98366019,0.44096565,0.16221196,0.01447497,0.04313315,0.04846376,0.27709385,0.99501255,0.00249297
5.57978989,1.00195109,0.44478753,0.16587387,0.01483695,0.04285130,0.04964411,0.28567600,1.00489401,0.00252537
5.58579290,1.01851162,0.44811316,0.16957085,0.01519657,0.04235260,0.05076092,0.29406360,1.01148519,0.00255585
5.59179590,1.03308890,0.45090019,0.17322829,0.01554997,0.04164369,0.05178915,0.30213513,1.01473699,0.00258389
5.59779890,1.04542309,0.45309040,0.17676460,0.01589211,0.04073561,0.05270402,0.30975502,1.01463010,0.00260889
5.60380190,1.05525146,0.45461013,0.18009263,0.01621685,0.03964335,0.05348160,0.31677650,1.01117343,0.00263014
5.60980490,1.06231405,0.45537206,0.18312152,0.01651718,0.03838532,0.05409960,0.32304534,1.00440279,0.00264686
5.61580790,1.06636092,0.45527822,0.18575905,0.01678537,0.03698274,0.05453805,0.32840450,0.99438014,0.00265820
5.62181091,1.06716065,0.45422425,0.18791421,0.01701335,0.03545899,0.05478001,0.33269929,0.98119332,0.00266333
5.62781391,1.06450988,0.45210461,0.18950012,0.01719299,0.03383889,0.05481228,0.33578312,0.96495642,0.00266141
5.63381691,1.05824321,0.44881841,0.19043705,0.01731650,0.03214797,0.05462592,0.33752326,0.94581043,0.00265169
5.63981991,1.04824304,0.44427560,0.19065535,0.01737674,0.03041188,0.05421678,0.33780649,0.92392418,0.00263351
5.64582291,1.03444864,0.43840306,0.19009834,0.01736763,0.02865570,0.05358579,0.33654428,0.89949515,0.00260634
5.65182591,1.01686380,0.43115022,0.18872473,0.01728444,0.02690344,0.05273917,0.33367718,0.87274999,0.00256985
5.65782891,0.99556256,0.42249389,0.18651064,0.01712402,0.02517754,0.05168835,0.32917831,0.84394432,0.00252390
5.66383192,0.97069246,0.41244193,0.18345101,0.01688504,0.02349852,0.05044975,0.32305551,0.81336162,0.00246857
5.66983492,0.94247493,0.40103555,0.17956027,0.01656807,0.02188463,0.04904440,0.31535219,0.78131098,0.00240418
5.67583792,0.91120268,0.38835004,0.17487232,0.01617562,0.02035170,0.04749728,0.30614686,0.74812348,0.00233126
5.68184092,0.87723399,0.37449388,0.16943970,0.01571209,0.01891295,0.04583660,0.29555112,0.71414732,0.00225059
5.68784392,0.84098414,0.35960629,0.16333204,0.01518362,0.01757895,0.04409285,0.28370645,0.67974150,0.00216311
5.69384692,0.80291426,0.34385338,0.15663379,0.01459788,0.01635761,0.04229783,0.27077982,0.64526850,0.00206994
5.69984992,0.76351809,0.32742294,0.14944151,0.01396379,0.01525420,0.04048359,0.25695841,0.61108596,0.00197234
5.70585293,0.72330735,0.31051847,0.14186057,0.01329123,0.01427148,0.03868140,0.24244364,0.57753791,0.00187162
5.71185593,0.68279633,0.29335248,0.13400174,0.01259061,0.01340976,0.03692073,0.22744486,0.54494585,0.00176918
5.71785893,0.64248660,0.27613962,0.12597756,0.01187261,0.01266707,0.03522837,0.21217296,0.51360008,0.00166636
5.72386193,0.60285235,0.25908997,0.11789884,0.01114774,0.01203935,0.03362763,0.19683422,0.48375192,0.00156448
5.72986493,0.56432739,0.24240279,0.10987141,0.01042605,0.01152062,0.03213776,0.18162467,0.45560702,0.00146477
5.73586793,0.52729406,0.22626111,0.10199320,0.00971683,0.01110320,0.03077354,0.16672515,0.42932027,0.00136832
5.74187094,0.49207482,0.21082734,0.09435181,0.00902834,0.01077792,0.02954509,0.15229727,0.40499258,0.00127607
5.74787394,0.45892669,0.19624019,0.08702272,0.00836768,0.01053442,0.02845790,0.13848040,0.38266966,0.00118881
5.75387694,0.42803872,0.18261288,0.08006808,0.00774060,0.01036136,0.02751304,0.12538976,0.36234299,0.00110711
5.75987994,0.39953255,0.17003270,0.07353609,0.00715150,0.01024676,0.02670765,0.11311552,0.34395283,0.00103139
5.76588294,0.37346580,0.15856198,0.06746117,0.00660341,0.01017827,0.02603549,0.10172305,0.32739320,0.00096189
5.77188594,0.34983805,0.14824012,0.06186451,0.00609804,0.01014349,0.02548769,0.09125397,0.31251863,0.00089866
5.77788894,0.32859899,0.13908673,0.05675524,0.00563592,0.01013026,0.02505358,0.08172809,0.29915219,0.00084164
5.78389195,0.30965811,0.13110548,0.05213203,0.00521651,0.01012700,0.02472161,0.07314596,0.28709459,0.00079063
5.78989495,0.29289553,0.12428847,0.04798489,0.00483843,0.01012298,0.02448017,0.06549186,0.27613377,0.00074535
