energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-4.85942971,13.90993225,1.69856175,11.23521781,0.01546373,0.16970614,0.20673800,1.96458323
-4.85342671,13.73849955,1.75346668,11.05465139,0.01609467,0.17813531,0.20438599,1.94441129
-4.84742371,13.55990119,1.81490181,10.86357165,0.01680267,0.18736655,0.20187136,1.92417775
-4.84142071,13.37314918,1.88178261,10.66165848,0.01757052,0.19727242,0.19919036,1.90383419
-4.83541771,13.17716985,1.95290083,10.44859607,0.01837988,0.20771161,0.19633751,1.88329694
-4.82941471,12.97082290,2.02693760,10.22408605,0.01921165,0.21853001,0.19330567,1.86244378
-4.82341171,12.75293004,2.10248020,9.98786667,0.02004625,0.22956219,0.19008615,1.84111285
-4.81740870,12.52231276,2.17804261,9.73973739,0.02086406,0.24063332,0.18666905,1.81910372
-4.81140570,12.27783829,2.25208976,9.47958804,0.02164575,0.25156154,0.18304361,1.79618103
-4.80540270,12.01847207,2.32306507,9.20743100,0.02237273,0.26216073,0.17919877,1.77208047
-4.79939970,11.74333450,2.38942082,8.92343471,0.02302748,0.27224371,0.17512380,1.74651711
-4.79339670,11.45175939,2.44965054,8.62795660,0.02359395,0.28162571,0.17080900,1.71919566
-4.78739370,11.14335143,2.50232264,8.32157349,0.02405787,0.29012817,0.16624651,1.68982230
-4.78139070,10.81803970,2.54611412,8.00510754,0.02440711,0.29758261,0.16143101,1.65811753
-4.77538769,10.47612459,2.57984333,7.67964613,0.02463186,0.30383451,0.15636061,1.62382948
-4.76938469,10.11831569,2.60250058,7.34655423,0.02472493,0.30874719,0.15103743,1.58674702
-4.76338169,9.74575848,2.61327549,7.00747826,0.02468180,0.31220532,0.14546829,1.54671208
-4.75737869,9.36004834,2.61157989,6.66434080,0.02450076,0.31411813,0.13966512,1.50363054
-4.75137569,8.96323071,2.59706549,6.31932599,0.02418288,0.31442210,0.13364531,1.45748120
-4.74537269,8.55778704,2.56963531,5.97485585,0.02373198,0.31308296,0.12743175,1.40832239
-4.73936968,8.14660651,2.52944848,5.63355791,0.02315445,0.31009706,0.12105277,1.35629580
-4.73336668,7.73294415,2.47691796,5.29822534,0.02245911,0.30549180,0.11454186,1.30162757
-4.72736368,7.32036653,2.41270123,4.97177035,0.02165692,0.29932533,0.10793712,1.24462621
-4.72136068,6.91268638,2.33768399,4.65717241,0.02076068,0.29168529,0.10128065,1.18567784
-4.71535768,6.51388813,2.25295764,4.35742250,0.01978475,0.28268673,0.09461771,1.12523869
-4.70935468,6.12804640,2.15979101,4.07546484,0.01874465,0.27246922,0.08799580,1.06382517
-4.70335168,5.75923961,2.05959756,3.81413758,0.01765671,0.26119331,0.08146375,1.00200226
-4.69734867,5.41146129,1.95389902,3.57611366,0.01653776,0.24903629,0.07507067,0.94037024
-4.69134567,5.08853123,1.84428687,3.36384332,0.01540476,0.23618765,0.06886505,0.87955078
-4.68534267,4.79400910,1.73238299,3.17949934,0.01427452,0.22284413,0.06289394,0.82017261
-4.67933967,4.53111269,1.61980079,3.02492635,0.01316347,0.20920481,0.05720214,0.76285754
-4.67333667,4.30264305,1.50810816,2.90159531,0.01208745,0.19546615,0.05183170,0.70820723
-4.66733367,4.11091870,1.39879341,2.81056427,0.01106156,0.18181737,0.04682150,0.65679119
-4.66133067,3.95772068,1.29323518,2.75244665,0.01010012,0.16843619,0.04220702,0.60913646
-4.65532766,3.84425032,1.19267716,2.72738805,0.00921664,0.15548510,0.03802030,0.56571915
-4.64932466,3.77110103,1.09820819,2.73505272,0.00842386,0.14310833,0.03429013,0.52695804
-4.64332166,3.73824543,1.01074803,2.77462062,0.00773385,0.13142951,0.03104228,0.49321035
-4.63731866,3.74503847,0.93103893,2.84479596,0.00715814,0.12055004,0.02829989,0.46476957
