energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.50775388,2.18519238,-1.68511908,1.46058842,-1.11329676,0.43458566,-0.32323662,0.52336098,-0.30069730,0.38419436,-0.23346149,0.00186560,-0.00542513,0.38437342,-0.35444655,0.84485572,-0.72212399,0.00000000,-0.00000000
-5.50175088,2.24646144,-1.67683663,1.50982217,-1.08720103,0.44899107,-0.31688622,0.54314230,-0.30308268,0.39067472,-0.23751050,0.00202332,-0.00576773,0.39827751,-0.34686763,0.86458178,-0.72335580,0.00000000,-0.00000000
-5.49574787,2.30390138,-1.66380918,1.55485456,-1.05875318,0.46317317,-0.30942751,0.56243605,-0.30495220,0.39606476,-0.24133055,0.00218101,-0.00614026,0.41165245,-0.33821329,0.88283244,-0.72267282,0.00000000,-0.00000000
-5.48974487,2.35711319,-1.64621889,1.59511695,-1.02845705,0.47700453,-0.30099409,0.58104918,-0.30625321,0.40035373,-0.24484077,0.00233658,-0.00654048,0.42434862,-0.32866257,0.89954980,-0.72001839,0.00000000,-0.00000000
-5.48374187,2.40575467,-1.62438146,1.63010482,-0.99687388,0.49036108,-0.29174287,0.59879131,-0.30696024,0.40354999,-0.24797500,0.00248783,-0.00696567,0.43622338,-0.31841464,0.91470067,-0.71540085,0.00000000,-0.00000000
-5.47773887,2.44954003,-1.59873398,1.65938649,-0.96460107,0.50312237,-0.28184846,0.61547815,-0.30707618,0.40567994,-0.25068318,0.00263252,-0.00741264,0.44714212,-0.30768119,0.92827478,-0.70889337,0.00000000,-0.00000000
-5.47173587,2.48823817,-1.56982004,1.68261111,-0.93225178,0.51517194,-0.27149746,0.63093483,-0.30663242,0.40678649,-0.25293185,0.00276846,-0.00787770,0.45697950,-0.29667921,0.94028197,-0.70063146,0.00000000,-0.00000000
-5.46573287,2.52166987,-1.53827265,1.69951540,-0.90043594,0.52639752,-0.26088294,0.64499894,-0.30568805,0.40692698,-0.25470408,0.00289352,-0.00835667,0.46562073,-0.28562457,0.95074860,-0.69080842,0.00000000,-0.00000000
-5.45972986,2.54970408,-1.50479569,1.70992894,-0.86974334,0.53669140,-0.25019936,0.65752334,-0.30432813,0.40617066,-0.25599861,0.00300571,-0.00884486,0.47296299,-0.27472641,0.95971327,-0.67966911,0.00000000,-0.00000000
-5.45372686,2.57225358,-1.47014480,1.71377767,-0.84072938,0.54595084,-0.23963787,0.66837852,-0.30266123,0.40459591,-0.25682865,0.00310329,-0.00933708,0.47891692,-0.26418248,0.96722208,-0.66750225,0.00000000,-0.00000000
-5.44772386,2.58927041,-1.43510820,1.71108549,-0.81390367,0.55407866,-0.22938232,0.67745468,-0.30081625,0.40228723,-0.25722013,0.00318477,-0.00982769,0.48340806,-0.25417548,0.97332370,-0.65463187,0.00000000,-0.00000000
