energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.21960980,8.96394140,1.40670524,6.63140408,0.06365645,0.19552013,0.64966394,0.46922986,0.13521941,1.45328949
-5.21360680,8.96390961,1.40958764,6.62612459,0.06423803,0.19554070,0.64683755,0.47038366,0.13595240,1.45609905
-5.20760380,8.94683151,1.40844404,6.60842333,0.06465537,0.19507765,0.64256522,0.47111117,0.13639848,1.45651050
-5.20160080,8.91364360,1.40344470,6.57897110,0.06490978,0.19415071,0.63698008,0.47145315,0.13656844,1.45469657
-5.19559780,8.86567126,1.39484694,6.53872044,0.06500526,0.19278965,0.63024749,0.47146217,0.13647824,1.45089296
-5.18959480,8.80457903,1.38298570,6.48886996,0.06494823,0.19103312,0.62255971,0.47120027,0.13614855,1.44538898
-5.18359180,8.73231315,1.36826211,6.43082346,0.06474731,0.18892740,0.61412998,0.47073635,0.13560416,1.43851667
-5.17758879,8.65103818,1.35113030,6.36614510,0.06441295,0.18652494,0.60518625,0.47014353,0.13487324,1.43063873
-5.17158579,8.56306963,1.33208300,6.29651202,0.06395708,0.18388289,0.59596471,0.46949640,0.13398645,1.42213561
-5.16558279,8.47080446,1.31163631,6.22366558,0.06339270,0.18106159,0.58670339,0.46886831,0.13297593,1.41339232
-5.15957979,8.37665139,1.29031423,6.14936255,0.06273349,0.17812300,0.57763572,0.46832881,0.13187425,1.40478520
-5.15357679,8.28296280,1.26863332,6.07532740,0.06199339,0.17512921,0.56898455,0.46794120,0.13071334,1.39666926
-5.14757379,8.19196987,1.24708810,6.00320668,0.06118621,0.17214098,0.56095641,0.46776040,0.12952334,1.38936632
-5.14157079,8.10572262,1.22613761,5.93452670,0.06032529,0.16921636,0.55373639,0.46783102,0.12833158,1.38315444
-5.13556778,8.02603623,1.20619335,5.87065517,0.05942316,0.16640946,0.54748361,0.46818579,0.12716163,1.37825893
-5.12956478,7.95444486,1.18760922,5.81276787,0.05849130,0.16376933,0.54232737,0.46884441,0.12603243,1.37484510
-5.12356178,7.89216411,1.17067340,5.76182086,0.05753989,0.16133899,0.53836411,0.46981269,0.12495770,1.37301312
