energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-4.61330665,3.14781671,0.00982803,0.03491576,0.10992026,0.17718092,0.21523411,2.56192507,0.00955458,0.43971348
-4.60730365,3.13615388,0.01086799,0.03474008,0.10620259,0.18305781,0.21719960,2.54327116,0.01020169,0.44109077
-4.60130065,3.12986770,0.01200533,0.03459689,0.10258173,0.19003196,0.22029641,2.52654549,0.01094774,0.44539270
-4.59529765,3.13006106,0.01323871,0.03451351,0.09907754,0.19824544,0.22463718,2.51254821,0.01180529,0.45273719
-4.58929465,3.13786849,0.01456533,0.03451837,0.09571025,0.20784261,0.23032794,2.50210425,0.01278651,0.46324966
-4.58329165,3.15440450,0.01598064,0.03463979,0.09249905,0.21896273,0.23746213,2.49603047,0.01390253,0.47705224
-4.57728864,3.18070903,0.01747825,0.03490481,0.08946085,0.23173193,0.24611482,2.49510128,0.01516277,0.49425189
-4.57128564,3.21769224,0.01904965,0.03533795,0.08660930,0.24625477,0.25633726,2.50001426,0.01657430,0.51492781
-4.56528264,3.26608086,0.02068419,0.03596000,0.08395394,0.26260581,0.26815200,2.51135706,0.01814111,0.53911875
-4.55927964,3.32636846,0.02236900,0.03678700,0.08149973,0.28082153,0.28154874,2.52957717,0.01986351,0.56681095
-4.55327664,3.39877189,0.02408900,0.03782921,0.07924677,0.30089298,0.29648099,2.55495566,0.02173753,0.59792703
-4.54727364,3.48319577,0.02582700,0.03909036,0.07719033,0.32275960,0.31286376,2.58758617,0.02375451,0.63231668
-4.54127064,3.57920695,0.02756390,0.04056706,0.07532110,0.34630454,0.33057239,2.62735994,0.02590072,0.66974956
-4.53526763,3.68602029,0.02927888,0.04224846,0.07362569,0.37135179,0.34944255,2.67395774,0.02815724,0.70991091
-4.52926463,3.80249659,0.03094979,0.04411612,0.07208725,0.39766553,0.36927151,2.72684887,0.03049997,0.75240019
-4.52326163,3.92715332,0.03255351,0.04614430,0.07068621,0.42495163,0.38982071,2.78529748,0.03289989,0.79673315
-4.51725863,4.05818807,0.03406641,0.04830030,0.06940115,0.45286163,0.41081957,2.84837603,0.03532349,0.84234724
-4.51125563,4.19351403,0.03546491,0.05054530,0.06820962,0.48099910,0.43197048,2.91498530,0.03773345,0.88861052
-4.50525263,4.33080674,0.03672600,0.05283529,0.06708903,0.50892813,0.45295499,2.98388043,0.04008947,0.93483367
-4.49924962,4.46756037,0.03782784,0.05512224,0.06601732,0.53618395,0.47344076,3.05370194,0.04234935,0.98028502
-4.49324662,4.60115177,0.03875036,0.05735555,0.06497377,0.56228508,0.49308941,3.12301074,0.04447015,1.02420781
-4.48724362,4.72890995,0.03947581,0.05948349,0.06393946,0.58674673,0.51156479,3.19032588,0.04640947,1.06583936
-4.48124062,4.84818869,0.03998932,0.06145479,0.06289779,0.60909492,0.52854151,3.25416378,0.04812674,1.10443118
-4.47523762,4.95643955,0.04027934,0.06322021,0.06183477,0.62888064,0.54371347,3.31307770,0.04958462,1.13926948
-4.46923462,5.05128260,0.04033807,0.06473407,0.06073919,0.64569364,0.55680192,3.36569601,0.05075016,1.16969510
-4.46323162,5.13057255,0.04016175,0.06595569,0.05960272,0.65917514,0.56756301,3.41075820,0.05159600,1.19512215
-4.45722861,5.19245756,0.03975084,0.06685056,0.05841985,0.66902895,0.57579437,3.44714733,0.05210129,1.21505458
-4.45122561,5.23542897,0.03911007,0.06739146,0.05718779,0.67503060,0.58134042,3.47391807,0.05225242,1.22910008
-4.44522261,5.25835993,0.03824838,0.06755912,0.05590623,0.67703407,0.58409645,3.49031931,0.05204355,1.23698060
-4.43921961,5.26053185,0.03717871,0.06734279,0.05457710,0.67497576,0.58401107,3.49581073,0.05147672,1.23853931
-4.43321661,5.24164763,0.03591770,0.06674038,0.05320429,0.66887578,0.58108698,3.49007292,0.05056188,1.23374354
-4.42721361,5.20183158,0.03448520,0.06575836,0.05179327,0.65883631,0.57538023,3.47301066,0.04931643,1.22268379
-4.42121061,5.14161608,0.03290379,0.06441133,0.05035082,0.64503733,0.56699767,3.44474939,0.04776465,1.20556883
-4.41520760,5.06191582,0.03119811,0.06272140,0.04888461,0.62772993,0.55609303,3.40562503,0.04593683,1.18271714
-4.40920460,4.96399066,0.02939423,0.06071728,0.04740293,0.60722745,0.54286161,3.35616767,0.04386820,1.15454521
-4.40320160,4.84939897,0.02751894,0.05843323,0.04591428,0.58389498,0.52753387,3.29707958,0.04159777,1.12155310
-4.39719860,4.71994322,0.02559907,0.05590785,0.04442710,0.55813766,0.51036812,3.22920864,0.03916707,1.08430806
-4.39119560,4.57761009,0.02366081,0.05318284,0.04294947,0.53038832,0.49164272,3.15351797,0.03661880,1.04342674
