energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-5.14757379,1.53728701,1.00959098,0.29039543,0.02301458,0.57676202,0.56015168,0.00000000,0.39422683,0.00430895
-5.14157079,1.56366979,1.06361270,0.29341336,0.02297673,0.60142557,0.55372682,0.00000000,0.39658241,0.00422505
-5.13556778,1.58935623,1.11712869,0.29654246,0.02278078,0.62652163,0.54592373,0.00000000,0.39988758,0.00413983
-5.12956478,1.61435983,1.16966237,0.29979852,0.02243159,0.65183768,0.53700179,0.00000000,0.40426620,0.00405441
-5.12356178,1.63870726,1.22072756,0.30319550,0.02193729,0.67713744,0.52725972,0.00000000,0.40983749,0.00397015
-5.11755878,1.66242621,1.26983129,0.30674304,0.02130909,0.70216252,0.51702402,0.00000000,0.41670934,0.00388866
-5.11155578,1.68553255,1.31647718,0.31044390,0.02056081,0.72663466,0.50663627,0.00000000,0.42497113,0.00381165
-5.10555278,1.70801789,1.36016949,0.31429170,0.01970849,0.75025882,0.49643986,0.00000000,0.43468653,0.00374087
-5.09954977,1.72983811,1.40041815,0.31826882,0.01876977,0.77272701,0.48676649,0.00000000,0.44588651,0.00367804
-5.09354677,1.75090361,1.43674449,0.32234489,0.01776337,0.79372299,0.47792327,0.00000000,0.45856308,0.00362474
-5.08754377,1.77107204,1.46868804,0.32647577,0.01670847,0.81292774,0.47018071,0.00000000,0.47266410,0.00358231
-5.08154077,1.79014389,1.49581409,0.33060317,0.01562411,0.83002569,0.46376220,0.00000000,0.48808942,0.00355184
-5.07553777,1.80786135,1.51772194,0.33465497,0.01452869,0.84471157,0.45883544,0.00000000,0.50468887,0.00353401
-5.06953477,1.82391059,1.53405368,0.33854632,0.01343942,0.85669764,0.45550596,0.00000000,0.52226199,0.00352913
-5.06353177,1.83792750,1.54450322,0.34218129,0.01237196,0.86572117,0.45381320,0.00000000,0.54055995,0.00353707
-5.05752876,1.84950663,1.54882518,0.34545527,0.01134002,0.87155187,0.45372907,0.00000000,0.55928949,0.00355722
