energy_ev,total_up,As_p_up,As_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
2.37418709,1.78128956,0.40757959,0.00000000,0.96998237,0.21960822,1.68236861,0.00000000
2.38019010,1.73789705,0.40102540,0.00000000,0.95023749,0.21810057,1.62052948,0.00000000
2.38619310,1.69413005,0.39540891,0.00000000,0.93018354,0.21698071,1.55481042,0.00000000
2.39219610,1.65147490,0.39103516,0.00000000,0.91063012,0.21638970,1.48687030,0.00000000
2.39819910,1.61132535,0.38816164,0.00000000,0.89233842,0.21644688,1.41836673,0.00000000
2.40420210,1.57493806,0.38698978,0.00000000,0.87599775,0.21724499,1.35090896,0.00000000
2.41020510,1.54339528,0.38765873,0.00000000,0.86220570,0.21884646,1.28601427,0.00000000
2.41620810,1.51757566,0.39024184,0.00000000,0.85145284,0.22128102,1.22506931,0.00000000
2.42221111,1.49813435,0.39474585,0.00000000,0.84411235,0.22454483,1.16929733,0.00000000
2.42821411,1.48549242,0.40111258,0.00000000,0.84043487,0.22860110,1.11973214,0.00000000
2.43421711,1.47983582,0.40922327,0.00000000,0.84054865,0.23338207,1.07719896,0.00000000
2.44022011,1.48112316,0.41890488,0.00000000,0.84446471,0.23879236,1.04230250,0.00000000
2.44622311,1.48910166,0.42993835,0.00000000,0.85208650,0.24471344,1.01542185,0.00000000
2.45222611,1.50333000,0.44206818,0.00000000,0.86322367,0.25100900,0.99671184,0.00000000
2.45822911,1.52320679,0.45501296,0.00000000,0.87760901,0.25753101,0.98611035,0.00000000
2.46423212,1.54800325,0.46847634,0.00000000,0.89491775,0.26412615,0.98335082,0.00000000
2.47023512,1.57689848,0.48215795,0.00000000,0.91478849,0.27064236,0.98797918,0.00000000
2.47623812,1.60901601,0.49576400,0.00000000,0.93684472,0.27693519,0.99937461,0.00000000
2.48224112,1.64346007,0.50901692,0.00000000,0.96071615,0.28287374,1.01677319,0.00000000
2.48824412,1.67935052,0.52166397,0.00000000,0.98605913,0.28834595,1.03929395,0.00000000
2.49424712,1.71585533,0.53348442,0.00000000,1.01257529,0.29326301,1.06596646,0.00000000
