energy_ev,total_up,Bi_p_up,Bi_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
5.91595798,1.49664052,0.28827572,0.03681082,2.44951477,0.05371299,0.06830621,0.32791751
5.92196098,1.46136405,0.28748877,0.03681302,2.43345683,0.05228264,0.06652821,0.31670090
5.92796398,1.43043497,0.28905503,0.03685177,2.42024875,0.05111121,0.06487354,0.30653701
5.93396698,1.40407717,0.29314191,0.03691163,2.40980869,0.05019153,0.06335351,0.29747547
5.93996998,1.38242977,0.29988664,0.03697747,2.40198732,0.04951292,0.06197540,0.28953932
5.94597299,1.36554814,0.30939379,0.03703497,2.39657540,0.04906177,0.06074229,0.28272544
5.95197599,1.35340791,0.32173337,0.03707111,2.39331496,0.04882223,0.05965307,0.27700599
5.95797899,1.34591167,0.33693963,0.03707462,2.39191334,0.04877687,0.05870267,0.27233074
5.96398199,1.34289788,0.35501030,0.03703630,2.39205929,0.04890737,0.05788246,0.26863013
5.96998499,1.34415137,0.37590649,0.03694942,2.39344018,0.04919516,0.05718073,0.26581899
5.97598799,1.34941502,0.39955310,0.03680982,2.39575933,0.04962199,0.05658326,0.26380063
5.98199100,1.35840186,0.42583966,0.03661612,2.39875264,0.05017053,0.05607401,0.26247121
5.98799400,1.37080709,0.45462173,0.03636973,2.40220358,0.05082473,0.05563574,0.26172425
5.99399700,1.38631951,0.48572274,0.03607477,2.40595602,0.05157024,0.05525072,0.26145494
6.00000000,1.40463183,0.51893637,0.03573794,2.40992426,0.05239458,0.05490133,0.26156426
