energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-3.23861931,1.67574284,1.65162975,0.38603508,0.10813074,0.09568908,0.99758935,0.00000000
-3.23261631,1.85313761,1.82063063,0.42829358,0.11753973,0.10671018,1.10044883,0.00000000
-3.22661331,2.03674874,1.99493650,0.47226443,0.12691762,0.11834511,1.20640219,0.00000000
-3.22061031,2.22493325,2.17302737,0.51758204,0.13613327,0.13054143,1.31442332,0.00000000
-3.21460730,2.41584882,2.35323141,0.56383118,0.14504924,0.14323841,1.42337082,0.00000000
-3.20860430,2.60749179,2.53376176,0.61055597,0.15352502,0.15636893,1.53201044,0.00000000
-3.20260130,2.79774444,2.71275952,0.65727123,0.16142077,0.16986182,1.63904235,0.00000000
-3.19659830,2.98442991,2.88834140,0.70347619,0.16860114,0.18364468,1.74313250,0.00000000
-3.19059530,3.16537348,3.05865011,0.74866989,0.17493925,0.19764679,1.84294685,0.00000000
-3.18459230,3.33846755,3.22190531,0.79236804,0.18032053,0.21180225,1.93718748,0.00000000
-3.17858929,3.50173809,3.37645280,0.83412046,0.18464631,0.22605305,2.02462878,0.00000000
-3.17258629,3.65340969,3.52080977,0.87352849,0.18783713,0.24035200,2.10415246,0.00000000
-3.16658329,3.79196626,3.65370375,0.91026168,0.18983535,0.25466521,2.17477974,0.00000000
-3.16058029,3.91620462,3.77410345,0.94407277,0.19060726,0.26897424,2.23569923,0.00000000
-3.15457729,4.02527846,3.88124001,0.97481040,0.19014443,0.28327745,2.28628927,0.00000000
-3.14857429,4.11873034,3.97461758,1.00242879,0.18846416,0.29759073,2.32613372,0.00000000
-3.14257129,4.19651016,4.05401296,1.02699376,0.18560927,0.31194738,2.35503039,0.00000000
-3.13656828,4.25897900,4.11946456,1.04868480,0.18164699,0.32639721,2.37299199,0.00000000
-3.13056528,4.30689805,4.17125147,1.06779286,0.17666710,0.34100473,2.38023940,0.00000000
-3.12456228,4.34140294,4.20986424,1.08471375,0.17077940,0.35584674,2.37718800,0.00000000
-3.11855928,4.36396480,4.23596942,1.09993754,0.16411066,0.37100915,2.36442772,0.00000000
-3.11255628,4.37633957,4.25036996,1.11403399,0.15680103,0.38658336,2.34269805,0.00000000
-3.10655328,4.38050815,4.25396426,1.12763489,0.14900023,0.40266228,2.31285939,0.00000000
-3.10055028,4.37861002,4.24770626,1.14141371,0.14086353,0.41933625,2.27586233,0.00000000
-3.09454727,4.37287332,4.23256898,1.15606354,0.13254776,0.43668891,2.23271644,0.00000000
-3.08854427,4.36554447,4.20951350,1.17227420,0.12420743,0.45479337,2.18446002,0.00000000
-3.08254127,4.35882036,4.17946500,1.19070928,0.11599108,0.47370868,2.13213241,0.00000000
-3.07653827,4.35478546,4.14329654,1.21198417,0.10803805,0.49347688,2.07674973,0.00000000
-3.07053527,4.35535651,4.10182118,1.23664579,0.10047560,0.51412059,2.01928510,0.00000000
-3.06453227,4.36223600,4.05579171,1.26515478,0.09341658,0.53564131,1.96065363,0.00000000
-3.05852926,4.37687584,4.00590714,1.29787061,0.08695763,0.55801838,1.90170248,0.00000000
-3.05252626,4.40045149,3.95282434,1.33504021,0.08117782,0.58120857,1.84320549,0.00000000
-3.04652326,4.43384649,3.89717294,1.37679011,0.07613796,0.60514634,1.78586202,0.00000000
-3.04052026,4.47764655,3.83957127,1.42312237,0.07188026,0.62974455,1.73029909,0.00000000
-3.03451726,4.53214215,3.78064116,1.47391404,0.06842851,0.65489563,1.67707579,0.00000000
-3.02851426,4.59733819,3.72101973,1.52891998,0.06578868,0.68047304,1.62668896,0.00000000
-3.02251126,4.67296894,3.66136617,1.58777866,0.06394977,0.70633297,1.57957894,0.00000000
-3.01650825,4.75851669,3.60236257,1.65002050,0.06288510,0.73231610,1.53613456,0.00000000
-3.01050525,4.85323239,3.54470786,1.71507818,0.06255365,0.75824943,1.49669631,0.00000000
-3.00450225,4.95615699,3.48910488,1.78229859,0.06290174,0.78394809,1.46155744,0.00000000
-2.99849925,5.06614228,3.43624109,1.85095569,0.06386478,0.80921705,1.43096229,0.00000000
-2.99249625,5.18187056,3.38676400,1.92026401,0.06536909,0.83385282,1.40510216,0.00000000
-2.98649325,5.30187272,3.34125282,1.98939241,0.06733385,0.85764507,1.38410875,0.00000000
-2.98049025,5.42454487,3.30018825,2.05747761,0.06967299,0.88037826,1.36804583,0.00000000
-2.97448724,5.54816376,3.26392262,2.12363758,0.07229714,0.90183332,1.35689974,0.00000000
-2.96848424,5.67090186,3.23265239,2.18698443,0.07511553,0.92178939,1.35056983,0.00000000
-2.96248124,5.79084275,3.20639512,2.24663691,0.07803779,0.94002582,1.34885959,0.00000000
-2.95647824,5.90599807,3.18497280,2.30173240,0.08097574,0.95632429,1.35146961,0.00000000
-2.95047524,6.01432677,3.16800289,2.35143870,0.08384498,0.97047129,1.35799331,0.00000000
-2.94447224,6.11375774,3.15489811,2.39496540,0.08656637,0.98226086,1.36791618,0.00000000
-2.93846923,6.20221629,3.14487547,2.43157519,0.08906740,0.99149762,1.38061928,0.00000000
-2.93246623,6.27765503,3.13697455,2.46059498,0.09128327,0.99800015,1.39538717,0.00000000
-2.92646323,6.33808913,3.13008441,2.48142690,0.09315781,1.00160454,1.41142069,0.00000000
-2.92046023,6.38163547,3.12297821,2.49355914,0.09464422,1.00216820,1.42785420,0.00000000
-2.91445723,6.40655513,3.11435411,2.49657640,0.09570548,0.99957371,1.44377685,0.00000000
-2.90845423,6.41129787,3.10288073,2.49016981,0.09631460,0.99373265,1.45825741,0.00000000
-2.90245123,6.39454727,3.08724528,2.47414603,0.09645463,0.98458925,1.47037139,0.00000000
-2.89644822,6.35526469,3.06620232,2.44843510,0.09611840,0.97212382,1.47922971,0.00000000
-2.89044522,6.29273025,3.03862123,2.41309677,0.09530812,0.95635564,1.48400747,0.00000000
-2.88444222,6.20657885,3.00353031,2.36832484,0.09403477,0.93734528,1.48397164,0.00000000
-2.87843922,6.09682933,2.96015604,2.31444919,0.09231736,0.91519621,1.47850656,0.00000000
-2.87243622,5.96390511,2.90795575,2.25193517,0.09018205,0.89005553,1.46713588,0.00000000
