energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
3.31065533,2.30481052,0.07344890,0.22900022,0.50143772,0.92474224,0.51870238,0.20703749,0.75766231,0.00000000
3.31665833,2.25112621,0.07299378,0.22002546,0.49137800,0.90109132,0.52174812,0.20035933,0.75202036,0.00000000
3.32266133,2.19188050,0.07243768,0.21053455,0.48024384,0.87500176,0.52363648,0.19336846,0.74428014,0.00000000
3.32866433,2.12738598,0.07173504,0.20062154,0.46798572,0.84666958,0.52421884,0.18609976,0.73441161,0.00000000
3.33466733,2.05804932,0.07084659,0.19038862,0.45458447,0.81632752,0.52336964,0.17859427,0.72242016,0.00000000
3.34067034,1.98436674,0.06974076,0.17994379,0.44005205,0.78424061,0.52099271,0.17089876,0.70834894,0.00000000
3.34667334,1.90691780,0.06839485,0.16939840,0.42443144,0.75070135,0.51702716,0.16306509,0.69228069,0.00000000
3.35267634,1.82635783,0.06679576,0.15886479,0.40779572,0.71602449,0.51145261,0.15514957,0.67433916,0.00000000
3.35867934,1.74340918,0.06494038,0.14845399,0.39024622,0.68054181,0.50429324,0.14721222,0.65468991,0.00000000
3.36468234,1.65885144,0.06283547,0.13827365,0.37190996,0.64459689,0.49562070,0.13931596,0.63354038,0.00000000
3.37068534,1.57351084,0.06049723,0.12842616,0.35293640,0.60853999,0.48555551,0.13152579,0.61113912,0.00000000
3.37668834,1.48824873,0.05795046,0.11900706,0.33349362,0.57272301,0.47426678,0.12390794,0.58777407,0.00000000
3.38269135,1.40394953,0.05522748,0.11010373,0.31376413,0.53749479,0.46197016,0.11652898,0.56376975,0.00000000
3.38869435,1.32150786,0.05236668,0.10179435,0.29394033,0.50319649,0.44892405,0.10945485,0.53948338,0.00000000
3.39469735,1.24181518,0.04941105,0.09414705,0.27421988,0.47015713,0.43542399,0.10274988,0.51529972,0.00000000
3.40070035,1.16574582,0.04640652,0.08721933,0.25480109,0.43868936,0.42179536,0.09647580,0.49162488,0.00000000
3.40670335,1.09414262,0.04340029,0.08105764,0.23587843,0.40908529,0.40838470,0.09069062,0.46887888,0.00000000
3.41270635,1.02780228,0.04043920,0.07569703,0.21763838,0.38161244,0.39554972,0.08544754,0.44748724,0.00000000
3.41870935,0.96746055,0.03756830,0.07116100,0.20025560,0.35650982,0.38364842,0.08079381,0.42787179,0.00000000
3.42471236,0.91377761,0.03482946,0.06746133,0.18388968,0.33398415,0.37302778,0.07676954,0.41044060,0.00000000
3.43071536,0.86732370,0.03226023,0.06459800,0.16868233,0.31420625,0.36401212,0.07340665,0.39557767,0.00000000
3.43671836,0.82856564,0.02989296,0.06255922,0.15475524,0.29730764,0.35689193,0.07072771,0.38363228,0.00000000
3.44272136,0.79785422,0.02775415,0.06132141,0.14220845,0.28337759,0.35191327,0.06874502,0.37490853,0.00000000
3.44872436,0.77541320,0.02586398,0.06084941,0.13111933,0.27246049,0.34926832,0.06745975,0.36965523,0.00000000
3.45472736,0.76133002,0.02423613,0.06109665,0.12154206,0.26455382,0.34908738,0.06686129,0.36805659,0.00000000
3.46073037,0.75554879,0.02287784,0.06200563,0.11350762,0.25960683,0.35143270,0.06692679,0.37022396,0.00000000
3.46673337,0.75786592,0.02179006,0.06350844,0.10702413,0.25752001,0.35629426,0.06762107,0.37618887,0.00000000
3.47273637,0.76792867,0.02096786,0.06552762,0.10207761,0.25814542,0.36358799,0.06889670,0.38589792,0.00000000
3.47873937,0.78523698,0.02040092,0.06797721,0.09863288,0.26128811,0.37315613,0.07069454,0.39920952,0.00000000
3.48474237,0.80914874,0.02007408,0.07076407,0.09663479,0.26670860,0.38477019,0.07294453,0.41589292,0.00000000
3.49074537,0.83888870,0.01996808,0.07378947,0.09600954,0.27412642,0.39813615,0.07556690,0.43562966,0.00000000
3.49674837,0.87356107,0.02006017,0.07695096,0.09666608,0.28322492,0.41290187,0.07847371,0.45801757,0.00000000
3.50275138,0.91216556,0.02032491,0.08014443,0.09849768,0.29365700,0.42866659,0.08157063,0.48257737,0.00000000
3.50875438,0.95361687,0.02073482,0.08326637,0.10138351,0.30505199,0.44499196,0.08475910,0.50876193,0.00000000
