energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,W_p_up,W_d_up
0.09304652,1.61496496,0.10740744,0.00000000,0.00720771,0.19162726,0.30141005,1.35116539
0.09904952,1.60835683,0.10249111,0.00000000,0.00721563,0.19193865,0.30426017,1.34878692
0.10505253,1.60276212,0.09790726,0.00000000,0.00724473,0.19263559,0.30783396,1.34626098
0.11105553,1.59853180,0.09373871,0.00000000,0.00729736,0.19377817,0.31217545,1.34380658
0.11705853,1.59596372,0.09006136,0.00000000,0.00737545,0.19541556,0.31731704,1.34160965
0.12306153,1.59530071,0.08694288,0.00000000,0.00748047,0.19758475,0.32327953,1.33982269
0.12906453,1.59673039,0.08444166,0.00000000,0.00761343,0.20030965,0.33007244,1.33856585
0.13506753,1.60038641,0.08260593,0.00000000,0.00777483,0.20360062,0.33769436,1.33792885
0.14107054,1.60635061,0.08147305,0.00000000,0.00796471,0.20745424,0.34613333,1.33797363
0.14707354,1.61465591,0.08106905,0.00000000,0.00818260,0.21185358,0.35536731,1.33873739
0.15307654,1.62528962,0.08140842,0.00000000,0.00842755,0.21676869,0.36536446,1.34023556
0.15907954,1.63819679,0.08249410,0.00000000,0.00869815,0.22215744,0.37608350,1.34246466
0.16508254,1.65328353,0.08431764,0.00000000,0.00899253,0.22796666,0.38747400,1.34540474
0.17108554,1.67042017,0.08685974,0.00000000,0.00930838,0.23413349,0.39947666,1.34902132
0.17708854,1.68944418,0.09009080,0.00000000,0.00964301,0.24058697,0.41202367,1.35326681
0.18309155,1.71016312,0.09397190,0.00000000,0.00999335,0.24724971,0.42503924,1.35808158
0.18909455,1.73235748,0.09845577,0.00000000,0.01035603,0.25403982,0.43844025,1.36339463
0.19509755,1.75578389,0.10348804,0.00000000,0.01072739,0.26087277,0.45213724,1.36912427
0.20110055,1.78017871,0.10900861,0.00000000,0.01110361,0.26766339,0.46603566,1.37517892
0.20710355,1.80526222,0.11495306,0.00000000,0.01148071,0.27432781,0.48003740,1.38145832
0.21310655,1.83074366,0.12125419,0.00000000,0.01185471,0.28078534,0.49404273,1.38785526
0.21910955,1.85632708,0.12784346,0.00000000,0.01222165,0.28696031,0.50795240,1.39425822
0.22511256,1.88171805,0.13465248,0.00000000,0.01257777,0.29278368,0.52166998,1.40055468
0.23111556,1.90663107,0.14161428,0.00000000,0.01291951,0.29819452,0.53510427,1.40663545
0.23711856,1.93079752,0.14866460,0.00000000,0.01324369,0.30314124,0.54817163,1.41239956
0.24312156,1.95397374,0.15574273,0.00000000,0.01354752,0.30758255,0.56079819,1.41775981
0.24912456,1.97594896,0.16279239,0.00000000,0.01382875,0.31148815,0.57292166,1.42264851
0.25512756,1.99655252,0.16976212,0.00000000,0.01408566,0.31483905,0.58449270,1.42702308
0.26113057,2.01566000,0.17660554,0.00000000,0.01431715,0.31762760,0.59547578,1.43087113
0.26713357,2.03319770,0.18328129,0.00000000,0.01452271,0.31985717,0.60584936,1.43421455
0.27313657,2.04914526,0.18975278,0.00000000,0.01470245,0.32154146,0.61560536,1.43711232
0.27913957,2.06353591,0.19598762,0.00000000,0.01485703,0.32270354,0.62474811,1.43966146
0.28514257,2.07645426,0.20195704,0.00000000,0.01498764,0.32337464,0.63329254,1.44199609
0.29114557,2.08803153,0.20763507,0.00000000,0.01509590,0.32359259,0.64126203,1.44428427
0.29714857,2.09843844,0.21299779,0.00000000,0.01518378,0.32340020,0.64868575,1.44672267
0.30315158,2.10787574,0.21802250,0.00000000,0.01525350,0.32284346,0.65559591,1.44952907
0.30915458,2.11656300,0.22268709,0.00000000,0.01530740,0.32196969,0.66202488,1.45293308
0.31515758,2.12472606,0.22696940,0.00000000,0.01534784,0.32082569,0.66800245,1.45716522
0.32116058,2.13258370,0.23084690,0.00000000,0.01537712,0.31945600,0.67355337,1.46244506
0.32716358,2.14033419,0.23429651,0.00000000,0.01539730,0.31790128,0.67869525,1.46896885
0.33316658,2.14814240,0.23729457,0.00000000,0.01541023,0.31619692,0.68343694,1.47689718
0.33916958,2.15612806,0.23981713,0.00000000,0.01541735,0.31437184,0.68777743,1.48634352
0.34517259,2.16435587,0.24184038,0.00000000,0.01541975,0.31244765,0.69170527,1.49736404
0.35117559,2.17282777,0.24334118,0.00000000,0.01541805,0.31043810,0.69519857,1.50994936
0.35717859,2.18147790,0.24429776,0.00000000,0.01541244,0.30834879,0.69822536,1.52401863
0.36318159,2.19017051,0.24469052,0.00000000,0.01540262,0.30617734,0.70074439,1.53941644
0.36918459,2.19870080,0.24450268,0.00000000,0.01538788,0.30391374,0.70270623,1.55591258
0.37518759,2.20679876,0.24372108,0.00000000,0.01536708,0.30154105,0.70405459,1.57320489
0.38119060,2.21413577,0.24233678,0.00000000,0.01533870,0.29903637,0.70472769,1.59092499
0.38719360,2.22033376,0.24034560,0.00000000,0.01530092,0.29637198,0.70465977,1.60864683
0.39319660,2.22497641,0.23774849,0.00000000,0.01525163,0.29351665,0.70378258,1.62589758
0.39919960,2.22762195,0.23455177,0.00000000,0.01518853,0.29043707,0.70202688,1.64217046
0.40520260,2.22781707,0.23076723,0.00000000,0.01510918,0.28709937,0.69932387,1.65693905
0.41120560,2.22511137,0.22641212,0.00000000,0.01501109,0.28347051,0.69560665,1.66967238
0.41720860,2.21907175,0.22150893,0.00000000,0.01489175,0.27951980,0.69081171,1.67985036
0.42321161,2.20929632,0.21608515,0.00000000,0.01474878,0.27522017,0.68488043,1.68697883
0.42921461,2.19542730,0.21017295,0.00000000,0.01457991,0.27054937,0.67776071,1.69060381
0.43521761,2.17716254,0.20380874,0.00000000,0.01438315,0.26549099,0.66940864,1.69032446
0.44122061,2.15426541,0.19703279,0.00000000,0.01415680,0.26003528,0.65979030,1.68580427
0.44722361,2.12657275,0.18988875,0.00000000,0.01389952,0.25417975,0.64888364,1.67678039
0.45322661,2.09400086,0.18242320,0.00000000,0.01361046,0.24792958,0.63668038,1.66307072
0.45922961,2.05654935,0.17468522,0.00000000,0.01328924,0.24129781,0.62318790,1.64457876
0.46523262,2.01430309,0.16672592,0.00000000,0.01293604,0.23430532,0.60843107,1.62129622
0.47123562,1.96743206,0.15859802,0.00000000,0.01255162,0.22698066,0.59245381,1.59330346
0.47723862,1.91618958,0.15035540,0.00000000,0.01213737,0.21935972,0.57532044,1.56076788
0.48324162,1.86090873,0.14205263,0.00000000,0.01169526,0.21148524,0.55711660,1.52394044
0.48924462,1.80199744,0.13374455,0.00000000,0.01122792,0.20340626,0.53794967,1.48315059
0.49524762,1.73993229,0.12548576,0.00000000,0.01073851,0.19517748,0.51794868,1.43879970
0.50125063,1.67525116,0.11733020,0.00000000,0.01023076,0.18685859,0.49726356,1.39135333
0.50725363,1.60854502,0.10933061,0.00000000,0.00970888,0.17851349,0.47606374,1.34133248
0.51325663,1.54044895,0.10153810,0.00000000,0.00917747,0.17020962,0.45453613,1.28930408
0.51925963,1.47163244,0.09400169,0.00000000,0.00864146,0.16201717,0.43288240,1.23587078
0.52526263,1.40278928,0.08676786,0.00000000,0.00810599,0.15400831,0.41131580,1.18166033
0.53126563,1.33462694,0.07988018,0.00000000,0.00757636,0.14625645,0.39005738,1.12731466
0.53726863,1.26785578,0.07337899,0.00000000,0.00705784,0.13883545,0.36933184,1.07347874
0.54327164,1.20317803,0.06730109,0.00000000,0.00655566,0.13181881,0.34936324,1.02078947
0.54927464,1.14127676,0.06167962,0.00000000,0.00607486,0.12527890,0.33037039,0.96986475
0.55527764,1.08280508,0.05654394,0.00000000,0.00562021,0.11928604,0.31256245,0.92129282
0.56128064,1.02837563,0.05191958,0.00000000,0.00519614,0.11390769,0.29613454,0.87562217
0.56728364,0.97855062,0.04782835,0.00000000,0.00480668,0.10920750,0.28126379,0.83335214
0.57328664,0.93383265,0.04428844,0.00000000,0.00445537,0.10524441,0.26810569,0.79492444
0.57928964,0.89465647,0.04131461,0.00000000,0.00414528,0.10207171,0.25679109,0.76071589
0.58529265,0.86138202,0.03891841,0.00000000,0.00387892,0.09973610,0.24742376,0.73103238
0.59129565,0.83428867,0.03710841,0.00000000,0.00365827,0.09827679,0.24007866,0.70610438
0.59729865,0.81357117,0.03589037,0.00000000,0.00348474,0.09772458,0.23480094,0.68608414
0.60330165,0.79933706,0.03526744,0.00000000,0.00335922,0.09810112,0.23160567,0.67104447
0.60930465,0.79160578,0.03524018,0.00000000,0.00328204,0.09941812,0.23047831,0.66097935
0.61530765,0.79030947,0.03580663,0.00000000,0.00325299,0.10167669,0.23137580,0.65580621
0.62131066,0.79529521,0.03696209,0.00000000,0.00327138,0.10486687,0.23422822,0.65536972
0.62731366,0.80632870,0.03869895,0.00000000,0.00333601,0.10896720,0.23894107,0.65944704
0.63331666,0.82309917,0.04100625,0.00000000,0.00344520,0.11394444,0.24539770,0.66775417
0.63931966,0.84522518,0.04386923,0.00000000,0.00359680,0.11975345,0.25346220,0.67995322
0.64532266,0.87226117,0.04726870,0.00000000,0.00378821,0.12633726,0.26298231,0.69566024
0.65132566,0.90370447,0.05118042,0.00000000,0.00401639,0.13362720,0.27379227,0.71445333
0.65732866,0.93900247,0.05557438,0.00000000,0.00427787,0.14154331,0.28571572,0.73588073
0.66333167,0.97755997,0.06041420,0.00000000,0.00456877,0.14999486,0.29856822,0.75946863
0.66933467,1.01874629,0.06565651,0.00000000,0.00488481,0.15888103,0.31215965,0.78472853
0.67533767,1.06190237,0.07125059,0.00000000,0.00522133,0.16809189,0.32629620,0.81116392
0.68134067,1.10634764,0.07713814,0.00000000,0.00557335,0.17750947,0.34078217,0.83827636
0.68734367,1.15138692,0.08325335,0.00000000,0.00593557,0.18700915,0.35542146,0.86557080
