energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-1.29964982,1.72241069,0.52341771,0.31235222,0.07927732,0.29340855,0.29621993,0.51389312,0.58471939,0.00000000
-1.29364682,1.73724763,0.52296268,0.31296647,0.07637351,0.29317703,0.29235463,0.52624926,0.60376965,0.00000000
-1.28764382,1.74993463,0.52222047,0.31282170,0.07342063,0.29210778,0.28787675,0.53851275,0.62251802,0.00000000
-1.28164082,1.76045436,0.52131038,0.31195220,0.07043164,0.29029039,0.28280400,0.55053330,0.64087955,0.00000000
-1.27563782,1.76885731,0.52037374,0.31041037,0.06742252,0.28783945,0.27718059,0.56216760,0.65877437,0.00000000
-1.26963482,1.77524332,0.51956530,0.30826237,0.06441135,0.28488927,0.27107288,0.57327784,0.67612146,0.00000000
-1.26363182,1.77974269,0.51904396,0.30558344,0.06141734,0.28158818,0.26456453,0.58373042,0.69283274,0.00000000
-1.25762881,1.78249791,0.51896322,0.30245329,0.05845981,0.27809284,0.25775164,0.59339502,0.70880833,0.00000000
-1.25162581,1.78364742,0.51946194,0.29895178,0.05555729,0.27456263,0.25073787,0.60214430,0.72393301,0.00000000
-1.24562281,1.78331192,0.52065570,0.29515506,0.05272660,0.27115444,0.24363000,0.60985424,0.73807432,0.00000000
-1.23961981,1.78158437,0.52262932,0.29113236,0.04998224,0.26801803,0.23653390,0.61640531,0.75108245,0.00000000
-1.23361681,1.77852371,0.52543071,0.28694360,0.04733585,0.26529204,0.22955114,0.62168441,0.76279186,0.00000000
-1.22761381,1.77415286,0.52906654,0.28263787,0.04479593,0.26310083,0.22277634,0.62558763,0.77302471,0.00000000
-1.22161081,1.76846049,0.53349976,0.27825265,0.04236776,0.26155212,0.21629520,0.62802353,0.78159573,0.00000000
-1.21560780,1.76140646,0.53864910,0.27381403,0.04005352,0.26073546,0.21018326,0.62891695,0.78831843,0.00000000
-1.20960480,1.75293010,0.54439063,0.26933754,0.03785263,0.26072137,0.20450537,0.62821292,0.79301209,0.00000000
-1.20360180,1.74296063,0.55056127,0.26482959,0.03576214,0.26156133,0.19931566,0.62588053,0.79550931,0.00000000
-1.19759880,1.73142865,0.55696402,0.26028945,0.03377737,0.26328809,0.19465799,0.62191643,0.79566345,0.00000000
-1.19159580,1.71827795,0.56337477,0.25571137,0.03189247,0.26591654,0.19056682,0.61634768,0.79335568,0.00000000
-1.18559280,1.70347643,0.56955034,0.25108692,0.03010112,0.26944483,0.18706812,0.60923361,0.78850120,0.00000000
-1.17958979,1.68702548,0.57523737,0.24640714,0.02839709,0.27385549,0.18418046,0.60066670,0.78105415,0.00000000
-1.17358679,1.66896704,0.58018176,0.24166462,0.02677485,0.27911674,0.18191604,0.59077206,0.77101113,0.00000000
-1.16758379,1.64938779,0.58413817,0.23685507,0.02522999,0.28518357,0.18028156,0.57970565,0.75841303,0.00000000
-1.16158079,1.62842025,0.58687922,0.23197864,0.02375960,0.29199871,0.17927887,0.56765113,0.74334509,0.00000000
-1.15557779,1.60624073,0.58820406,0.22704063,0.02236249,0.29949339,0.17890543,0.55481552,0.72593525,0.00000000
-1.14957479,1.58306420,0.58794584,0.22205180,0.02103921,0.30758799,0.17915445,0.54142364,0.70635093,0.00000000
-1.14357179,1.55913654,0.58597795,0.21702817,0.01979212,0.31619245,0.18001485,0.52771184,0.68479433,0.00000000
-1.13756878,1.53472472,0.58221861,0.21199047,0.01862512,0.32520664,0.18147095,0.51392097,0.66149669,0.00000000
-1.13156578,1.51010545,0.57663382,0.20696313,0.01754344,0.33452075,0.18350208,0.50028917,0.63671161,0.00000000
-1.12556278,1.48555315,0.56923841,0.20197319,0.01655333,0.34401576,0.18608210,0.48704456,0.61070797,0.00000000
-1.11955978,1.46132791,0.56009541,0.19704886,0.01566161,0.35356416,0.18917896,0.47439841,0.58376266,0.00000000
-1.11355678,1.43766432,0.54931354,0.19221822,0.01487526,0.36303090,0.19275431,0.46253877,0.55615343,0.00000000
-1.10755378,1.41476158,0.53704326,0.18750786,0.01420102,0.37227479,0.19676336,0.45162508,0.52815231,0.00000000
-1.10155078,1.39277575,0.52347135,0.18294166,0.01364495,0.38115027,0.20115493,0.44178391,0.50001967,0.00000000
-1.09554777,1.37181423,0.50881453,0.17853979,0.01321206,0.38950964,0.20587190,0.43310582,0.47199920,0.00000000
-1.08954477,1.35193311,0.49331227,0.17431801,0.01290596,0.39720577,0.21085189,0.42564375,0.44431402,0.00000000
-1.08354177,1.33313708,0.47721922,0.17028716,0.01272865,0.40409504,0.21602843,0.41941266,0.41716375,0.00000000
