energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-4.81740870,2.22148943,0.32974472,1.72222391,0.00557674,0.05337367,0.00068390,0.33449380,0.20276861,0.09274367
-4.81140570,2.19563909,0.32667304,1.69854840,0.00535427,0.05268793,0.00064458,0.33269969,0.19811208,0.09260687
-4.80540270,2.17680620,0.32487308,1.68032105,0.00520230,0.05224095,0.00060937,0.33193799,0.19376504,0.09267629
-4.79939970,2.16478306,0.32443017,1.66719472,0.00512071,0.05206032,0.00057899,0.33227229,0.18977743,0.09296345
-4.79339670,2.15931143,0.32542813,1.65877709,0.00510861,0.05217384,0.00055414,0.33376163,0.18619342,0.09348127
-4.78739370,2.16010447,0.32795076,1.65465286,0.00516447,0.05260923,0.00053549,0.33646123,0.18305150,0.09424430
-4.78139070,2.16686569,0.33208274,1.65440343,0.00528631,0.05339368,0.00052368,0.34042284,0.18038476,0.09526875
-4.77538769,2.17930437,0.33790985,1.65762354,0.00547189,0.05455341,0.00051931,0.34569478,0.17822127,0.09657229
-4.76938469,2.19714678,0.34551840,1.66393439,0.00571881,0.05611307,0.00052295,0.35232144,0.17658454,0.09817357
-4.76338169,2.22014311,0.35499389,1.67299295,0.00602462,0.05809521,0.00053510,0.36034239,0.17549406,0.10009155
-4.75737869,2.24807016,0.36641889,1.68449756,0.00638696,0.06051953,0.00055624,0.36979103,0.17496580,0.10234461
-4.75137569,2.28072988,0.37987007,1.69818990,0.00680356,0.06340229,0.00058676,0.38069282,0.17501278,0.10494956
-4.74537269,2.31794456,0.39541467,1.71385381,0.00727231,0.06675548,0.00062699,0.39306325,0.17564544,0.10792041
-4.73936968,2.35954907,0.41310633,1.73131137,0.00779124,0.07058619,0.00067718,0.40690556,0.17687210,0.11126728
-4.73336668,2.40538103,0.43298069,1.75041695,0.00835853,0.07489588,0.00073750,0.42220834,0.17869913,0.11499516
-4.72736368,2.45526978,0.45505070,1.77104978,0.00897244,0.07967973,0.00080799,0.43894321,0.18113104,0.11910283
-4.72136068,2.50902504,0.47930208,1.79310577,0.00963127,0.08492606,0.00088860,0.45706265,0.18417048,0.12358196
-4.71535768,2.56642596,0.50568902,1.81648921,0.01033326,0.09061589,0.00097914,0.47649813,0.18781792,0.12841632
-4.70935468,2.62721153,0.53413048,1.84110486,0.01107655,0.09672262,0.00107929,0.49715873,0.19207134,0.13358133
-4.70335168,2.69107281,0.56450715,1.86685100,0.01185907,0.10321182,0.00118859,0.51893032,0.19692564,0.13904387
-4.69734867,2.75764757,0.59665935,1.89361372,0.01267843,0.11004126,0.00130641,0.54167532,0.20237203,0.14476240
-4.69134567,2.82651759,0.63038603,1.92126276,0.01353189,0.11716112,0.00143198,0.56523329,0.20839727,0.15068737
-4.68534267,2.89720890,0.66544495,1.94964902,0.01441626,0.12451438,0.00156437,0.58942218,0.21498288,0.15676197
-4.67933967,2.96919477,0.70155403,1.97860374,0.01532783,0.13203739,0.00170249,0.61404034,0.22210441,0.16292318
-4.67333667,3.04190149,0.73839401,2.00793929,0.01626236,0.13966071,0.00184513,0.63886923,0.22973067,0.16910293
-4.66733367,3.11471654,0.77561226,2.03745144,0.01721500,0.14731006,0.00199091,0.66367673,0.23782316,0.17522959
-4.66133067,3.18699873,0.81282775,2.06692289,0.01818033,0.15490741,0.00213836,0.68822104,0.24633560,0.18122946
