energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-1.04152076,6.99060856,0.01359003,0.11543734,0.25738188,4.74044000,0.04472286,0.51257913,0.66526668,1.75070252
-1.03551776,6.80566365,0.01309876,0.11251715,0.24688434,4.61589450,0.04338213,0.49620810,0.64409481,1.71031003
-1.02951476,6.62628187,0.01262831,0.10980028,0.23653421,4.49419605,0.04209907,0.48096785,0.62393976,1.67117549
-1.02351176,6.45508591,0.01218128,0.10735799,0.22643429,4.37718031,0.04088485,0.46699485,0.60512914,1.63393243
-1.01750875,6.29443750,0.01175919,0.10525876,0.21667509,4.26654318,0.03974798,0.45438856,0.58796092,1.59913178
-1.01150575,6.14642992,0.01136254,0.10356700,0.20733382,4.16383485,0.03869448,0.44321310,0.57270058,1.56723930
-1.00550275,6.01289381,0.01099106,0.10234187,0.19847396,4.07046202,0.03772816,0.43350028,0.55957947,1.53863679
-0.99949975,5.89541365,0.01064388,0.10163616,0.19014557,3.98769680,0.03685109,0.42525386,0.54879397,1.51362616
-0.99349675,5.79535209,0.01031975,0.10149536,0.18238598,3.91669030,0.03606402,0.41845467,0.54050553,1.49243600
-0.98749375,5.71387878,0.01001728,0.10195675,0.17522111,3.85848873,0.03536684,0.41306631,0.53484100,1.47522956
-0.98149075,5.65200018,0.00973518,0.10304873,0.16866693,3.81404972,0.03475912,0.40904086,0.53189342,1.46211351
-0.97548774,5.61058724,0.00947242,0.10479025,0.16273126,3.78425643,0.03424042,0.40632454,0.53172278,1.45314684
-0.96948474,5.59039787,0.00922844,0.10719037,0.15741550,3.76992767,0.03381073,0.40486269,0.53435685,1.44834919
-0.96348174,5.59209209,0.00900325,0.11024807,0.15271642,3.77182205,0.03347065,0.40460400,0.53979178,1.44770834
-0.95747874,5.61623826,0.00879751,0.11395219,0.14862770,3.79063529,0.03322160,0.40550365,0.54799267,1.45118642
-0.95147574,5.66330962,0.00861259,0.11828163,0.14514130,3.82699005,0.03306580,0.40752532,0.55889401,1.45872488
-0.94547274,5.73367135,0.00845048,0.12320580,0.14224849,3.88141826,0.03300622,0.41064194,0.57240013,1.47024816
-0.93946973,5.82755918,0.00831379,0.12868519,0.13994057,3.95433693,0.03304642,0.41483528,0.58838588,1.48566614
-0.93346673,5.94505109,0.00820556,0.13467235,0.13820927,4.04601854,0.03319028,0.42009435,0.60669753,1.50487576
-0.92746373,6.08603441,0.00812915,0.14111294,0.13704681,4.15655799,0.03344171,0.42641305,0.62715422,1.52776190
-0.92146073,6.25017109,0.00808802,0.14794714,0.13644571,4.28583819,0.03380426,0.43378689,0.64955001,1.55419774
-0.91545773,6.43686368,0.00808554,0.15511109,0.13639837,4.43349671,0.03428080,0.44220947,0.67365673,1.58404501
-0.90945473,6.64522496,0.00812478,0.16253856,0.13689648,4.59889596,0.03487314,0.45166860,0.69922748,1.61715392
-0.90345173,6.87405378,0.00820830,0.17016266,0.13793033,4.78109925,0.03558173,0.46214266,0.72600098,1.65336319
-0.89744872,7.12181899,0.00833795,0.17791748,0.13948808,4.97885465,0.03640537,0.47359715,0.75370660,1.69249981
-0.89144572,7.38665334,0.00851472,0.18573971,0.14155503,5.19058851,0.03734104,0.48598192,0.78206971,1.73437864
-0.88544272,7.66635807,0.00873857,0.19357010,0.14411299,5.41440964,0.03838375,0.49922904,0.81081748,1.77880157
-0.87943972,7.95841878,0.00900837,0.20135453,0.14713971,5.64812487,0.03952652,0.51325160,0.83968444,1.82555608
-0.87343672,8.26003210,0.00932183,0.20904496,0.15060847,5.88926590,0.04076038,0.52794344,0.86841780,1.87441309
-0.86743372,8.56814254,0.00967551,0.21659981,0.15448774,6.13512711,0.04207448,0.54317982,0.89678206,1.92512389
-0.86143072,8.87948831,0.01006484,0.22398408,0.15874106,6.38281311,0.04345628,0.55881910,0.92456266,1.97741622
