energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-2.77638819,12.59187593,0.03048436,1.33833172,0.44811617,8.91161382,0.09191291,0.80079958,2.10164247,1.50765095
-2.77038519,12.59788378,0.03039306,1.30575620,0.45869462,8.95133704,0.08958083,0.80848829,2.05915213,1.48566655
-2.76438219,12.60710021,0.03035049,1.27511279,0.47012558,8.98867583,0.08734441,0.81829178,2.01973120,1.46637276
-2.75837919,12.61784493,0.03036306,1.24664739,0.48233194,9.02173745,0.08524149,0.83016093,1.98363685,1.44990720
-2.75237619,12.62832037,0.03043524,1.22054827,0.49521612,9.04867661,0.08330718,0.84399582,1.95103576,1.43632803
-2.74637319,12.63665507,0.03056944,1.19694106,0.50866065,9.06774534,0.08157292,0.85964488,1.92200052,1.42560998
-2.74037019,12.64094735,0.03076579,1.17588575,0.52252942,9.07733763,0.08006560,0.87690574,1.89650907,1.41764310
-2.73436718,12.63930846,0.03102218,1.15737552,0.53666968,9.07602777,0.07880684,0.89552782,1.87444728,1.41223437
-2.72836418,12.62990442,0.03133424,1.14133780,0.55091469,9.06260162,0.07781235,0.91521678,1.85561442,1.40911213
-2.72236118,12.61099606,0.03169547,1.12763721,0.56508711,9.03608045,0.07709152,0.93564056,1.83973141,1.40793338
-2.71635818,12.58097639,0.03209748,1.11608044,0.57900288,8.99573725,0.07664710,0.95643724,1.82645144,1.40829355
-2.71035518,12.53840527,0.03253019,1.10642284,0.59247562,8.94110581,0.07647516,0.97722405,1.81537258,1.40973847
-2.70435218,12.48204064,0.03298221,1.09837650,0.60532130,8.87198301,0.07656511,0.99760762,1.80605193,1.41177823
-2.69834917,12.41086607,0.03344120,1.09161961,0.61736311,8.78842488,0.07690003,1.01719494,1.79802078,1.41390230
-2.69234617,12.32411437,0.03389421,1.08580666,0.62843630,8.69073742,0.07745708,1.03560452,1.79080016,1.41559540
-2.68634317,12.22128677,0.03432816,1.08057927,0.63839280,8.57946274,0.07820812,1.05247763,1.78391643,1.41635368
-2.68034017,12.10216749,0.03473017,1.07557731,0.64710546,8.45536159,0.07912051,1.06748884,1.77691627,1.41570043
-2.67433717,11.96683324,0.03508797,1.07044994,0.65447167,8.31939289,0.08015793,1.08035559,1.76938062,1.41320095
-2.66833417,11.81565745,0.03539026,1.06486621,0.66041629,8.17269107,0.08128148,1.09084648,1.76093727,1.40847603
-2.66233117,11.64930888,0.03562698,1.05852502,0.66489371,8.01654181,0.08245073,1.09878770,1.75127160,1.40121348
-2.65632816,11.46874443,0.03578958,1.05116407,0.66788888,7.85235666,0.08362487,1.10406764,1.74013539,1.39117757
-2.65032516,11.27519604,0.03587120,1.04256757,0.66941739,7.68164691,0.08476391,1.10663925,1.72735326,1.37821588
-2.64432216,11.07015161,0.03586683,1.03257250,0.66952453,7.50599718,0.08582987,1.10652024,1.71282690,1.36226346
-2.63831916,10.85533011,0.03577334,1.02107326,0.66828328,7.32703876,0.08678783,1.10379113,1.69653677,1.34334430
-2.63231616,10.63265110,0.03558952,1.00802448,0.66579157,7.14642307,0.08760705,1.09859127,1.67854143,1.32156995
-2.62631316,10.40419931,0.03531603,0.99344206,0.66216867,6.96579543,0.08826184,1.09111299,1.65897458,1.29713556
-2.62031016,10.17218461,0.03495531,0.97740219,0.65755103,6.78676922,0.08873232,1.08159438,1.63803977,1.27031334
-2.61430715,9.93889860,0.03451145,0.96003854,0.65208781,6.61090090,0.08900499,1.07031086,1.61600317,1.24144392
-2.60830415,9.70666846,0.03399004,0.94153757,0.64593614,6.43966596,0.08907308,1.05756606,1.59318453,1.21092571
-2.60230115,9.47780955,0.03339796,0.92213217,0.63925655,6.27443637,0.08893665,1.04368242,1.56994652,1.17920282
-2.59629815,9.25457777,0.03274323,0.90209366,0.63220862,6.11645982,0.08860246,1.02899196,1.54668299,1.14675186
