energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-4.85942971,2.86378734,0.74348138,1.48925677,0.01001979,0.20832822,0.01799900,0.71056357,0.51432804,0.35860533
-4.85342671,2.76513010,0.71109582,1.43783153,0.01022995,0.19803892,0.01778432,0.68741404,0.49568227,0.34986858
-4.84742371,2.66699867,0.67798716,1.38793779,0.01041278,0.18765362,0.01751891,0.66382367,0.47686960,0.34076455
-4.84142071,2.57120465,0.64479514,1.34050691,0.01056670,0.17736245,0.01720650,0.64027123,0.45829758,0.33142763
-4.83541771,2.47950765,0.61212832,1.29645007,0.01069065,0.16734569,0.01685125,0.61721602,0.44035725,0.32198839
-4.82941471,2.39357329,0.58054848,1.25663768,0.01078409,0.15776935,0.01645766,0.59508550,0.42341328,0.31257044
-4.82341171,2.31493365,0.55055705,1.22187924,0.01084704,0.14878125,0.01603057,0.57426417,0.40779496,0.30328759
-4.81740870,2.24495084,0.52258392,1.19290375,0.01088008,0.14050781,0.01557504,0.55508388,0.39378825,0.29424139
-4.81140570,2.18478460,0.49697876,1.17034136,0.01088436,0.13305148,0.01509635,0.53781599,0.38162910,0.28551911
-4.80540270,2.13536464,0.47400525,1.15470645,0.01086152,0.12648905,0.01459985,0.52266529,0.37149816,0.27719217
-4.79939970,2.09736821,0.45383794,1.14638257,0.01081367,0.12087062,0.01409097,0.50976611,0.36351701,0.26931514
-4.79339670,2.07120352,0.43656197,1.14560967,0.01074324,0.11621939,0.01357506,0.49918046,0.35774597,0.26192520
-4.78739370,2.05699942,0.42217545,1.15247410,0.01065296,0.11253226,0.01305740,0.49089829,0.35418351,0.25504221
-4.78139070,2.05460173,0.41059417,1.16690159,0.01054564,0.10978102,0.01254304,0.48483986,0.35276733,0.24866923
-4.77538769,2.06357650,0.40165861,1.18865399,0.01042414,0.10791424,0.01203680,0.48086006,0.35337701,0.24279367
-4.76938469,2.08322032,0.39514279,1.21732976,0.01029116,0.10685974,0.01154313,0.47875451,0.35583821,0.23738888
-4.76338169,2.11257778,0.39076463,1.25236881,0.01014918,0.10652751,0.01106608,0.47826743,0.35992831,0.23241613
-4.75737869,2.15046585,0.38819758,1.29306172,0.01000030,0.10681304,0.01060926,0.47910071,0.36538338,0.22782710
-4.75137569,2.19550493,0.38708292,1.33856365,0.00984622,0.10760090,0.01017581,0.48092434,0.37190628,0.22356660
-4.74537269,2.24615599,0.38704259,1.38791255,0.00968812,0.10876858,0.00976832,0.48338743,0.37917570,0.21957560
-4.73936968,2.30076295,0.38769190,1.44005181,0.00952667,0.11019031,0.00938892,0.48612994,0.38685589,0.21579429
-4.73336668,2.35759925,0.38865193,1.49385657,0.00936203,0.11174091,0.00903926,0.48879429,0.39460682,0.21216524
-4.72736368,2.41491743,0.38956122,1.54816322,0.00919390,0.11329950,0.00872053,0.49103697,0.40209440,0.20863646
-4.72136068,2.47100003,0.39008626,1.60180117,0.00902158,0.11475286,0.00843356,0.49253930,0.40900058,0.20516415
-4.71535768,2.52421035,0.38993076,1.65362598,0.00884409,0.11599859,0.00817887,0.49301741,0.41503273,0.20171521
-4.70935468,2.57304115,0.38884316,1.70255252,0.00866028,0.11694767,0.00795674,0.49223077,0.41993232,0.19826924
-4.70335168,2.61615960,0.38662245,1.74758714,0.00846901,0.11752659,0.00776731,0.48998919,0.42348232,0.19481995
-4.69734867,2.65244678,0.38312193,1.78785747,0.00826926,0.11767890,0.00761064,0.48615807,0.42551307,0.19137600
-4.69134567,2.68103010,0.37825109,1.82263873,0.00806033,0.11736608,0.00748680,0.48066150,0.42590662,0.18796116
-4.68534267,2.70130750,0.37197545,1.85137536,0.00784194,0.11656777,0.00739590,0.47348349,0.42459905,0.18461375
-4.67933967,2.71296229,0.36431452,1.87369722,0.00761439,0.11528146,0.00733813,0.46466702,0.42158098,0.18138542
-4.67333667,2.71596818,0.35533806,1.88942950,0.00737870,0.11352144,0.00731379,0.45431114,0.41689604,0.17833934
-4.66733367,2.71058432,0.34516081,1.89859611,0.00713660,0.11131728,0.00732328,0.44256632,0.41063755,0.17554780
-4.66133067,2.69734066,0.33393600,1.90141629,0.00689070,0.10871181,0.00736706,0.42962819,0.40294343,0.17308946
