energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-3.22061031,8.24765026,0.06368607,1.95841447,0.21791699,2.61807116,3.11156884,1.89606841
-3.21460730,8.25289039,0.06323377,1.96126055,0.21518671,2.61873533,3.10735937,1.90671822
-3.20860430,8.23074391,0.06244359,1.95687784,0.21141098,2.61171260,3.09598079,1.91045629
-3.20260130,8.18172068,0.06133146,1.94536706,0.20664219,2.59718803,3.07767748,1.90730320
-3.19659830,8.10658913,0.05991898,1.92692112,0.20095109,2.57538577,3.05266860,1.89735875
-3.19059530,8.00633805,0.05823279,1.90181492,0.19442447,2.54655874,3.02113805,1.88079443
-3.18459230,7.88214106,0.05630376,1.87039443,0.18716252,2.51098104,2.98323037,1.85784573
-3.17858929,7.73532576,0.05416615,1.83306576,0.17927585,2.46894336,2.93905257,1.82880459
-3.17258629,7.56734829,0.05185675,1.79028465,0.17088249,2.42075134,2.88868149,1.79401242
-3.16658329,7.37977376,0.04941392,1.74254658,0.16210486,2.36672676,2.83217596,1.75385382
-3.16058029,7.17426241,0.04687676,1.69037804,0.15306678,2.30721089,2.76959255,1.70875115
-3.15457729,6.95256053,0.04428425,1.63432864,0.14389070,2.24256960,2.70100374,1.65915983
