energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up
-4.72736368,9.33448333,0.84379021,7.67069489,0.06301398,0.14551340,0.75824395,0.48324932,0.05881001,0.97224756
-4.72136068,9.37329075,0.82969535,7.72017451,0.06343049,0.14380166,0.76606622,0.48234001,0.05739575,0.97065547
-4.71535768,9.40319764,0.81513498,7.76220637,0.06371258,0.14196713,0.77409113,0.48103827,0.05592782,0.96814659
-4.70935468,9.42493506,0.80018730,7.79734445,0.06385758,0.14002737,0.78227878,0.47940522,0.05442754,0.96478474
-4.70335168,9.43940305,0.78492973,7.82629819,0.06386303,0.13800193,0.79058043,0.47751114,0.05291677,0.96064267
-4.69734867,9.44764948,0.76943903,7.84991434,0.06372679,0.13591205,0.79893935,0.47543357,0.05141756,0.95580128
-4.69134567,9.45084666,0.75379164,7.86915620,0.06344721,0.13378030,0.80729228,0.47325544,0.04995181,0.95034907
-4.68534267,9.45026580,0.73806430,7.88508049,0.06302332,0.13163026,0.81557125,0.47106297,0.04854092,0.94438169
-4.67933967,9.44724996,0.72233487,7.89881233,0.06245503,0.12948618,0.82370578,0.46894373,0.04720551,0.93800163
-4.67333667,9.44318556,0.70668311,7.91151852,0.06174342,0.12737260,0.83162536,0.46698472,0.04596509,0.93131790
-4.66733367,9.43947318,0.69119145,7.92437984,0.06089095,0.12531406,0.83926209,0.46527067,0.04483787,0.92444584
