energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
0.00300150,1.53924442,-2.73504236,0.00224117,-0.00993655,0.02321905,-0.06175488,0.35709086,-0.66851601,1.09602167,-1.40729995,0.16448202,-0.29469889,0.20557418,-0.71380345,0.14450579,-0.45030289,0.00000000,-0.00000000
0.00900450,1.58317418,-2.81332933,0.00248604,-0.01045041,0.02522970,-0.06358560,0.38520636,-0.69053554,1.13545771,-1.46276874,0.16333205,-0.29380555,0.20339746,-0.72552153,0.15041370,-0.46105776,0.00000000,-0.00000000
0.01500750,1.63745513,-2.88852620,0.00275389,-0.01097114,0.02746886,-0.06536952,0.41671099,-0.71177192,1.18376081,-1.51768191,0.16263680,-0.29214619,0.20161767,-0.73574734,0.15718907,-0.47110797,0.00000000,-0.00000000
0.02101051,1.70121927,-2.95924808,0.00304334,-0.01149451,0.02992595,-0.06706514,0.45139392,-0.73189303,1.24004415,-1.57112990,0.16238496,-0.28969092,0.20027170,-0.74423663,0.16478839,-0.48023536,0.00000000,-0.00000000
0.02701351,1.77344796,-3.02414193,0.00335248,-0.01201530,0.03258669,-0.06863200,0.48898404,-0.75056972,1.30329914,-1.62219951,0.16255600,-0.28642337,0.19938916,-0.75076904,0.17315324,-0.48823087,0.00000000,-0.00000000
0.03301651,1.85297844,-3.08190604,0.00367877,-0.01252742,0.03543284,-0.07003130,0.52914850,-0.76748064,1.37240812,-1.66998781,0.16311965,-0.28233986,0.19898916,-0.75515040,0.18220897,-0.49489838,0.00000000,-0.00000000
0.03901951,1.93851425,-3.13131065,0.00401908,-0.01302389,0.03844205,-0.07122653,0.57149271,-0.78231744,1.44615950,-1.71361716,0.16403577,-0.27744861,0.19907757,-0.75721504,0.19186394,-0.50005844,0.00000000,-0.00000000
0.04502251,2.02864013,-3.17121947,0.00436971,-0.01349697,0.04158786,-0.07218424,0.61556230,-0.79479047,1.52326556,-1.75225105,0.16525461,-0.27176887,0.19964506,-0.75682782,0.20200935,-0.50355200,0.00000000,-0.00000000
0.05102551,2.12184158,-3.20061148,0.00472640,-0.01393839,0.04483987,-0.07287468,0.66084698,-0.80463456,1.60238316,-1.78511034,0.16671757,-0.26533005,0.20066585,-0.75388619,0.21251979,-0.50524384,0.00000000,-0.00000000
0.05702851,2.21652941,-3.21860246,0.00508446,-0.01433951,0.04816403,-0.07327251,0.70678666,-0.81161503,1.68213695,-1.81148962,0.16835847,-0.25817089,0.20209742,-0.74832190,0.22325459,-0.50502573,0.00000000,-0.00000000
