energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.15957979,6.64848117,0.02424872,0.70983578,4.86189517,1.83533369,0.02442985,2.67615144,1.12208390,0.51571152
-5.15357679,6.74243381,0.02457499,0.71321677,4.97057825,1.87245369,0.02202914,2.71992765,1.16188185,0.51253243
-5.14757379,6.85214852,0.02496189,0.71787533,5.08488903,1.91344530,0.01988370,2.77196829,1.20457487,0.51111764
-5.14157079,6.97713362,0.02540909,0.72369179,5.20498464,1.95779006,0.01797348,2.83236376,1.24996756,0.51158728
-5.13556778,7.11668454,0.02591457,0.73054829,5.33088794,2.00495227,0.01627837,2.90105333,1.29779333,0.51403524
-5.12956478,7.26987320,0.02647451,0.73832836,5.46244319,2.05438687,0.01477854,2.97781334,1.34771438,0.51852732
-5.12356178,7.43554002,0.02708326,0.74691626,5.59927679,2.10554620,0.01345476,3.06224888,1.39932311,0.52509966
-5.11755878,7.61229062,0.02773336,0.75619604,5.74076628,2.15788571,0.01228856,3.15378971,1.45214529,0.53375771
-5.11155578,7.79849909,0.02841563,0.76605073,5.88602005,2.21086894,0.01126254,3.25169157,1.50564511,0.54447577
-5.10555278,7.99231959,0.02911931,0.77636166,6.03387024,2.26397204,0.01036041,3.35504347,1.55923230,0.55719738
-5.09954977,8.19170773,0.02983236,0.78700827,6.18288024,2.31668833,0.00956722,3.46278161,1.61227133,0.57183656
-5.09354677,8.39445267,0.03054169,0.79786840,6.33136771,2.36853307,0.00886932,3.57371001,1.66409273,0.58828007
-5.08754377,8.59822024,0.03123357,0.80881936,6.47744299,2.41904898,0.00825448,3.68652772,1.71400643,0.60639064
-5.08154077,8.80060654,0.03189403,0.81973963,6.61906171,2.46781255,0.00771187,3.79986192,1.76131680,0.62601113
-5.07553777,8.99920097,0.03250928,0.83051133,6.75408996,2.51444139,0.00723203,3.91230609,1.80533920,0.64696957
-5.06953477,9.19165634,0.03306620,0.84102327,6.88037889,2.55860252,0.00680684,4.02246158,1.84541741,0.66908484
-5.06353177,9.37576377,0.03355279,0.85117462,6.99584556,2.60002141,0.00642948,4.12898118,1.88094157,0.69217273
-5.05752876,9.54952876,0.03395858,0.86087883,7.09855583,2.63849148,0.00609436,4.23061262,1.91136590,0.71605216
-5.05152576,9.71124516,0.03427504,0.87006764,7.18680527,2.67388357,0.00579706,4.32624014,1.93622561,0.74055120
-5.04552276,9.85956301,0.03449586,0.87869506,7.25919376,2.70615484,0.00553425,4.41492193,1.95515243,0.76551256
-5.03951976,9.99354701,0.03461725,0.88674085,7.31468979,2.73535646,0.00530360,4.49592195,1.96788792,0.79079832
-5.03351676,10.11272190,0.03463807,0.89421343,7.35268101,2.76163961,0.00510377,4.56873409,1.97429432,0.81629348
-5.02751376,10.21710250,0.03455986,0.90115199,7.37300832,2.78525898,0.00493426,4.63309790,1.97436223,0.84190840
-5.02151076,10.30720610,0.03438684,0.90762751,7.37598136,2.80657348,0.00479543,4.68900480,1.96821487,0.86757961
-5.01550775,10.38404625,0.03412573,0.91374280,7.36237485,2.82604371,0.00468838,4.73669444,1.95610870,0.89326937
-5.00950475,10.44910778,0.03378554,0.91963125,7.33340554,2.84422587,0.00461493,4.77664174,1.93843034,0.91896372
-5.00350175,10.50430389,0.03337724,0.92545451,7.29069108,2.86176222,0.00457755,4.80953480,1.91568976,0.94466937
-4.99749875,10.55191673,0.03291337,0.93139911,7.23619285,2.87936801,0.00457929,4.83624520,1.88851002,0.97040948
-4.99149575,10.59452427,0.03240763,0.93767203,7.17214550,2.89781532,0.00462379,4.85779197,1.85761374,0.99621884
-4.98549275,10.63491612,0.03187440,0.94449556,7.10097671,2.91791405,0.00471515,4.87530095,1.82380680,1.02213858
-4.97948974,10.67600198,0.03132830,0.95210150,7.02522085,2.94049068,0.00485794,4.88996156,1.78795968,1.04821093
-4.97348674,10.72071622,0.03078375,0.96072486,6.94743063,2.96636539,0.00505711,4.90298280,1.75098697,1.07447425
-4.96748374,10.77192217,0.03025452,0.97059746,6.87009047,2.99632816,0.00531790,4.91555034,1.71382557,1.10095875
-4.96148074,10.83231952,0.02975339,0.98194131,6.79553527,3.03111459,0.00564584,4.92878648,1.67741230,1.12768310
-4.95547774,10.90435793,0.02929185,0.99496212,6.72587756,3.07138201,0.00604658,4.94371421,1.64266129,1.15465209
-4.94947474,10.99015912,0.02887987,1.00984299,6.66294564,3.11768656,0.00652588,4.96122671,1.61044203,1.18185539
-4.94347174,11.09144963,0.02852570,1.02673842,6.60823441,3.17046182,0.00708944,4.98206280,1.58155826,1.20926752
-4.93746873,11.20950553,0.02823584,1.04576863,6.56287007,3.22999958,0.00774281,5.00678887,1.55672864,1.23684869
-4.93146573,11.34510988,0.02801496,1.06701432,6.52758896,3.29643311,0.00849128,5.03578731,1.53656941,1.26454656
-4.92546273,11.49852339,0.02786600,1.09051192,6.50273041,3.36972350,0.00933968,5.06925120,1.52157965,1.29229835
-4.91945973,11.66946824,0.02779019,1.11624944,6.48824269,3.44964950,0.01029228,5.10718475,1.51212950,1.32003333
-4.91345673,11.85712473,0.02778721,1.14416292,6.48370086,3.53580116,0.01135260,5.14940892,1.50845180,1.34767506
-4.90745373,12.06014045,0.02785534,1.17413373,6.48833504,3.62757776,0.01252320,5.19557139,1.51063726,1.37514324
-4.90145073,12.27665135,0.02799156,1.20598678,6.50106731,3.72419035,0.01380555,5.24516021,1.51863365,1.40235496
-4.89544772,12.50431417,0.02819175,1.23948986,6.52055559,3.82466917,0.01519976,5.29752038,1.53224880,1.42922497
-4.88944472,12.74034981,0.02845077,1.27435435,6.54524262,3.92787626,0.01670448,5.35187259,1.55115773,1.45566511
-4.88344172,12.98159699,0.02876260,1.31023741,6.57340851,4.03252346,0.01831660,5.40733379,1.57491355,1.48158277
-4.87743872,13.22457572,0.02912044,1.34674594,6.60322533,4.13719561,0.02003117,5.46293884,1.60296203,1.50687848
-4.87143572,13.46555971,0.02951676,1.38344233,6.63281221,4.24037910,0.02184116,5.51766310,1.63465941,1.53144298
-4.86543272,13.70065697,0.02994333,1.41985220,6.66028986,4.34049505,0.02373738,5.57044560,1.66929284,1.55515391
-4.85942971,13.92589710,0.03039132,1.45547395,6.68383323,4.43593678,0.02570833,5.62021243,1.70610291,1.57787250
-4.85342671,14.13732392,0.03085128,1.48979013,6.70172111,4.52511052,0.02774019,5.66590018,1.74430738,1.59944076
-4.84742371,14.33109105,0.03131319,1.52228024,6.71238173,4.60647824,0.02981675,5.70647913,1.78312534,1.61967932
-4.84142071,14.50355813,0.03176657,1.55243468,6.71443319,4.67860121,0.03191955,5.74097578,1.82180079,1.63838640
