energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-4.39119560,9.72353466,0.23298806,5.19727160,0.00836038,0.59959085,2.39404462,3.72016638,0.09445474,0.73848923
-4.38519260,10.00242032,0.23869551,5.34145855,0.00875927,0.61903212,2.45979532,3.84022150,0.10018384,0.74984991
-4.37918959,10.27266691,0.24420686,5.48053801,0.00914448,0.63888779,2.52648758,3.95635325,0.10575171,0.76054865
-4.37318659,10.52884566,0.24937243,5.61112265,0.00950827,0.65858754,2.59269223,4.06739964,0.11106152,0.77029288
-4.36718359,10.76550912,0.25403819,5.72979436,0.00984413,0.67753847,2.65690719,4.17225553,0.11601750,0.77877764
-4.36118059,10.97738101,0.25805159,5.83322034,0.01014699,0.69514544,2.71761071,4.26991155,0.12052775,0.78569891
-4.35517759,11.15954635,0.26126758,5.91827117,0.01041332,0.71083176,2.77331596,4.35948963,0.12450719,0.79076759
-4.34917459,11.30763248,0.26355447,5.98213531,0.01064127,0.72405925,2.82262441,4.44027310,0.12788026,0.79372347
-4.34317159,11.41797217,0.26479940,6.02242447,0.01083073,0.73434704,2.86427572,4.51172965,0.13058352,0.79434840
-4.33716858,11.48774088,0.26491309,6.03726489,0.01098333,0.74128816,2.89719183,4.57352577,0.13256780,0.79247788
-4.33116558,11.51506158,0.26383373,6.02537014,0.01110242,0.74456329,2.92051365,4.62553197,0.13379994,0.78801051
-4.32516258,11.49907226,0.26152978,5.98609212,0.01119298,0.74395121,2.93362847,4.66781834,0.13426397,0.78091470
-4.31915958,11.43995311,0.25800155,5.91944794,0.01126144,0.73933540,2.93618746,4.70064087,0.13396168,0.77123237
-4.31315658,11.33891263,0.25328157,5.82612164,0.01131549,0.73070665,2.92811243,4.72441917,0.13291256,0.75907940
-4.30715358,11.19813382,0.24743364,5.70744108,0.01136383,0.71816173,2.90959207,4.73970709,0.13115306,0.74464284
-4.30115058,11.02068376,0.24055069,5.56533117,0.01141581,0.70189801,2.88106798,4.74715782,0.12873530,0.72817498
-4.29514757,10.81039141,0.23275156,5.40224619,0.01148117,0.68220468,2.84321167,4.74748552,0.12572510,0.70998469
-4.28914457,10.57170019,0.22417680,5.22108447,0.01156958,0.65945069,2.79689377,4.74142578,0.12219969,0.69042647
-4.28314157,10.30950273,0.21498381,5.02508968,0.01169040,0.63407037,2.74314722,4.72969702,0.11824487,0.66988761
-4.27713857,10.02896573,0.20534137,4.81774324,0.01185219,0.60654708,2.68312632,4.71296511,0.11395208,0.64877439
