energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
2.31415708,0.50754698,0.05998922,0.00000000,0.02905203,0.03261609,0.33640237,0.37887397
2.32016008,0.45543083,0.05192692,0.00000000,0.02670931,0.02931080,0.30409627,0.33835183
2.32616308,0.40685209,0.04475626,0.00000000,0.02443368,0.02624073,0.27351683,0.30087532
2.33216608,0.36195924,0.03844962,0.00000000,0.02223884,0.02340701,0.24479386,0.26653972
2.33816908,0.32086181,0.03297628,0.00000000,0.02013792,0.02080946,0.21802415,0.23541231
2.34417209,0.28363622,0.02830468,0.00000000,0.01814319,0.01844693,0.19327396,0.20753826
2.35017509,0.25033282,0.02440481,0.00000000,0.01626574,0.01631768,0.17058201,0.18294755
2.35617809,0.22098404,0.02125056,0.00000000,0.01451530,0.01441969,0.14996301,0.16166271
2.36218109,0.19561311,0.01882200,0.00000000,0.01290020,0.01275109,0.13141150,0.14370708
2.36818409,0.17424324,0.01710756,0.00000000,0.01142729,0.01131045,0.11490596,0.12911326
2.37418709,0.15690673,0.01610600,0.00000000,0.01010212,0.01009720,0.10041302,0.11793145
2.38019010,0.14365369,0.01582816,0.00000000,0.00892904,0.00911195,0.08789162,0.11023722
2.38619310,0.13456004,0.01629842,0.00000000,0.00791144,0.00835682,0.07729707,0.10613853
2.39219610,0.12973430,0.01755577,0.00000000,0.00705203,0.00783572,0.06858482,0.10578147
2.39819910,0.12932280,0.01965450,0.00000000,0.00635310,0.00755460,0.06171376,0.10935440
2.40420210,0.13351300,0.02266436,0.00000000,0.00581683,0.00752157,0.05664908,0.11709025
2.41020510,0.14253446,0.02667016,0.00000000,0.00544551,0.00774698,0.05336444,0.12926642
2.41620810,0.15665718,0.03177078,0.00000000,0.00524179,0.00824341,0.05184340,0.14620218
2.42221111,0.17618705,0.03807742,0.00000000,0.00520884,0.00902541,0.05208000,0.16825318
2.42821411,0.20145821,0.04571111,0.00000000,0.00535041,0.01010925,0.05407849,0.19580300
2.43421711,0.23282220,0.05479947,0.00000000,0.00567083,0.01151238,0.05785213,0.22925147
2.44022011,0.27063397,0.06547261,0.00000000,0.00617491,0.01325282,0.06342098,0.26900000
2.44622311,0.31523486,0.07785827,0.00000000,0.00686772,0.01534830,0.07080892,0.31543388
2.45222611,0.36693300,0.09207621,0.00000000,0.00775427,0.01781537,0.08003976,0.36890210
2.45822911,0.42598154,0.10823197,0.00000000,0.00883915,0.02066823,0.09113263,0.42969492
2.46423212,0.49255545,0.12641026,0.00000000,0.01012600,0.02391762,0.10409690,0.49802026
2.47023512,0.56672777,0.14666792,0.00000000,0.01161701,0.02756951,0.11892673,0.57397936
2.47623812,0.64844647,0.16902710,0.00000000,0.01331232,0.03162389,0.13559550,0.65754314
2.48224112,0.73751285,0.19346858,0.00000000,0.01520946,0.03607357,0.15405047,0.74853024
