energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Se_s_up,Se_p_up
5.33366683,3.66622635,0.08599143,0.26099963,1.84336928,2.16728579,0.40170642,0.17487423,0.30371602
5.33966983,3.68402461,0.08773787,0.26422149,1.85532455,2.16199995,0.40788785,0.17631098,0.30628066
5.34567284,3.69614315,0.08895977,0.26680967,1.86565575,2.15658409,0.41299141,0.17729335,0.30845359
5.35167584,3.70260610,0.08963518,0.26873572,1.87442283,2.15122006,0.41696675,0.17781093,0.31022937
5.35767884,3.70373477,0.08975524,0.26999759,1.88184513,2.14619674,0.41980725,0.17787183,0.31162986
5.36368184,3.70014081,0.08932463,0.27061944,1.88829379,2.14190404,0.42154981,0.17750234,0.31270420
5.36968484,3.69270557,0.08836151,0.27065032,1.89427568,2.13882079,0.42227282,0.17674584,0.31352761
5.37568784,3.68254594,0.08689705,0.27016172,1.90040939,2.13749682,0.42209213,0.17566080,0.31419889
5.38169085,3.67096801,0.08497438,0.26924413,1.90739419,2.13852996,0.42115556,0.17431814,0.31483686
5.38769385,3.65941039,0.08264723,0.26800266,1.91597333,2.14253865,0.41963578,0.17279795,0.31557570
5.39369685,3.64937995,0.07997813,0.26655209,1.92689328,2.15013168,0.41772217,0.17118584,0.31655949
5.39969985,3.64238254,0.07703632,0.26501133,1.94086110,2.16187635,0.41561195,0.16956896,0.31793618
5.40570285,3.63985250,0.07389557,0.26349781,1.95850176,2.17826666,0.41350099,0.16803207,0.31985122
5.41170585,3.64308394,0.07063176,0.26212184,1.98031789,2.19969331,0.41157473,0.16665364,0.32244123
5.41770885,3.65316748,0.06732055,0.26098137,2.00665390,2.22641702,0.40999976,0.16550240,0.32582782
5.42371186,3.67093538,0.06403513,0.26015732,2.03766639,2.25854679,0.40891634,0.16463429,0.33011205
5.42971486,3.69691792,0.06084415,0.25970974,2.07330267,2.29602426,0.40843220,0.16409007,0.33536962
5.43571786,3.73131301,0.05780980,0.25967491,2.11328841,2.33861534,0.40861807,0.16389370,0.34164706
5.44172086,3.77397067,0.05498639,0.26006364,2.15712545,2.38590945,0.40950491,0.16405145,0.34895909
5.44772386,3.82439287,0.05241907,0.26086068,2.20409994,2.43732682,0.41108306,0.16455189,0.35728716
5.45372686,3.88174871,0.05014305,0.26202541,2.25330067,2.49213344,0.41330327,0.16536664,0.36657936
5.45972986,3.94490415,0.04818312,0.26349366,2.30364682,2.54946300,0.41607946,0.16645186,0.37675148
5.46573287,4.01246439,0.04655361,0.26518054,2.35392400,2.60834490,0.41929312,0.16775041,0.38768928
5.47173587,4.08282699,0.04525858,0.26698432,2.40282688,2.66773670,0.42279890,0.16919448,0.39925184
5.47773887,4.15424279,0.04429242,0.26879084,2.44900655,2.72655963,0.42643131,0.17070867,0.41127567
5.48374187,4.22488161,0.04364066,0.27047854,2.49112037,2.78373519,0.43001188,0.17221323,0.42357955
5.48974487,4.29289968,0.04328102,0.27192374,2.52788205,2.83822109,0.43335668,0.17362740,0.43596976
5.49574787,4.35650543,0.04318459,0.27300584,2.55810966,2.88904479,0.43628364,0.17487270,0.44824556
5.50175088,4.41402088,0.04331714,0.27361237,2.58076941,2.93533301,0.43861944,0.17587591,0.46020464
5.50775388,4.46393587,0.04364052,0.27364359,2.59501327,2.97633594,0.44020565,0.17657180,0.47164833
5.51375688,4.50495314,0.04411402,0.27301641,2.60020878,3.01144520,0.44090387,0.17690536,0.48238654
5.51975988,4.53602258,0.04469575,0.27166755,2.59595992,3.04020485,0.44059977,0.17683353,0.49224209
5.52576288,4.55636397,0.04534389,0.26955580,2.58211829,3.06231546,0.43920587,0.17632637,0.50105448
5.53176588,4.56547762,0.04601789,0.26666332,2.55878429,3.07763130,0.43666308,0.17536768,0.50868296
5.53776888,4.56314352,0.04667952,0.26299595,2.52629864,3.08615140,0.43294111,0.17395496,0.51500892
5.54377189,4.54940988,0.04729377,0.25858257,2.48522487,3.08800538,0.42803771,0.17209898,0.51993752
5.54977489,4.52457223,0.04782953,0.25347361,2.43632394,3.08343509,0.42197704,0.16982277,0.52339870
5.55577789,4.48914509,0.04826021,0.24773871,2.38052238,3.07277363,0.41480730,0.16716023,0.52534748
5.56178089,4.44382790,0.04856407,0.24146381,2.31887569,3.05642286,0.40659774,0.16415440,0.52576374
5.56778389,4.38946744,0.04872439,0.23474776,2.25252879,3.03483103,0.39743541,0.16085554,0.52465146
5.57378689,4.32701863,0.04872956,0.22769851,2.18267542,3.00847141,0.38742168,0.15731901,0.52203745
5.57978989,4.25750566,0.04857288,0.22042929,2.11051821,2.97782328,0.37666882,0.15360312,0.51796980
5.58579290,4.18198500,0.04825232,0.21305469,2.03723117,2.94335578,0.36529669,0.14976696,0.51251587
5.59179590,4.10151177,0.04777011,0.20568695,1.96392596,2.90551525,0.35342970,0.14586842,0.50576016
5.59779890,4.01711023,0.04713230,0.19843264,1.89162302,2.86471626,0.34119412,0.14196228,0.49780182
5.60380190,3.92974940,0.04634817,0.19138958,1.82122852,2.82133615,0.32871569,0.13809857,0.48875205
5.60980490,3.84032376,0.04542964,0.18464451,1.75351738,2.77571286,0.31611766,0.13432120,0.47873141
5.61580790,3.74963928,0.04439070,0.17827111,1.68912268,2.72814559,0.30351914,0.13066686,0.46786699
5.62181091,3.65840454,0.04324677,0.17232880,1.62853124,2.67889750,0.29103379,0.12716426,0.45628964
5.62781391,3.56722644,0.04201419,0.16686208,1.57208486,2.62819997,0.27876876,0.12383370,0.44413119
5.63381691,3.47661002,0.04070970,0.16190049,1.51998672,2.57625759,0.26682386,0.12068696,0.43152180
5.63981991,3.38696178,0.03934997,0.15745913,1.47231200,2.52325338,0.25529088,0.11772755,0.41858755
5.64582291,3.29859586,0.03795131,0.15353970,1.42902193,2.46935359,0.24425308,0.11495119,0.40544815
5.65182591,3.21174252,0.03652936,0.15013195,1.38998028,2.41471193,0.23378479,0.11234664,0.39221512
5.65782891,3.12655827,0.03509889,0.14721550,1.35497137,2.35947278,0.22395106,0.10989675,0.37899024
5.66383192,3.04313731,0.03367376,0.14476189,1.32371876,2.30377350,0.21480742,0.10757971,0.36586446
5.66983492,2.96152368,0.03226680,0.14273676,1.29590380,2.24774576,0.20639978,0.10537045,0.35291728
5.67583792,2.88172386,0.03088991,0.14110216,1.27118331,2.19151622,0.19876436,0.10324215,0.34021658
5.68184092,2.80371940,0.02955410,0.13981873,1.24920586,2.13520667,0.19192785,0.10116779,0.32781889
5.68784392,2.72747927,0.02826959,0.13884780,1.22962629,2.07893394,0.18590762,0.09912170,0.31577005
