energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
0.38119060,3.50427564,0.00960044,0.25292216,2.49361896,0.00000000,2.26143583,1.46436949
0.38719360,3.41495401,0.00945169,0.24980366,2.40557157,0.00000000,2.24059361,1.43995344
0.39319660,3.31601484,0.00927717,0.24548194,2.31271184,0.00000000,2.20771626,1.41078787
0.39919960,3.20796617,0.00907062,0.23997210,2.21545492,0.00000000,2.16310230,1.37706899
0.40520260,3.09164656,0.00882817,0.23332631,2.11440749,0.00000000,2.10736878,1.33914823
0.41120560,2.96819659,0.00854818,0.22563059,2.01034751,0.00000000,2.04142311,1.29752097
0.41720860,2.83901848,0.00823097,0.21700045,1.90419718,0.00000000,1.96642512,1.25280954
0.42321161,2.70572515,0.00787860,0.20757565,1.79699003,0.00000000,1.88374093,1.20574092
0.42921461,2.57008135,0.00749457,0.19751430,1.68983396,0.00000000,1.79489083,1.15712033
0.43521761,2.43393922,0.00708351,0.18698665,1.58387168,0.00000000,1.70149361,1.10780147
0.44122061,2.29917139,0.00665092,0.17616861,1.48024059,0.00000000,1.60520954,1.05865513
0.44722361,2.16760447,0.00620280,0.16523558,1.38003366,0.00000000,1.50768468,1.01053723
0.45322661,2.04095583,0.00574542,0.15435655,1.28426322,0.00000000,1.41049845,0.96425790
0.45922961,1.92077644,0.00528506,0.14368888,1.19382895,0.00000000,1.31511667,0.92055292
0.46523262,1.80840200,0.00482775,0.13337380,1.10949159,0.00000000,1.22285159,0.88005866
0.47123562,1.70491436,0.00437911,0.12353286,1.03185295,0.00000000,1.13483004,0.84329177
0.47723862,1.61111435,0.00394419,0.11426538,0.96134320,0.00000000,1.05197069,0.81063422
0.48324162,1.52750706,0.00352738,0.10564690,0.89821533,0.00000000,0.97497056,0.78232441
0.48924462,1.45429949,0.00313229,0.09772866,0.84254694,0.00000000,0.90430077,0.75845453
0.49524762,1.39141042,0.00276176,0.09053804,0.79424881,0.00000000,0.84021104,0.73897413
0.50125063,1.33849133,0.00241785,0.08407986,0.75307949,0.00000000,0.78274207,0.72369966
0.50725363,1.29495728,0.00210187,0.07833840,0.71866518,0.00000000,0.73174474,0.71232932
0.51325663,1.26002582,0.00181446,0.07328007,0.69052353,0.00000000,0.68690484,0.70446250
0.51925963,1.23276201,0.00155561,0.06885649,0.66809047,0.00000000,0.64777186,0.69962276
0.52526263,1.21212752,0.00132483,0.06500785,0.65074844,0.00000000,0.61379047,0.69728337
0.53126563,1.19703134,0.00112118,0.06166640,0.63785514,0.00000000,0.58433316,0.69689414
0.53726863,1.18638018,0.00094341,0.05875996,0.62877134,0.00000000,0.55873279,0.69790836
0.54327164,1.17912644,0.00079008,0.05621523,0.62288685,0.00000000,0.53631380,0.69980880
0.54927464,1.17431193,0.00065961,0.05396087,0.61964361,0.00000000,0.51642095,0.70213167
0.55527764,1.17110582,0.00055046,0.05193023,0.61855531,0.00000000,0.49844503,0.70448757
0.56128064,1.16883569,0.00046114,0.05006363,0.61922282,0.00000000,0.48184456,0.70657881
0.56728364,1.16701079,0.00039034,0.04831025,0.62134520,0.00000000,0.46616347,0.70821252
0.57328664,1.16533713,0.00033703,0.04662951,0.62472620,0.00000000,0.45104425,0.70930914
0.57928964,1.16372438,0.00030049,0.04499195,0.62927622,0.00000000,0.43623688,0.70990635
0.58529265,1.16228471,0.00028039,0.04337968,0.63501006,0.00000000,0.42160350,0.71015839
0.59129565,1.16132445,0.00027690,0.04178648,0.64204081,0.00000000,0.40711931,0.71033113
0.59729865,1.16132911,0.00029069,0.04021741,0.65057053,0.00000000,0.39287009,0.71079341
0.60330165,1.16294311,0.00032299,0.03868822,0.66087817,0.00000000,0.37904679,0.71200505
0.60930465,1.16694514,0.00037571,0.03722445,0.67330551,0.00000000,0.36593783,0.71450233
0.61530765,1.17422056,0.00045140,0.03586034,0.68824178,0.00000000,0.35391957,0.71888163
0.62131066,1.18573186,0.00055332,0.03463764,0.70610759,0.00000000,0.34344540,0.72578179
0.62731366,1.20248835,0.00068550,0.03360426,0.72733870,0.00000000,0.33503392,0.73586602
0.63331666,1.22551603,0.00085268,0.03281297,0.75237027,0.00000000,0.32925650,0.74980369
0.63931966,1.25582829,0.00106037,0.03231998,0.78162179,0.00000000,0.32672440,0.76825270
0.64532266,1.29439812,0.00131480,0.03218358,0.81548319,0.00000000,0.32807563,0.79184256
0.65132566,1.34213206,0.00162283,0.03246280,0.85430204,0.00000000,0.33396144,0.82115853
0.65732866,1.39984609,0.00199190,0.03321600,0.89837216,0.00000000,0.34503254,0.85672679
0.66333167,1.46824337,0.00242988,0.03449956,0.94792336,0.00000000,0.36192470,0.89900085
0.66933467,1.54789380,0.00294488,0.03636653,1.00311238,0.00000000,0.38524377,0.94834884
0.67533767,1.63921499,0.00354510,0.03886519,1.06401483,0.00000000,0.41554986,1.00504184
0.68134067,1.74245467,0.00423847,0.04203772,1.13061792,0.00000000,0.45334064,1.06924292
0.68734367,1.85767417,0.00503242,0.04591874,1.20281404,0.00000000,0.49903382,1.14099700
0.69334667,1.98473307,0.00593353,0.05053382,1.28039486,0.00000000,0.55294877,1.22022133
0.69934967,2.12327496,0.00694713,0.05589806,1.36304619,0.00000000,0.61528783,1.30669677
0.70535268,2.27271485,0.00807692,0.06201460,1.45034358,0.00000000,0.68611749,1.40006009
0.71135568,2.43222842,0.00932459,0.06887329,1.54174891,0.00000000,0.76535026,1.49979743
0.71735868,2.60074417,0.01068942,0.07644937,1.63660824,0.00000000,0.85272796,1.60523960
0.72336168,2.77693893,0.01216793,0.08470244,1.73415135,0.00000000,0.94780733,1.71555950
0.72936468,2.95923807,0.01375360,0.09357563,1.83349344,0.00000000,1.04994895,1.82977244
0.73536768,3.14582123,0.01543660,0.10299512,1.93363939,0.00000000,1.15831056,1.94673988
0.74137069,3.33463468,0.01720369,0.11287007,2.03349118,0.00000000,1.27184576,2.06517733
0.74737369,3.52341110,0.01903819,0.12309308,2.13185885,0.00000000,1.38930899,2.18366675
0.75337669,3.70969759,0.02092007,0.13354116,2.22747529,0.00000000,1.50926741,2.30067411
0.75937969,3.89089218,0.02282620,0.14407726,2.31901508,0.00000000,1.63012032,2.41457213
0.76538269,4.06428881,0.02473070,0.15455245,2.40511742,0.00000000,1.75012601,2.52366830
0.77138569,4.22713032,0.02660549,0.16480867,2.48441275,0.00000000,1.86743594,2.62623785
0.77738869,4.37666856,0.02842089,0.17468202,2.55555282,0.00000000,1.98013562,2.72056108
0.78339170,4.51023005,0.03014639,0.18400650,2.61724333,0.00000000,2.08629098,2.80496416
0.78939470,4.62528533,0.03175148,0.19261814,2.66827817,0.00000000,2.18399900,2.87786224
0.79539770,4.71951970,0.03320650,0.20035932,2.70757432,0.00000000,2.27144068,2.93780344
0.80140070,4.79090267,0.03448359,0.20708323,2.73420584,0.00000000,2.34693446,2.98351202
