energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.17358679,2.28550213,1.20298532,0.12800568,0.46624142,1.51559358,0.02662691,0.11634850,0.10868335,0.38379687
-1.16758379,2.33979648,1.20882570,0.13129557,0.48298993,1.56035903,0.02644827,0.11905152,0.11176848,0.38900651
-1.16158079,2.38609779,1.20863696,0.13406169,0.49850032,1.60098417,0.02609402,0.12142497,0.11438617,0.39241550
-1.15557779,2.42402945,1.20260669,0.13626846,0.51258161,1.63713229,0.02557237,0.12345119,0.11650294,0.39398877
-1.14957479,2.45327787,1.19100960,0.13788667,0.52504437,1.66846825,0.02489474,0.12511481,0.11809123,0.39371892
-1.14357179,2.47358990,1.17419399,0.13889387,0.53570359,1.69465958,0.02407540,0.12640233,0.11912992,0.39162465
-1.13756878,2.48477146,1.15256689,0.13927465,0.54438224,1.71537994,0.02313092,0.12730177,0.11960478,0.38774882
-1.13156578,2.48668777,1.12657850,0.13902092,0.55091552,1.73031506,0.02207962,0.12780255,0.11950876,0.38215616
-1.12556278,2.47926547,1.09670704,0.13813214,0.55515563,1.73917106,0.02094101,0.12789544,0.11884220,0.37493096
-1.11955978,2.46249631,1.06344433,0.13661543,0.55697692,1.74168481,0.01973520,0.12757277,0.11761294,0.36617461
-1.11355678,2.43644232,1.02728288,0.13448563,0.55628094,1.73763572,0.01848225,0.12682876,0.11583624,0.35600313
-1.10755378,2.40124186,0.98870492,0.13176522,0.55300143,1.72685835,0.01720173,0.12565995,0.11353461,0.34454484
-1.10155078,2.35711588,0.94817356,0.12848418,0.54710855,1.70925496,0.01591217,0.12406580,0.11073742,0.33193805
-1.09554777,2.30437368,0.90612618,0.12467958,0.53861241,1.68480720,0.01463070,0.12204922,0.10748044,0.31832887
-1.08954477,2.24341734,0.86297009,0.12039517,0.52756540,1.65358601,0.01337270,0.11961717,0.10380519,0.30386913
-1.08354177,2.17474417,0.81908019,0.11568066,0.51406322,1.61575902,0.01215160,0.11678115,0.09975813,0.28871428
-1.07753877,2.09894641,0.77479838,0.11059096,0.49824439,1.57159480,0.01097873,0.11355764,0.09538983,0.27302146
