energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-4.72136068,1.00239467,0.38493501,0.57265789,0.31323651,0.00969387,0.00084240,0.12049256
-4.71535768,1.00213165,0.39293945,0.56968096,0.30975315,0.00957457,0.00084454,0.12599020
-4.70935468,1.00133704,0.40162769,0.56553503,0.30687230,0.00943686,0.00084594,0.13194033
-4.70335168,0.99986837,0.41085320,0.56022911,0.30446992,0.00928250,0.00084753,0.13832793
-4.69734867,0.99769094,0.42051192,0.55383903,0.30245700,0.00911428,0.00085033,0.14513797
-4.69134567,0.99487748,0.43054541,0.54650439,0.30078123,0.00893595,0.00085554,0.15235575
-4.68534267,0.99160417,0.44094252,0.53842350,0.29942728,0.00875208,0.00086442,0.15996703
-4.67933967,0.98814352,0.45173948,0.52984682,0.29841594,0.00856795,0.00087835,0.16795800
-4.67333667,0.98485439,0.46301834,0.52106890,0.29780200,0.00838934,0.00089872,0.17631512
-4.66733367,0.98216938,0.47490405,0.51241921,0.29767116,0.00822242,0.00092695,0.18502492
-4.66133067,0.98058015,0.48755990,0.50425213,0.29813592,0.00807356,0.00096442,0.19407370
-4.65532766,0.98062098,0.50118175,0.49693630,0.29933071,0.00794914,0.00101244,0.20344728
-4.64932466,0.98285099,0.51599084,0.49084357,0.30140625,0.00785540,0.00107218,0.21313075
-4.64332166,0.98783541,0.53222561,0.48633784,0.30452341,0.00779828,0.00114464,0.22310825
-4.63731866,0.99612635,0.55013255,0.48376404,0.30884665,0.00778325,0.00123061,0.23336282
-4.63131566,1.00824343,0.56995618,0.48343733,0.31453715,0.00781519,0.00133061,0.24387627
-4.62531266,1.02465463,0.59192860,0.48563291,0.32174579,0.00789822,0.00144481,0.25462895
-4.61930965,1.04575783,0.61625859,0.49057650,0.33060627,0.00803560,0.00157308,0.26559957
-4.61330665,1.07186343,0.64312068,0.49843582,0.34122835,0.00822961,0.00171486,0.27676480
-4.60730365,1.10317851,0.67264437,0.50931327,0.35369147,0.00848146,0.00186921,0.28809876
-4.60130065,1.13979286,0.70490389,0.52323996,0.36803900,0.00879121,0.00203477,0.29957224
-4.59529765,1.18166754,0.73990881,0.54017144,0.38427326,0.00915767,0.00220976,0.31115173
-4.58929465,1.22862637,0.77759582,0.55998519,0.40235152,0.00957842,0.00239201,0.32279820
-4.58329165,1.28035079,0.81782217,0.58248027,0.42218321,0.01004975,0.00257900,0.33446571
-4.57728864,1.33637869,0.86036108,0.60737918,0.44362858,0.01056669,0.00276790,0.34609986
-4.57128564,1.39610751,0.90489954,0.63433201,0.46649890,0.01112302,0.00295562,0.35763636
-4.56528264,1.45880210,0.95103888,0.66292319,0.49055846,0.01171141,0.00313893,0.36899960
-4.55927964,1.52360739,0.99829834,0.69268056,0.51552843,0.01232352,0.00331452,0.38010168
-4.55327664,1.58956618,1.04612187,0.72308692,0.54109262,0.01295013,0.00347912,0.39084181
-4.54727364,1.65564167,1.09388825,0.75359372,0.56690510,0.01358138,0.00362959,0.40110646
-4.54127064,1.72074464,1.14092453,0.78363666,0.59259962,0.01420703,0.00376303,0.41077028
-4.53526763,1.78376453,1.18652238,0.81265280,0.61780053,0.01481670,0.00387689,0.41969791
-4.52926463,1.84360362,1.22995725,0.84009868,0.64213496,0.01540020,0.00396909,0.42774684
-4.52326163,1.89921332,1.27050950,0.86546874,0.66524582,0.01594789,0.00403806,0.43477112
-4.51725863,1.94963113,1.30748692,0.88831356,0.68680513,0.01645096,0.00408286,0.44062600
-4.51125563,1.99401688,1.34024777,0.90825694,0.70652710,0.01690184,0.00410320,0.44517335
-4.50525263,2.03168673,1.36822332,0.92501128,0.72418044,0.01729447,0.00409946,0.44828742
-4.49924962,2.06214308,1.39093891,0.93839038,0.73959915,0.01762457,0.00407277,0.44986093
-4.49324662,2.08509911,1.40803249,0.94831898,0.75269133,0.01788995,0.00402490,0.44981096
-4.48724362,2.10049621,1.41926973,0.95483859,0.76344537,0.01809058,0.00395828,0.44808442
-4.48124062,2.10851333,1.42455483,0.95810892,0.77193311,0.01822877,0.00387595,0.44466258
-4.47523762,2.10956720,1.42393634,0.95840480,0.77830958,0.01830912,0.00378143,0.43956460
-4.46923462,2.10430289,1.41760772,0.95610842,0.78280926,0.01833844,0.00367868,0.43284946
-4.46323162,2.09357480,1.40590229,0.95169689,0.78573868,0.01832555,0.00357196,0.42461639
-4.45722861,2.07841822,1.38928282,0.94572566,0.78746561,0.01828102,0.00346573,0.41500345
-4.45122561,2.06001249,1.36832606,0.93880800,0.78840516,0.01821679,0.00336455,0.40418444
-4.44522261,2.03963707,1.34370307,0.93159159,0.78900336,0.01814567,0.00327292,0.39236400
-4.43921961,2.01862208,1.31615599,0.92473289,0.78971873,0.01808091,0.00319524,0.37977135
-4.43321661,1.99829566,1.28647263,0.91887032,0.79100282,0.01803553,0.00313563,0.36665276
-4.42721361,1.97993008,1.25545986,0.91459757,0.79328048,0.01802187,0.00309793,0.35326312
-4.42121061,1.96468938,1.22391726,0.91243795,0.79693084,0.01805090,0.00308555,0.33985717
-4.41520760,1.95358078,1.19261223,0.91282113,0.80226988,0.01813179,0.00310149,0.32668062
-4.40920460,1.94741221,1.16225770,0.91606327,0.80953557,0.01827135,0.00314826,0.31396179
-4.40320160,1.94675818,1.13349354,0.92235155,0.81887627,0.01847367,0.00322788,0.30190403
-4.39719860,1.95193566,1.10687244,0.93173390,0.83034302,0.01873985,0.00334186,0.29067944
-4.39119560,1.96299121,1.08285083,0.94411456,0.84388641,0.01906780,0.00349126,0.28042405
-4.38519260,1.97970031,1.06178504,0.95925575,0.85935788,0.01945223,0.00367668,0.27123482
-4.37918959,2.00157898,1.04393274,0.97678561,0.87651595,0.01988474,0.00389832,0.26316844
-4.37318659,2.02790725,1.02945927,0.99621211,0.89503680,0.02035407,0.00415601,0.25624199
-4.36718359,2.05776364,1.01844820,1.01694251,0.91452891,0.02084650,0.00444926,0.25043549
-4.36118059,2.09006886,1.01091533,1.03830752,0.93455111,0.02134630,0.00477732,0.24569590
-4.35517759,2.12363694,1.00682501,1.05958920,0.95463311,0.02183636,0.00513917,0.24194257
-4.34917459,2.15723103,1.00610753,1.08005136,0.97429752,0.02229885,0.00553359,0.23907361
-4.34317159,2.18962145,1.00867647,1.09897110,0.99308227,0.02271589,0.00595915,0.23697288
-4.33716858,2.21964288,1.01444462,1.11567009,1.01056218,0.02307030,0.00641423,0.23551725
-4.33116558,2.24624798,1.02333739,1.12954399,1.02636870,0.02334630,0.00689694,0.23458352
