energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
1.15557779,0.60512788,0.10720139,0.00000000,0.25841040,0.12318472,0.00863909,0.46060962
1.16158079,0.54886697,0.09800571,0.00000000,0.23840777,0.11146550,0.00747353,0.40844655
1.16758379,0.50366652,0.09087674,0.00000000,0.22367100,0.10196587,0.00643320,0.36370317
1.17358679,0.46960834,0.08583578,0.00000000,0.21426914,0.09469858,0.00551347,0.32632281
1.17958979,0.44671552,0.08289600,0.00000000,0.21025575,0.08966389,0.00470862,0.29618991
1.18559280,0.43495647,0.08206264,0.00000000,0.21166754,0.08685041,0.00401207,0.27313946
1.19159580,0.43424685,0.08333273,0.00000000,0.21852164,0.08623563,0.00341660,0.25696554
1.19759880,0.44444891,0.08669440,0.00000000,0.23081137,0.08778584,0.00291466,0.24742873
1.20360180,0.46536812,0.09212566,0.00000000,0.24850059,0.09145556,0.00249853,0.24426195
1.20960480,0.49674742,0.09959274,0.00000000,0.27151695,0.09718642,0.00216057,0.24717475
1.21560780,0.53825944,0.10904819,0.00000000,0.29974419,0.10490560,0.00189341,0.25585609
1.22161081,0.58949757,0.12042884,0.00000000,0.33301415,0.11452402,0.00169006,0.26997599
1.22761381,0.64996679,0.13365383,0.00000000,0.37109901,0.12593441,0.00154408,0.28918630
1.23361681,0.71907566,0.14862297,0.00000000,0.41370446,0.13900946,0.00144968,0.31312133
1.23961981,0.79613046,0.16521580,0.00000000,0.46046451,0.15360047,0.00140179,0.34139876
1.24562281,0.88033307,0.18329136,0.00000000,0.51093869,0.16953656,0.00139614,0.37362149
1.25162581,0.97078352,0.20268920,0.00000000,0.56461229,0.18662470,0.00142935,0.40938111
1.25762881,1.06648842,0.22323152,0.00000000,0.62090014,0.20465094,0.00149891,0.44826323
1.26363182,1.16637573,0.24472689,0.00000000,0.67915437,0.22338276,0.00160332,0.48985524
1.26963482,1.26931640,0.26697518,0.00000000,0.73867632,0.24257278,0.00174205,0.53375650
1.27563782,1.37415254,0.28977405,0.00000000,0.79873246,0.26196371,0.00191564,0.57959090
1.28164082,1.47973161,0.31292653,0.00000000,0.85857400,0.28129454,0.00212572,0.62702155
1.28764382,1.58494545,0.33624950,0.00000000,0.91745965,0.30030775,0.00237504,0.67576691
