energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-1.94197099,2.11491658,0.67059476,0.38390982,0.04840883,0.22966153,0.47687707,0.68114562,0.74814445,0.00000000
-1.93596798,2.08926837,0.67549987,0.38013492,0.04731551,0.23316508,0.46502558,0.67225286,0.73615661,0.00000000
-1.92996498,2.06677945,0.68226610,0.37723498,0.04650402,0.23708979,0.45447487,0.66379669,0.72392079,0.00000000
-1.92396198,2.04761215,0.69087952,0.37521295,0.04600130,0.24136896,0.44537757,0.65586961,0.71147390,0.00000000
-1.91795898,2.03174174,0.70124685,0.37403178,0.04582357,0.24591759,0.43781858,0.64851808,0.69881633,0.00000000
-1.91195598,2.01896301,0.71319661,0.37361657,0.04597589,0.25063452,0.43181443,0.64174280,0.68591658,0.00000000
-1.90595298,2.00890348,0.72648314,0.37385794,0.04645197,0.25540535,0.42731514,0.63550064,0.67271721,0.00000000
-1.89994997,2.00104259,0.74079308,0.37461663,0.04723446,0.26010596,0.42420839,0.62970803,0.65914184,0.00000000
-1.89394697,1.99473621,0.75575455,0.37572922,0.04829555,0.26460650,0.42232584,0.62424578,0.64510269,0.00000000
-1.88794397,1.98924545,0.77094849,0.37701456,0.04959795,0.26877587,0.42145127,0.61896508,0.63050841,0.00000000
-1.88194097,1.98376883,0.78592200,0.37828086,0.05109619,0.27248644,0.42133016,0.61369455,0.61527172,0.00000000
-1.87593797,1.97747649,0.80020332,0.37933316,0.05273821,0.27561883,0.42168044,0.60824809,0.59931669,0.00000000
-1.86993497,1.96954542,0.81331778,0.37998085,0.05446713,0.27806668,0.42220387,0.60243328,0.58258518,0.00000000
-1.86393197,1.95919433,0.82480446,0.38004505,0.05622326,0.27974114,0.42259763,0.59606009,0.56504237,0.00000000
-1.85792896,1.94571692,0.83423270,0.37936559,0.05794618,0.28057503,0.42256581,0.58894948,0.54668108,0.00000000
-1.85192596,1.92851252,0.84121804,0.37780728,0.05957681,0.28052627,0.42183025,0.58094180,0.52752478,0.00000000
-1.84592296,1.90711270,0.84543690,0.37526538,0.06105948,0.27958069,0.42014040,0.57190444,0.50762927,0.00000000
-1.83991996,1.88120310,0.84663939,0.37166981,0.06234382,0.27775394,0.41728189,0.56173864,0.48708287,0.00000000
-1.83391696,1.85063948,0.84465963,0.36698830,0.06338652,0.27509232,0.41308351,0.55038500,0.46600540,0.00000000
-1.82791396,1.81545732,0.83942326,0.36122801,0.06415274,0.27167264,0.40742240,0.53782765,0.44454574,0.00000000
-1.82191096,1.77587465,0.83095160,0.35443576,0.06461725,0.26760086,0.40022732,0.52409661,0.42287835,0.00000000
-1.81590795,1.73228771,0.81936225,0.34669675,0.06476513,0.26300971,0.39147988,0.50926856,0.40119872,0.00000000
-1.80990495,1.68525972,0.80486603,0.33813183,0.06459217,0.25805504,0.38121381,0.49346557,0.37971806,0.00000000
-1.80390195,1.63550282,0.78776031,0.32889337,0.06410475,0.25291132,0.36951240,0.47685212,0.35865735,0.00000000
-1.79789895,1.58385408,0.76841886,0.31915997,0.06331934,0.24776614,0.35650414,0.45963028,0.33824106,0.00000000
-1.79189595,1.53124616,0.74727865,0.30913001,0.06226162,0.24281395,0.34235690,0.44203335,0.31869066,0.00000000
-1.78589295,1.47867387,0.72482404,0.29901447,0.06096528,0.23824931,0.32727095,0.42431812,0.30021818,0.00000000
-1.77988994,1.42715778,0.70156906,0.28902920,0.05947043,0.23425978,0.31147101,0.40675604,0.28302009,0.00000000
-1.77388694,1.37770638,0.67803842,0.27938689,0.05782187,0.23101876,0.29519778,0.38962378,0.26727163,0.00000000
-1.76788394,1.33127825,0.65474809,0.27028918,0.05606722,0.22867855,0.27869933,0.37319342,0.25312177,0.00000000
-1.76188094,1.28874573,0.63218627,0.26191907,0.05425489,0.22736381,0.26222251,0.35772271,0.24068907,0.00000000
-1.75587794,1.25086168,0.61079553,0.25443406,0.05243217,0.22716589,0.24600498,0.34344589,0.23005842,0.00000000
-1.74987494,1.21823054,0.59095694,0.24796026,0.05064339,0.22813813,0.23026789,0.33056539,0.22127891,0.00000000
-1.74387194,1.19128516,0.57297679,0.24258767,0.04892829,0.23029231,0.21520960,0.31924474,0.21436277,0.00000000
-1.73786893,1.17027014,0.55707652,0.23836689,0.04732058,0.23359669,0.20100065,0.30960305,0.20928557,0.00000000
-1.73186593,1.15523258,0.54338626,0.23530735,0.04584685,0.23797550,0.18777995,0.30171121,0.20598752,0.00000000
-1.72586293,1.14602063,0.53194222,0.23337720,0.04452586,0.24331016,0.17565247,0.29559005,0.20437599,0.00000000
-1.71985993,1.14228993,0.52268799,0.23250477,0.04336812,0.24944211,0.16468831,0.29121048,0.20432897,0.00000000
-1.71385693,1.14351758,0.51547973,0.23258164,0.04237587,0.25617728,0.15492308,0.28849547,0.20569959,0.00000000
-1.70785393,1.14902327,0.51009481,0.23346714,0.04154344,0.26329212,0.14635964,0.28732402,0.20832133,0.00000000
