energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-0.96948474,4.86947768,0.06168114,0.31108081,0.38625038,0.47783168,0.02333920,1.04155718,3.53440739,3.16719678
-0.96348174,4.65239093,0.05941423,0.28857224,0.36817565,0.45807994,0.02193436,0.99697671,3.37597900,3.03403462
-0.95747874,4.43466899,0.05697030,0.26693315,0.34989698,0.43857189,0.02055525,0.95297768,3.21363388,2.89980677
-0.95147574,4.21892454,0.05439056,0.24620721,0.33169044,0.41958453,0.01921414,0.91021806,3.04924699,2.76616638
-0.94547274,4.00764984,0.05171813,0.22643719,0.31382971,0.40136979,0.01792216,0.86929785,2.88470245,2.63469741
-0.93946973,3.80316271,0.04899688,0.20766453,0.29657933,0.38414865,0.01668909,0.83074488,2.72185319,2.50688229
-0.93346673,3.60755775,0.04627017,0.18992873,0.28018819,0.36810625,0.01552334,0.79500312,2.56248112,2.38407219
-0.92746373,3.42266463,0.04357970,0.17326659,0.26488341,0.35338841,0.01443175,0.76242406,2.40825930,2.26746104
-0.92146073,3.25001496,0.04096443,0.15771144,0.25086485,0.34009954,0.01341964,0.73326140,2.26071787,2.15806436
-0.91545773,3.09081926,0.03845955,0.14329253,0.23830043,0.32830206,0.01249072,0.70766916,2.12121505,2.05670365
-0.90945473,2.94595472,0.03609567,0.13003458,0.22732239,0.31801738,0.01164717,0.68570305,1.99091471,1.96399695
-0.90345173,2.81596428,0.03389816,0.11795774,0.21802469,0.30922836,0.01088969,0.66732523,1.87077135,1.88035599
-0.89744872,2.70106692,0.03188666,0.10707791,0.21046147,0.30188313,0.01021757,0.65241183,1.76152329,1.80598986
-0.89144572,2.60117864,0.03007482,0.09740750,0.20464687,0.29590012,0.00962889,0.64076310,1.66369433,1.74091503
-0.88544272,2.51594308,0.02847026,0.08895664,0.20055597,0.29117408,0.00912063,0.63211558,1.57760391,1.68497116
-0.87943972,2.44477055,0.02707474,0.08173491,0.19812690,0.28758278,0.00868886,0.62615571,1.50338521,1.63784199
-0.87343672,2.38688349,0.02588448,0.07575343,0.19726418,0.28499424,0.00832897,0.62253437,1.44101051,1.59908022
-0.86743372,2.34136671,0.02489070,0.07102727,0.19784299,0.28327402,0.00803584,0.62088177,1.39032257,1.56813543
-0.86143072,2.30722018,0.02408030,0.06757821,0.19971429,0.28229244,0.00780410,0.62082198,1.35107083,1.54438375
-0.85542771,2.28341226,0.02343664,0.06543747,0.20271075,0.28193132,0.00762828,0.62198677,1.32295049,1.52715806
-0.84942471,2.26893132,0.02294045,0.06464856,0.20665308,0.28209007,0.00750307,0.62402818,1.30564309,1.51577765
-0.84342171,2.26283389,0.02257071,0.06526990,0.21135676,0.28269083,0.00742349,0.62662943,1.29885642,1.50957610
-0.83741871,2.26428742,0.02230563,0.06737705,0.21663871,0.28368261,0.00738502,0.62951401,1.30236214,1.50792650
-0.83141571,2.27260627,0.02212355,0.07106452,0.22232394,0.28504409,0.00738380,0.63245262,1.31602907,1.51026324
-0.82541271,2.28727973,0.02200381,0.07644680,0.22825164,0.28678515,0.00741670,0.63526796,1.33985076,1.51609958
-0.81940970,2.30799102,0.02192749,0.08365863,0.23428079,0.28894702,0.00748142,0.63783740,1.37396550,1.52504074
-0.81340670,2.33462689,0.02187813,0.09285415,0.24029476,0.29160110,0.00757654,0.64009347,1.41866776,1.53679203
-0.80740370,2.36727731,0.02184215,0.10420506,0.24620502,0.29484636,0.00770153,0.64202246,1.47441004,1.55116213
-0.80140070,2.40622548,0.02180931,0.11789747,0.25195357,0.29880564,0.00785673,0.64366124,1.54179441,1.56806140
