energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-4.84742371,14.29515359,0.04414888,0.58158823,1.61502098,1.77617490,7.61294608,5.78968498,0.04448215,5.21696733
-4.84142071,13.90735801,0.04405551,0.56211993,1.57641699,1.71256232,7.32534994,5.66240301,0.04220447,5.06801738
-4.83541771,13.52855466,0.04402418,0.54232288,1.53889178,1.65103603,7.04077400,5.53960490,0.04003792,4.92138006
-4.82941471,13.16173433,0.04405149,0.52241577,1.50263825,1.59189432,6.76180648,5.42251072,0.03798520,4.77807969
-4.82341171,12.80929654,0.04413107,0.50261663,1.46777923,1.53533681,6.49077267,5.31211071,0.03604641,4.63891154
-4.81740870,12.47303059,0.04425367,0.48313926,1.43436659,1.48147050,6.22970175,5.20915269,0.03421954,4.50443712
-4.81140570,12.15411610,0.04440743,0.46418953,1.40238297,1.43031811,5.98030338,5.11413663,0.03250101,4.37498796
-4.80540270,11.85314219,0.04457821,0.44596169,1.37174648,1.38182847,5.74395415,5.02731601,0.03088608,4.25067773
-4.79939970,11.57014364,0.04475004,0.42863477,1.34231796,1.33588843,5.52169406,4.94870532,0.02936929,4.13142187
-4.79339670,11.30465163,0.04490559,0.41236906,1.31391058,1.29233574,5.31423241,4.87809273,0.02794484,4.01696412
-4.78739370,11.05575614,0.04502678,0.39730297,1.28630153,1.25097235,5.12196229,4.81505704,0.02660683,3.90690813
-4.78139070,10.82217667,0.04509535,0.38355013,1.25924501,1.21157759,4.94498260,4.75898790,0.02534952,3.80075288
-4.77538769,10.60233786,0.04509347,0.37119707,1.23248618,1.17392069,4.78312601,4.70910824,0.02416743,3.69793001
-4.76938469,10.39444665,0.04500434,0.36030144,1.20577521,1.13777206,4.63599154,4.66449829,0.02305546,3.59784112
-4.76338169,10.19656784,0.04481276,0.35089084,1.17888098,1.10291307,4.50298013,4.62412017,0.02200889,3.49989350
-4.75737869,10.00669548,0.04450562,0.34296246,1.15160364,1.06914380,4.38333171,4.58684306,0.02102340,3.40353245
-4.75137569,9.82281811,0.04407230,0.33648348,1.12378557,1.03628879,4.27616242,4.55146830,0.02009496,3.30826900
-4.74537269,9.64297636,0.04350505,0.33139216,1.09532031,1.00420054,4.18050066,4.51675461,0.01921983,3.21370200
-4.73936968,9.46531242,0.04279914,0.32759985,1.06615906,0.97276092,4.09532112,4.48144349,0.01839444,3.11953395
-4.73336668,9.28811109,0.04195303,0.32499365,1.03631452,0.94188068,4.01957581,4.44428492,0.01761535,3.02558026
-4.72736368,9.10983305,0.04096834,0.32343973,1.00586205,0.91149730,3.95222155,4.40406361,0.01687921,2.93177226
-4.72136068,8.92914107,0.03984977,0.32278728,0.97493812,0.88157159,3.89224348,4.35962589,0.01618270,2.83815423
-4.71535768,8.74492015,0.03860487,0.32287285,0.94373621,0.85208353,3.83867431,4.30990725,0.01552254,2.74487538
-4.70935468,8.55629283,0.03724381,0.32352497,0.91250040,0.82302774,3.79060916,4.25396027,0.01489554,2.65217770
-4.70335168,8.36263055,0.03577900,0.32456898,0.88151695,0.79440898,3.74721602,4.19098265,0.01429863,2.56038060
-4.69734867,8.16356185,0.03422472,0.32583174,0.85110425,0.76623829,3.70774188,4.12034442,0.01372895,2.46986377
-4.69134567,7.95897798,0.03259668,0.32714620,0.82160154,0.73852975,3.67151475,4.04161377,0.01318397,2.38104903
-4.68534267,7.74903603,0.03091160,0.32835560,0.79335686,0.71129846,3.63794183,3.95458017,0.01266157,2.29438233
-4.67933967,7.53415943,0.02918681,0.32931712,0.76671459,0.68455961,3.60650414,3.85927387,0.01216019,2.21031676
-4.67333667,7.31503552,0.02743979,0.32990502,0.74200315,0.65832869,3.57674824,3.75598039,0.01167895,2.12929707
-4.66733367,7.09260945,0.02568785,0.33001295,0.71952315,0.63262286,3.54827549,3.64524920,0.01121774,2.05174638
-4.66133067,6.86807391,0.02394774,0.32955561,0.69953645,0.60746319,3.52072965,3.52789530,0.01077732,1.97805530
