energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
0.03901951,9.23803337,0.01731910,0.40597487,2.15515639,3.35116094,0.62202149,2.24393527,0.42151115,3.69322916
0.04502251,9.47572947,0.01721446,0.42486652,2.21306321,3.44254450,0.63784992,2.30087239,0.42920638,3.76890191
0.05102551,9.68368210,0.01705292,0.44232900,2.26440517,3.52247171,0.65111852,2.35131381,0.43564575,3.83048091
0.05702851,9.85953731,0.01684520,0.45811900,2.30861038,3.58971840,0.66166036,2.39476108,0.44080595,3.87733841
0.06303152,10.00156545,0.01660298,0.47202119,2.34523555,3.64332054,0.66936242,2.43083935,0.44468443,3.90916496
0.06903452,10.10869209,0.01633852,0.48385352,2.37397492,3.68259426,0.67416631,2.45930434,0.44729885,3.92597113
0.07503752,10.18051196,0.01606417,0.49347157,2.39466544,3.70714875,0.67606758,2.48004638,0.44868610,3.92807977
0.08104052,10.21728564,0.01579200,0.50077189,2.40728834,3.71689136,0.67511335,2.49309122,0.44890099,3.91610905
0.08704352,10.21991917,0.01553333,0.50569401,2.41196697,3.71202501,0.67139884,2.49859786,0.44801456,3.89094721
0.09304652,10.18992747,0.01529835,0.50822117,2.40896106,3.69303785,0.66506264,2.49685307,0.44611214,3.85371999
0.09904952,10.12938294,0.01509582,0.50837979,2.39865767,3.66068564,0.65628116,2.48826315,0.44329117,3.80575217
0.10505253,10.04085099,0.01493275,0.50623761,2.38155917,3.61596736,0.64526242,2.47334277,0.43965881,3.74852485
0.11105553,9.92731478,0.01481423,0.50190067,2.35826869,3.56009480,0.63223949,2.45270144,0.43532943,3.68363001
0.11705853,9.79209147,0.01474327,0.49550933,2.32947355,3.49445716,0.61746374,2.42702793,0.43042201,3.61272426
0.12306153,9.63874272,0.01472077,0.48723340,2.29592703,3.42058160,0.60119817,2.39707286,0.42505745,3.53748319
0.12906453,9.47098190,0.01474557,0.47726668,2.25842918,3.34009101,0.58371100,2.36363024,0.41935591,3.45955813
0.13506753,9.29258052,0.01481454,0.46582115,2.21780699,3.25466010,0.56526967,2.32751802,0.41343416,3.38053624
0.14107054,9.10727641,0.01492276,0.45312096,2.17489445,3.16597109,0.54613531,2.28955845,0.40740299,3.30190525
0.14707354,8.91868553,0.01506374,0.43939650,2.13051285,3.07567019,0.52655784,2.25055842,0.40136475,3.22502333
0.15307654,8.73021947,0.01522976,0.42487874,2.08545186,2.98532591,0.50677172,2.21129044,0.39541105,3.15109462
0.15907954,8.54501013,0.01541210,0.40979400,2.04045150,2.89639044,0.48699231,2.17247440,0.38962062,3.08115044
0.16508254,8.36584287,0.01560144,0.39435923,1.99618559,2.81016494,0.46741295,2.13476074,0.38405750,3.01603604
0.17108554,8.19509931,0.01578815,0.37877797,1.95324681,2.72776972,0.44820261,2.09871521,0.37876942,2.95640259
0.17708854,8.03471049,0.01596263,0.36323699,1.91213379,2.65011992,0.42950429,2.06480560,0.37378666,2.90270376
0.18309155,7.88612123,0.01611564,0.34790362,1.87324046,2.57790753,0.41143391,2.03339071,0.36912123,2.85519652
0.18909455,7.75026611,0.01623851,0.33292385,1.83684801,2.51158993,0.39407989,2.00471195,0.36476652,2.81394533
0.19509755,7.62755763,0.01632344,0.31842097,1.80311963,2.45138550,0.37750331,1.97888769,0.36069743,2.77882940
0.20110055,7.51788673,0.01636364,0.30449498,1.77209837,2.39727627,0.36173860,1.95591064,0.35687112,2.74955240
0.20710355,7.42063593,0.01635350,0.29122242,1.74370824,2.34901753,0.34679484,1.93564854,0.35322815,2.72565435
0.21310655,7.33470512,0.01628866,0.27865681,1.71775866,2.30615421,0.33265762,1.91784808,0.34969433,2.70652555
0.21910955,7.25854967,0.01616609,0.26682943,1.69395230,2.26804340,0.31929135,1.90214240,0.34618294,2.69142228
