energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
3.43671836,3.23929637,0.12041832,0.00000000,0.34941412,0.00000000,0.86108894,3.06531003
3.44272136,3.09794019,0.11451683,0.00000000,0.32810339,0.00000000,0.82335810,2.93711517
3.44872436,2.96007903,0.10885262,0.00000000,0.30749438,0.00000000,0.78812865,2.81135690
3.45472736,2.82675361,0.10347320,0.00000000,0.28771839,0.00000000,0.75571549,2.68899785
3.46073037,2.69891341,0.09841826,0.00000000,0.26889157,0.00000000,0.72637253,2.57092722
3.46673337,2.57740985,0.09371931,0.00000000,0.25111462,0.00000000,0.70029185,2.45795389
3.47273637,2.46299020,0.08939950,0.00000000,0.23447259,0.00000000,0.67760435,2.35079996
3.47873937,2.35629213,0.08547366,0.00000000,0.21903466,0.00000000,0.65838162,2.25009474
3.48474237,2.25783873,0.08194860,0.00000000,0.20485396,0.00000000,0.64263881,2.15636909
3.49074537,2.16803425,0.07882355,0.00000000,0.19196746,0.00000000,0.63033827,2.07005026
3.49674837,2.08716051,0.07609073,0.00000000,0.18039582,0.00000000,0.62139370,1.99145737
3.50275138,2.01537423,0.07373619,0.00000000,0.17014330,0.00000000,0.61567470,1.92079778
3.50875438,1.95270552,0.07174054,0.00000000,0.16119781,0.00000000,0.61301139,1.85816453
3.51475738,1.89905789,0.07007993,0.00000000,0.15353111,0.00000000,0.61319919,1.80353535
3.52076038,1.85421009,0.06872692,0.00000000,0.14709918,0.00000000,0.61600354,1.75677342
3.52676338,1.81782018,0.06765146,0.00000000,0.14184292,0.00000000,0.62116464,1.71763034
3.53276638,1.78943216,0.06682174,0.00000000,0.13768913,0.00000000,0.62840223,1.68575151
3.53876938,1.76848546,0.06620507,0.00000000,0.13455188,0.00000000,0.63742045,1.66068433
3.54477239,1.75432751,0.06576868,0.00000000,0.13233425,0.00000000,0.64791297,1.64188925
3.55077539,1.74622944,0.06548046,0.00000000,0.13093051,0.00000000,0.65956844,1.62875383
3.55677839,1.74340491,0.06530967,0.00000000,0.13022859,0.00000000,0.67207628,1.62060963
3.56278139,1.74503183,0.06522752,0.00000000,0.13011293,0.00000000,0.68513303,1.61675180
3.56878439,1.75027645,0.06520778,0.00000000,0.13046759,0.00000000,0.69844911,1.61646085
3.57478739,1.75831941,0.06522729,0.00000000,0.13117946,0.00000000,0.71175606,1.61902616
3.58079040,1.76838270,0.06526644,0.00000000,0.13214160,0.00000000,0.72481396,1.62377032
3.58679340,1.77975681,0.06530959,0.00000000,0.13325637,0.00000000,0.73741903,1.63007353
3.59279640,1.79182676,0.06534545,0.00000000,0.13443842,0.00000000,0.74941090,1.63739712
3.59879940,1.80409603,0.06536736,0.00000000,0.13561732,0.00000000,0.76067937,1.64530496
3.60480240,1.81620694,0.06537349,0.00000000,0.13673960,0.00000000,0.77117016,1.65348177
3.61080540,1.82795656,0.06536699,0.00000000,0.13777027,0.00000000,0.78088924,1.66174736
3.61680840,1.83930694,0.06535590,0.00000000,0.13869355,0.00000000,0.78990541,1.67006572
3.62281141,1.85038871,0.06535298,0.00000000,0.13951286,0.00000000,0.79835066,1.67854826
3.62881441,1.86149762,0.06537539,0.00000000,0.14024994,0.00000000,0.80641803,1.68745065
3.63481741,1.87308351,0.06544409,0.00000000,0.14094325,0.00000000,0.81435684,1.69716295
3.64082041,1.88573175,0.06558315,0.00000000,0.14164547,0.00000000,0.82246518,1.70819304
3.64682341,1.90013757,0.06581880,0.00000000,0.14242041,0.00000000,0.83107965,1.72114376
3.65282641,1.91707401,0.06617840,0.00000000,0.14333935,0.00000000,0.84056276,1.73668432
3.65882941,1.93735452,0.06668917,0.00000000,0.14447687,0.00000000,0.85128817,1.75551709
3.66483242,1.96179179,0.06737696,0.00000000,0.14590652,0.00000000,0.86362442,1.77834098
3.67083542,1.99115431,0.06826484,0.00000000,0.14769642,0.00000000,0.87791768,1.80581291
3.67683842,2.02612258,0.06937183,0.00000000,0.14990502,0.00000000,0.89447440,1.83850899
3.68284142,2.06724700,0.07071165,0.00000000,0.15257714,0.00000000,0.91354441,1.87688721
3.68884442,2.11490925,0.07229168,0.00000000,0.15574063,0.00000000,0.93530543,1.92125335
3.69484742,2.16928902,0.07411204,0.00000000,0.15940371,0.00000000,0.95984975,1.97173161
3.70085043,2.23033787,0.07616503,0.00000000,0.16355308,0.00000000,0.98717361,2.02824169
3.70685343,2.29776141,0.07843483,0.00000000,0.16815301,0.00000000,1.01717001,2.09048320
3.71285643,2.37101085,0.08089755,0.00000000,0.17314546,0.00000000,1.04962532,2.15792860
3.71885943,2.44928466,0.08352159,0.00000000,0.17845105,0.00000000,1.08422000,2.22982503
3.72486243,2.53154034,0.08626836,0.00000000,0.18397115,0.00000000,1.12053339,2.30520519
3.73086543,2.61651610,0.08909332,0.00000000,0.18959069,0.00000000,1.15805272,2.38290715
3.73686843,2.70276184,0.09194722,0.00000000,0.19518184,0.00000000,1.19618579,2.46160238
3.74287144,2.78867811,0.09477758,0.00000000,0.20060823,0.00000000,1.23427706,2.53983096
3.74887444,2.87256190,0.09753035,0.00000000,0.20572956,0.00000000,1.27162651,2.61604280
