energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
2.90245123,1.39804943,-1.39829678,0.00913313,-0.00913464,0.08018165,-0.08027929,0.00605360,-0.00605333,0.00000000,-0.00000000,0.07403985,-0.07405375,0.02488046,-0.02490913,0.00717256,-0.00717169,0.26081462,-0.26091795
2.90845423,1.40102182,-1.40128307,0.00908392,-0.00908587,0.07692756,-0.07702329,0.00610270,-0.00610270,0.00000000,-0.00000000,0.07456546,-0.07457573,0.02394542,-0.02397388,0.00734084,-0.00733956,0.25813365,-0.25824341
2.91445723,1.40335219,-1.40361592,0.00898503,-0.00898740,0.07382814,-0.07392043,0.00613464,-0.00613488,0.00000000,-0.00000000,0.07531626,-0.07532185,0.02301836,-0.02304623,0.00753127,-0.00752945,0.25499224,-0.25510604
2.92046023,1.40575022,-1.40600431,0.00883935,-0.00884208,0.07095428,-0.07104173,0.00615134,-0.00615179,0.00000000,-0.00000000,0.07635452,-0.07635440,0.02211703,-0.02214396,0.00775318,-0.00775067,0.25151718,-0.25163259
2.92646323,1.40899407,-1.40922598,0.00865120,-0.00865423,0.06837182,-0.06845316,0.00615547,-0.00615609,0.00000000,-0.00000000,0.07774331,-0.07773651,0.02125799,-0.02128367,0.00801667,-0.00801333,0.24784692,-0.24796145
2.93246623,1.41390504,-1.41410217,0.00842625,-0.00842949,0.06614040,-0.06621456,0.00615034,-0.00615108,0.00000000,-0.00000000,0.07954473,-0.07953032,0.02045632,-0.02048049,0.00833247,-0.00832814,0.24412768,-0.24423890
2.93846923,1.42131894,-1.42146897,0.00817131,-0.00817468,0.06431260,-0.06437865,0.00613978,-0.00614057,0.00000000,-0.00000000,0.08181795,-0.08179510,0.01972531,-0.01974775,0.00871166,-0.00870619,0.24050919,-0.24061472
2.94447224,1.43205507,-1.43214633,0.00789415,-0.00789757,0.06293307,-0.06299027,0.00612798,-0.00612877,0.00000000,-0.00000000,0.08461709,-0.08458508,0.01907626,-0.01909679,0.00916540,-0.00915864,0.23714003,-0.23723766
2.95047524,1.44688415,-1.44690598,0.00760326,-0.00760662,0.06203787,-0.06208566,0.00611937,-0.00612010,0.00000000,-0.00000000,0.08798916,-0.08794741,0.01851824,-0.01853675,0.00970460,-0.00969642,0.23416286,-0.23425056
2.95647824,1.46649645,-1.46643958,0.00730758,-0.00731079,0.06165392,-0.06169192,0.00611842,-0.00611901,0.00000000,-0.00000000,0.09197191,-0.09192002,0.01805797,-0.01807439,0.01033959,-0.01032984,0.23170971,-0.23178572
2.96248124,1.49147160,-1.49132846,0.00701623,-0.00701918,0.06179853,-0.06182654,0.00612947,-0.00612987,0.00000000,-0.00000000,0.09659189,-0.09652961,0.01769971,-0.01771401,0.01107970,-0.01106827,0.22989741,-0.22996025
2.96848424,1.52225113,-1.52201618,0.00673822,-0.00674082,0.06247909,-0.06249709,0.00615658,-0.00615673,0.00000000,-0.00000000,0.10186256,-0.10178988,0.01744520,-0.01745740,0.01193292,-0.01191971,0.22882351,-0.22887205
2.97448724,1.55911528,-1.55878523,0.00648223,-0.00648440,0.06369282,-0.06370097,0.00620336,-0.00620321,0.00000000,-0.00000000,0.10778275,-0.10769986,0.01729366,-0.01730383,0.01290547,-0.01289042,0.22856270,-0.22859618
2.98049025,1.60216469,-1.60173873,0.00625633,-0.00625799,0.06542670,-0.06542530,0.00627282,-0.00627232,0.00000000,-0.00000000,0.11433542,-0.11424276,0.01724187,-0.01725011,0.01400147,-0.01398454,0.22916404,-0.22918209
2.98649325,1.65130807,-1.65078798,0.00606776,-0.00606885,0.06765746,-0.06764699,0.00636726,-0.00636639,0.00000000,-0.00000000,0.12148677,-0.12138501,0.01728423,-0.01729068,0.01522253,-0.01520373,0.23064895,-0.23065163
2.99249625,1.70625621,-1.70564640,0.00592274,-0.00592319,0.07035177,-0.07033285,0.00648819,-0.00648693,0.00000000,-0.00000000,0.12918580,-0.12907586,0.01741296,-0.01741777,0.01656750,-0.01654688,0.23301016,-0.23299792
2.99849925,1.76652250,-1.76583002,0.00582628,-0.00582607,0.07346657,-0.07343998,0.00663625,-0.00663458,0.00000000,-0.00000000,0.13736443,-0.13724747,0.01761827,-0.01762164,0.01803217,-0.01800981,0.23621159,-0.23618529
3.00450225,1.83143010,-1.83066451,0.00578210,-0.00578121,0.07694958,-0.07691622,0.00681114,-0.00680908,0.00000000,-0.00000000,0.14593799,-0.14581540,0.01788864,-0.01789078,0.01960909,-0.01958513,0.24018920,-0.24015008
3.01050525,1.90012523,-1.89929846,0.00579250,-0.00579092,0.08073998,-0.08070085,0.00701169,-0.00700925,0.00000000,-0.00000000,0.15480635,-0.15467974,0.01821110,-0.01821224,0.02128748,-0.02126211,0.24485269,-0.24480234
3.01650825,1.97159614,-1.97072223,0.00585833,-0.00585609,0.08476926,-0.08472550,0.00723579,-0.00723300,0.00000000,-0.00000000,0.16385548,-0.16372664,0.01857157,-0.01857195,0.02305319,-0.02302665,0.25008810,-0.25002840
3.02251126,2.04469694,-2.04379172,0.00597897,-0.00597609,0.08896236,-0.08891518,0.00748050,-0.00747741,0.00000000,-0.00000000,0.17295953,-0.17283039,0.01895520,-0.01895506,0.02488882,-0.02486138,0.25576103,-0.25569415
3.02851426,2.11817539,-2.11725616,0.00615234,-0.00614888,0.09323891,-0.09318960,0.00774210,-0.00773875,0.00000000,-0.00000000,0.18198330,-0.18185594,0.01934674,-0.01934632,0.02677386,-0.02674585,0.26172050,-0.26164878
3.03451726,2.19070368,-2.18978879,0.00637499,-0.00637100,0.09751471,-0.09746459,0.00801617,-0.00801263,0.00000000,-0.00000000,0.19078515,-0.19066171,0.01973091,-0.01973045,0.02868504,-0.02865682,0.26780321,-0.26772914
3.04052026,2.26091111,-2.26001951,0.00664214,-0.00663771,0.10170332,-0.10165375,0.00829772,-0.00829406,0.00000000,-0.00000000,0.19922013,-0.19910277,0.02009281,-0.02009254,0.03059670,-0.03056868,0.27383808,-0.27376423
3.04652326,2.32741762,-2.32656843,0.00694786,-0.00694308,0.10571787,-0.10567020,0.00858129,-0.00857759,0.00000000,-0.00000000,0.20714338,-0.20703426,0.02041822,-0.02041834,0.03248133,-0.03245391,0.27965092,-0.27957986
