energy_ev,total_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-4.60130065,0.87146890,0.41160849,0.07942629,0.02320318,0.50161254,0.06472230,0.00000000
-4.59529765,0.90333748,0.42457320,0.08249182,0.02578490,0.52374465,0.06200148,0.00000000
-4.58929465,0.93457203,0.43657391,0.08542941,0.02849468,0.54469301,0.05974415,0.00000000
-4.58329165,0.96499121,0.44752822,0.08822846,0.03129919,0.56438502,0.05793255,0.00000000
-4.57728864,0.99444543,0.45737898,0.09088289,0.03416162,0.58278033,0.05654283,0.00000000
-4.57128564,1.02281492,0.46609364,0.09339084,0.03704223,0.59986826,0.05554584,0.00000000
-4.56528264,1.05000630,0.47366246,0.09575405,0.03989905,0.61566395,0.05490797,0.00000000
-4.55927964,1.07594777,0.48009564,0.09797716,0.04268885,0.63020335,0.05459201,0.00000000
-4.55327664,1.10058334,0.48541967,0.10006684,0.04536828,0.64353745,0.05455792,0.00000000
-4.54727364,1.12386686,0.48967315,0.10203090,0.04789517,0.65572618,0.05476361,0.00000000
-4.54127064,1.14575597,0.49290236,0.10387732,0.05022987,0.66683223,0.05516575,0.00000000
-4.53526763,1.16620690,0.49515686,0.10561342,0.05233667,0.67691536,0.05572047,0.00000000
-4.52926463,1.18517024,0.49648546,0.10724514,0.05418513,0.68602746,0.05638414,0.00000000
-4.52326163,1.20258818,0.49693282,0.10877647,0.05575132,0.69420866,0.05711411,0.00000000
-4.51725863,1.21839342,0.49653685,0.11020905,0.05701886,0.70148475,0.05786944,0.00000000
-4.51125563,1.23250973,0.49532701,0.11154202,0.05797968,0.70786589,0.05861164,0.00000000
-4.50525263,1.24485418,0.49332366,0.11277210,0.05863458,0.71334683,0.05930536,0.00000000
-4.49924962,1.25534079,0.49053841,0.11389383,0.05899328,0.71790832,0.05991908,0.00000000
-4.49324662,1.26388520,0.48697535,0.11489999,0.05907427,0.72151964,0.06042567,0.00000000
-4.48724362,1.27040998,0.48263299,0.11578212,0.05890419,0.72414201,0.06080292,0.00000000
-4.48124062,1.27485013,0.47750687,0.11653121,0.05851690,0.72573246,0.06103395,0.00000000
-4.47523762,1.27715819,0.47159238,0.11713829,0.05795217,0.72624797,0.06110744,0.00000000
-4.46923462,1.27730863,0.46488774,0.11759506,0.05725420,0.72564943,0.06101775,0.00000000
-4.46323162,1.27530096,0.45739681,0.11789446,0.05646980,0.72390521,0.06076489,0.00000000
-4.45722861,1.27116149,0.44913162,0.11803107,0.05564653,0.72099396,0.06035425,0.00000000
-4.45122561,1.26494345,0.44011426,0.11800139,0.05483077,0.71690671,0.05979626,0.00000000
