energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
4.63731866,1.04335241,0.00042854,0.02851393,0.13636600,0.03616736,0.01901948,0.11581372,0.15848163,0.90479170
4.64332166,1.07894783,0.00047839,0.02850893,0.13881280,0.03596631,0.01888927,0.12046573,0.16913794,0.93665596
4.64932466,1.11842289,0.00054202,0.02860509,0.14164756,0.03600367,0.01891458,0.12569017,0.18064532,0.97154437
4.65532766,1.16171374,0.00062188,0.02880971,0.14484565,0.03628642,0.01912316,0.13145236,0.19303514,1.00939012
4.66133067,1.20872889,0.00072065,0.02912958,0.14838384,0.03682162,0.01954037,0.13772034,0.20633614,1.05009618
4.66733367,1.25935276,0.00084120,0.02957100,0.15224199,0.03761635,0.02018839,0.14446587,0.22057467,1.09353847
4.67333667,1.31344908,0.00098654,0.03013972,0.15640442,0.03867764,0.02108548,0.15166496,0.23577471,1.13956907
4.67933967,1.37086332,0.00115982,0.03084086,0.16086109,0.04001214,0.02224522,0.15929808,0.25195752,1.18801925
4.68534267,1.43142382,0.00136429,0.03167879,0.16560824,0.04162587,0.02367591,0.16734974,0.26914085,1.23870164
4.69134567,1.49494100,0.00160323,0.03265694,0.17064873,0.04352368,0.02537997,0.17580765,0.28733749,1.29141111
4.69734867,1.56120450,0.00187988,0.03377753,0.17599174,0.04570878,0.02735350,0.18466137,0.30655330,1.34592422
4.70335168,1.62997808,0.00219739,0.03504126,0.18165207,0.04818202,0.02958592,0.19390036,0.32678441,1.40199698
4.70935468,1.70099261,0.00255877,0.03644700,0.18764896,0.05094123,0.03205979,0.20351188,0.34801402,1.45936103
4.71535768,1.77393752,0.00296676,0.03799130,0.19400449,0.05398048,0.03475078,0.21347842,0.37020858,1.51771864
4.72136068,1.84845142,0.00342378,0.03966809,0.20074164,0.05728933,0.03762784,0.22377516,0.39331377,1.57673695
4.72736368,1.92411283,0.00393182,0.04146824,0.20788227,0.06085221,0.04065355,0.23436752,0.41725050,1.63604208
4.73336668,2.00043206,0.00449243,0.04337925,0.21544495,0.06464783,0.04378470,0.24520891,0.44191106,1.69521402
4.73936968,2.07684526,0.00510656,0.04538504,0.22344293,0.06864888,0.04697307,0.25623903,0.46715606,1.75378309
4.74537269,2.15271193,0.00577456,0.04746581,0.23188237,0.07282180,0.05016643,0.26738278,0.49281221,1.81122883
4.75137569,2.22731656,0.00649612,0.04959807,0.24076094,0.07712695,0.05330973,0.27855001,0.51867140,1.86698202
4.75737869,2.29987552,0.00727021,0.05175488,0.25006689,0.08151903,0.05634643,0.28963618,0.54449139,1.92043055
4.76338169,2.36954926,0.00809511,0.05390624,0.25977869,0.08594775,0.05921996,0.30052402,0.56999821,1.97092938
4.76938469,2.43546027,0.00896836,0.05601967,0.26986530,0.09035893,0.06187530,0.31108614,0.59489047,2.01781469
4.77538769,2.49671619,0.00988684,0.05806097,0.28028694,0.09469581,0.06426054,0.32118868,0.61884556,2.06042201
4.78139070,2.55243763,0.01084674,0.05999521,0.29099654,0.09890066,0.06632842,0.33069559,0.64152766,2.09810775
4.78739370,2.60178931,0.01184369,0.06178772,0.30194152,0.10291652,0.06803775,0.33947371,0.66259721,2.13027323
4.79339670,2.64401327,0.01287275,0.06340528,0.31306596,0.10668921,0.06935472,0.34739810,0.68172167,2.15639004
4.79939970,2.67846238,0.01392856,0.06481732,0.32431291,0.11016917,0.07025393,0.35435749,0.69858693,2.17602549
4.80540270,2.70463220,0.01500542,0.06599705,0.33562676,0.11331343,0.07071921,0.36025961,0.71290899,2.18886656
4.81140570,2.72218933,0.01609733,0.06692255,0.34695544,0.11608731,0.07074412,0.36503586,0.72444519,2.19474084
4.81740870,2.73099442,0.01719815,0.06757773,0.35825220,0.11846587,0.07033208,0.36864533,0.73300448,2.19363316
4.82341171,2.73111816,0.01830166,0.06795306,0.36947711,0.12043505,0.06949622,0.37107765,0.73845618,2.18569652
4.82941471,2.72284897,0.01940165,0.06804607,0.38059779,0.12199237,0.06825884,0.37235462,0.74073655,2.17125634
4.83541771,2.70669147,0.02049199,0.06786162,0.39158964,0.12314715,0.06665063,0.37253036,0.73985297,2.15080744
4.84142071,2.68335536,0.02156671,0.06741178,0.40243524,0.12392020,0.06470949,0.37169007,0.73588524,2.12500338
4.84742371,2.65373475,0.02261999,0.06671553,0.41312322,0.12434307,0.06247926,0.36994722,0.72898392,2.09463836
4.85342671,2.61887869,0.02364624,0.06579803,0.42364639,0.12445670,0.06000817,0.36743941,0.71936579,2.06062223
