energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
3.64082041,3.77152632,0.10855168,1.01177144,1.84790090,0.01217306,1.25749189,1.28473587,0.22122941,0.72138812
3.64682341,3.79545275,0.11083617,1.02479334,1.82559842,0.01227571,1.24048054,1.30121411,0.22184249,0.72718093
3.65282641,3.81815276,0.11324444,1.03556178,1.80482095,0.01239503,1.22666943,1.31645624,0.22243786,0.73283051
3.65882941,3.83970202,0.11576936,1.04396348,1.78616124,0.01253053,1.21606050,1.33043197,0.22302175,0.73833086
3.66483242,3.86022656,0.11840367,1.04994487,1.77013220,0.01268143,1.20863336,1.34314575,0.22360020,0.74368798
3.67083542,3.87990245,0.12114031,1.05351345,1.75716010,0.01284671,1.20435646,1.35463507,0.22417965,0.74891967
3.67683842,3.89895258,0.12397248,1.05473686,1.74758044,0.01302521,1.20319737,1.36496740,0.22476743,0.75405489
3.68284142,3.91764032,0.12689383,1.05373953,1.74163624,0.01321558,1.20513157,1.37423581,0.22537223,0.75913237
3.68884442,3.93626014,0.12989842,1.05069724,1.73947834,0.01341640,1.21014899,1.38255332,0.22600437,0.76419865
3.69484742,3.95512554,0.13298064,1.04582988,1.74116717,0.01362615,1.21825804,1.39004661,0.22667597,0.76930569
3.70085043,3.97455481,0.13613497,1.03939267,1.74667584,0.01384330,1.22948673,1.39684896,0.22740082,0.77450803
3.70685343,3.99485536,0.13935571,1.03166650,1.75589402,0.01406628,1.24388085,1.40309336,0.22819409,0.77985976
3.71285643,4.01630751,0.14263654,1.02294766,1.76863254,0.01429350,1.26149931,1.40890569,0.22907176,0.78541153
3.71885943,4.03914867,0.14597009,1.01353759,1.78462841,0.01452336,1.28240695,1.41439878,0.23004988,0.79120753
3.72486243,4.06355886,0.14934750,1.00373303,1.80355031,0.01475426,1.30666513,1.41966740,0.23114366,0.79728296
3.73086543,4.08964834,0.15275798,0.99381691,1.82500443,0.01498455,1.33432073,1.42478465,0.23236647,0.80366178
