energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
3.35267634,1.61474611,0.63838048,0.11965817,0.01301716,0.27565494,0.13324073,0.13585558,0.70854838,0.77931706
3.35867934,1.61471536,0.64137013,0.12122026,0.01344472,0.27520913,0.12786928,0.13796673,0.70025838,0.77364842
3.36468234,1.61774085,0.64344641,0.12303558,0.01411289,0.27449474,0.12275777,0.14055397,0.69246052,0.76963667
3.37068534,1.62373543,0.64472673,0.12510745,0.01502468,0.27346596,0.11795753,0.14360210,0.68523999,0.76704576
3.37668834,1.63262055,0.64536891,0.12743821,0.01617973,0.27209125,0.11351679,0.14709658,0.67869078,0.76565075
3.38269135,1.64431833,0.64556445,0.13002801,0.01757389,0.27035340,0.10948008,0.15102303,0.67291101,0.76523909
3.38869435,1.65874234,0.64553013,0.13287348,0.01919897,0.26824916,0.10588748,0.15536684,0.66799720,0.76561157
3.39469735,1.67578792,0.64549836,0.13596626,0.02104255,0.26578835,0.10277392,0.16011284,0.66403794,0.76658330
3.40070035,1.69532310,0.64570690,0.13929179,0.02308785,0.26299279,0.10016847,0.16524522,0.66110734,0.76798494
3.40670335,1.71718097,0.64638837,0.14282815,0.02531382,0.25989484,0.09809367,0.17074765,0.65925873,0.76966429
3.41270635,1.74115431,0.64776033,0.14654530,0.02769528,0.25653596,0.09656502,0.17660372,0.65851917,0.77148840
3.41870935,1.76699329,0.65001642,0.15040469,0.03020330,0.25296513,0.09559067,0.18279755,0.65888520,0.77334614
3.42471236,1.79440655,0.65331889,0.15435930,0.03280572,0.24923738,0.09517123,0.18931478,0.66032008,0.77515126
3.43071536,1.82306600,0.65779320,0.15835430,0.03546783,0.24541240,0.09529992,0.19614367,0.66275297,0.77684556
3.43671836,1.85261511,0.66352463,0.16232811,0.03815326,0.24155328,0.09596288,0.20327631,0.66608009,0.77840215
3.44272136,1.88268038,0.67055715,0.16621406,0.04082499,0.23772535,0.09713981,0.21070985,0.67016784,0.77982827
3.44872436,1.91288539,0.67889448,0.16994242,0.04344643,0.23399525,0.09880473,0.21844765,0.67485792,0.78116750
3.45472736,1.94286637,0.68850306,0.17344280,0.04598266,0.23043000,0.10092697,0.22650010,0.67997391,0.78250089
3.46073037,1.97228838,0.69931665,0.17664678,0.04840158,0.22709617,0.10347232,0.23488512,0.68532920,0.78394670
3.46673337,2.00086080,0.71124209,0.17949058,0.05067509,0.22405912,0.10640414,0.24362813,0.69073559,0.78565849
3.47273637,2.02835096,0.72416577,0.18191770,0.05278014,0.22138209,0.10968451,0.25276141,0.69601208,0.78782135
3.47873937,2.05459486,0.73796007,0.18388127,0.05469963,0.21912535,0.11327531,0.26232281,0.70099331,0.79064614
3.48474237,2.07950377,0.75248956,0.18534607,0.05642310,0.21734514,0.11713904,0.27235366,0.70553706,0.79436181
3.49074537,2.10306621,0.76761612,0.18629000,0.05794706,0.21609251,0.12123957,0.28289613,0.70953027,0.79920586
3.49674837,2.12534466,0.78320292,0.18670497,0.05927517,0.21541208,0.12554244,0.29398978,0.71289324,0.80541324
3.50275138,2.14646695,0.79911672,0.18659706,0.06041794,0.21534059,0.13001502,0.30566770,0.71558169,0.81320415
3.50875438,2.16661254,0.81522852,0.18598607,0.06139219,0.21590544,0.13462628,0.31795224,0.71758645,0.82277108
3.51475738,2.18599428,0.83141256,0.18490432,0.06222017,0.21712313,0.13934626,0.33085051,0.71893096,0.83426574
3.52076038,2.20483657,0.84754378,0.18339484,0.06292836,0.21899780,0.14414537,0.34435003,0.71966644,0.84778657
3.52676338,2.22335116,0.86349408,0.18150909,0.06354607,0.22151981,0.14899340,0.35841460,0.71986538,0.86336728
3.53276638,2.24171200,0.87912780,0.17930423,0.06410385,0.22466454,0.15385849,0.37298079,0.71961345,0.88096722
3.53876938,2.26003059,0.89429698,0.17684018,0.06463183,0.22839144,0.15870606,0.38795522,0.71900052,0.90046416
3.54477239,2.27833364,0.90883676,0.17417659,0.06515799,0.23264349,0.16349776,0.40321293,0.71811134,0.92164988
3.55077539,2.29654426,0.92256177,0.17136996,0.06570657,0.23734699,0.16819068,0.41859696,0.71701647,0.94422900
3.55677839,2.31446838,0.93526369,0.16847097,0.06629664,0.24241195,0.17273675,0.43391937,0.71576405,0.96782140
3.56278139,2.33178712,0.94671060,0.16552224,0.06694083,0.24773295,0.17708250,0.44896372,0.71437296,0.99196825
3.56878439,2.34805620,0.95664847,0.16255659,0.06764452,0.25319063,0.18116926,0.46348905,0.71282781,1.01614159
3.57478739,2.36271262,0.96480470,0.15959594,0.06840521,0.25865368,0.18493374,0.47723528,0.71107616,1.03975732
3.58079040,2.37508855,0.97089408,0.15665085,0.06921244,0.26398146,0.18830912,0.48992988,0.70902809,1.06219105
3.58679340,2.38443214,0.97462664,0.15372074,0.07004801,0.26902705,0.19122650,0.50129568,0.70655824,1.08279648
3.59279640,2.38993424,0.97571736,0.15079472,0.07088664,0.27364077,0.19361682,0.51105930,0.70351021,1.10092540
3.59879940,2.39075987,0.97389718,0.14785297,0.07169700,0.27767403,0.19541300,0.51896023,0.69970311,1.11594869
