energy_ev,total_up,Bi_p_up,Bi_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-4.87143572,0.91141470,0.04640751,0.00814751,0.12787627,0.58593642,0.28399268,0.00000000
-4.86543272,0.93397922,0.04891747,0.00831116,0.12736833,0.59811012,0.28971493,0.00000000
-4.85942971,0.96161038,0.05175104,0.00851440,0.12763918,0.61280419,0.29749779,0.00000000
-4.85342671,0.99406582,0.05487738,0.00875208,0.12873549,0.62974511,0.30739964,0.00000000
-4.84742371,1.03095521,0.05825845,0.00901803,0.13067912,0.64858170,0.31941872,0.00000000
-4.84142071,1.07174747,0.06184971,0.00930531,0.13346613,0.66889483,0.33349038,0.00000000
-4.83541771,1.11578196,0.06560093,0.00960632,0.13706652,0.69020944,0.34948622,0.00000000
-4.82941471,1.16228347,0.06945714,0.00991306,0.14142477,0.71200808,0.36721503,0.00000000
-4.82341171,1.21038033,0.07335959,0.01021736,0.14646104,0.73374573,0.38642562,0.00000000
-4.81740870,1.25912535,0.07724687,0.01051107,0.15207314,0.75486523,0.40681153,0.00000000
-4.81140570,1.30751881,0.08105597,0.01078627,0.15813910,0.77481285,0.42801745,0.00000000
-4.80540270,1.35453313,0.08472357,0.01103548,0.16452044,0.79305347,0.44964741,0.00000000
-4.79939970,1.39913838,0.08818717,0.01125184,0.17106587,0.80908501,0.47127433,0.00000000
-4.79339670,1.44032820,0.09138639,0.01142925,0.17761548,0.82245155,0.49245092,0.00000000
-4.78739370,1.47714525,0.09426418,0.01156251,0.18400530,0.83275499,0.51272143,0.00000000
-4.78139070,1.50870587,0.09676811,0.01164741,0.19007207,0.83966487,0.53163419,0.00000000
-4.77538769,1.53422304,0.09885151,0.01168081,0.19565809,0.84292617,0.54875427,0.00000000
-4.76938469,1.55302729,0.10047471,0.01166070,0.20061615,0.84236501,0.56367614,0.00000000
-4.76338169,1.56458485,0.10160605,0.01158619,0.20481422,0.83789230,0.57603567,0.00000000
-4.75737869,1.56851271,0.10222287,0.01145752,0.20813981,0.82950514,0.58552131,0.00000000
-4.75137569,1.56459001,0.10231235,0.01127602,0.21050404,0.81728625,0.59188376,0.00000000
-4.74537269,1.55276549,0.10187220,0.01104408,0.21184497,0.80140146,0.59494403,0.00000000
-4.73936968,1.53316085,0.10091110,0.01076505,0.21213033,0.78209547,0.59459936,0.00000000
-4.73336668,1.50606965,0.09944904,0.01044318,0.21135946,0.75968593,0.59082690,0.00000000
-4.72736368,1.47195194,0.09751734,0.01008351,0.20956434,0.73455631,0.58368491,0.00000000
-4.72136068,1.43142460,0.09515849,0.00969173,0.20680976,0.70714737,0.57331139,0.00000000
-4.71535768,1.38524770,0.09242574,0.00927411,0.20319246,0.67794792,0.55992027,0.00000000
-4.70935468,1.33430714,0.08938249,0.00883734,0.19883949,0.64748467,0.54379511,0.00000000
-4.70335168,1.27959416,0.08610141,0.00838840,0.19390554,0.61631162,0.52528074,0.00000000
-4.69734867,1.22218218,0.08266340,0.00793443,0.18856956,0.58499913,0.50477300,0.00000000
-4.69134567,1.16320170,0.07915644,0.00748260,0.18303065,0.55412293,0.48270696,0.00000000
-4.68534267,1.10381399,0.07567419,0.00703996,0.17750338,0.52425309,0.45954414,0.00000000
-4.67933967,1.04518420,0.07231458,0.00661332,0.17221265,0.49594340,0.43575915,0.00000000
-4.67333667,0.98845480,0.06917831,0.00620913,0.16738822,0.46972111,0.41182616,0.00000000
-4.66733367,0.93471999,0.06636730,0.00583334,0.16325922,0.44607729,0.38820573,0.00000000
-4.66133067,0.88500170,0.06398316,0.00549133,0.16004850,0.42545798,0.36533246,0.00000000
-4.65532766,0.84022791,0.06212567,0.00518775,0.15796727,0.40825629,0.34360377,0.00000000
-4.64932466,0.80121374,0.06089131,0.00492650,0.15721000,0.39480547,0.32337014,0.00000000
-4.64332166,0.76864568,0.06037179,0.00471061,0.15794966,0.38537323,0.30492714,0.00000000
-4.63731866,0.74306942,0.06065279,0.00454222,0.16033359,0.38015732,0.28850937,0.00000000
-4.63131566,0.72488128,0.06181256,0.00442249,0.16447993,0.37928249,0.27428646,0.00000000
-4.62531266,0.71432346,0.06392076,0.00435165,0.17047470,0.38279888,0.26236105,0.00000000
-4.61930965,0.71148308,0.06703732,0.00432893,0.17836967,0.39068195,0.25276894,0.00000000
