energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
3.20260130,1.16263283,0.33989692,0.00000000,1.09874444,0.13315439,0.47822779,0.00000000
3.20860430,1.18260240,0.34095457,0.00000000,1.11917151,0.13376143,0.48584624,0.00000000
3.21460730,1.20231490,0.34110654,0.00000000,1.13794099,0.13423380,0.49418952,0.00000000
3.22061031,1.22170251,0.34040803,0.00000000,1.15487961,0.13459129,0.50322309,0.00000000
3.22661331,1.24070495,0.33892876,0.00000000,1.16985499,0.13485824,0.51290003,0.00000000
3.23261631,1.25926373,0.33674925,0.00000000,1.18277406,0.13506207,0.52315840,0.00000000
3.23861931,1.27731629,0.33395711,0.00000000,1.19358038,0.13523172,0.53391909,0.00000000
3.24462231,1.29479047,0.33064326,0.00000000,1.20225063,0.13539601,0.54508414,0.00000000
3.25062531,1.31159972,0.32689838,0.00000000,1.20879054,0.13558204,0.55653592,0.00000000
3.25662831,1.32763943,0.32280975,0.00000000,1.21323038,0.13581369,0.56813716,0.00000000
3.26263132,1.34278463,0.31845865,0.00000000,1.21562044,0.13611025,0.57973202,0.00000000
3.26863432,1.35688922,0.31391830,0.00000000,1.21602655,0.13648540,0.59114821,0.00000000
3.27463732,1.36978700,0.30925259,0.00000000,1.21452588,0.13694635,0.60220008,0.00000000
3.28064032,1.38129433,0.30451541,0.00000000,1.21120330,0.13749342,0.61269278,0.00000000
3.28664332,1.39121444,0.29975083,0.00000000,1.20614818,0.13811994,0.62242719,0.00000000
3.29264632,1.39934325,0.29499374,0.00000000,1.19945199,0.13881248,0.63120558,0.00000000
3.29864932,1.40547642,0.29027120,0.00000000,1.19120655,0.13955144,0.63883772,0.00000000
3.30465233,1.40941732,0.28560420,0.00000000,1.18150316,0.14031196,0.64514728,0.00000000
3.31065533,1.41098564,0.28100972,0.00000000,1.17043236,0.14106504,0.64997810,0.00000000
3.31665833,1.41002627,0.27650308,0.00000000,1.15808457,0.14177896,0.65320027,0.00000000
3.32266133,1.40641797,0.27210030,0.00000000,1.14455131,0.14242078,0.65471558,0.00000000
3.32866433,1.40008162,0.26782048,0.00000000,1.12992706,0.14295791,0.65446220,0.00000000
3.33466733,1.39098751,0.26368796,0.00000000,1.11431154,0.14335975,0.65241832,0.00000000
3.34067034,1.37916152,0.25973420,0.00000000,1.09781240,0.14359921,0.64860456,0.00000000
3.34667334,1.36468965,0.25599941,0.00000000,1.08054788,0.14365410,0.64308509,0.00000000
