energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-4.41520760,0.39867383,0.16271944,0.06415741,0.00622124,0.05464870,0.13812064,0.00000000
-4.40920460,0.46203460,0.18825324,0.07445834,0.00747821,0.06410588,0.15852304,0.00000000
-4.40320160,0.53217970,0.21641953,0.08588530,0.00893511,0.07469319,0.18084798,0.00000000
-4.39719860,0.60920884,0.24722054,0.09845997,0.01061220,0.08643830,0.20508733,0.00000000
-4.39119560,0.69310692,0.28060707,0.11218596,0.01252955,0.09934833,0.23119946,0.00000000
-4.38519260,0.78372860,0.31647245,0.12704619,0.01470659,0.11340629,0.25910628,0.00000000
-4.37918959,0.88078502,0.35464772,0.14300069,0.01716153,0.12856800,0.28869121,0.00000000
-4.37318659,0.98383353,0.39489842,0.15998479,0.01991081,0.14475955,0.31979779,0.00000000
-4.36718359,1.09227123,0.43692317,0.17790802,0.02296843,0.16187554,0.35222953,0.00000000
-4.36118059,1.20533275,0.48035439,0.19665352,0.02634528,0.17977823,0.38575059,0.00000000
-4.35517759,1.32209303,0.52476135,0.21607839,0.03004847,0.19829780,0.42008771,0.00000000
-4.34917459,1.44147524,0.56965561,0.23601477,0.03408067,0.21723380,0.45493323,0.00000000
-4.34317159,1.56226412,0.61449878,0.25627175,0.03843943,0.23635780,0.48994912,0.00000000
-4.33716858,1.68312467,0.65871268,0.27663824,0.04311657,0.25541741,0.52477219,0.00000000
-4.33116558,1.80262582,0.70169145,0.29688651,0.04809766,0.27414137,0.55902003,0.00000000
-4.32516258,1.91926860,0.74281540,0.31677656,0.05336158,0.29224580,0.59229788,0.00000000
