energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.57928964,1.54862361,-1.54862480,0.50847380,-0.50847122,0.06895149,-0.06895129,0.00197232,-0.00197228,0.32801701,-0.32801430,0.20535094,-0.20535284,0.33025083,-0.33025190,0.04750802,-0.04750760,0.58502546,-0.58503128
0.58529265,1.55354087,-1.55354071,0.52065129,-0.52064850,0.07001711,-0.07001682,0.00209477,-0.00209473,0.33619873,-0.33619591,0.19989629,-0.19989784,0.33121684,-0.33121759,0.04946637,-0.04946594,0.56573807,-0.56574327
0.59129565,1.56234499,-1.56234337,0.53305108,-0.53304807,0.07145850,-0.07145811,0.00225072,-0.00225067,0.34413581,-0.34413289,0.19552215,-0.19552335,0.33334519,-0.33334561,0.05158965,-0.05158918,0.54766115,-0.54766568
0.59729865,1.57528656,-1.57528342,0.54570959,-0.54570635,0.07327299,-0.07327250,0.00244387,-0.00244381,0.35184573,-0.35184270,0.19226715,-0.19226798,0.33669492,-0.33669498,0.05388861,-0.05388811,0.53095292,-0.53095676
0.60330165,1.59255177,-1.59254708,0.55865589,-0.55865242,0.07545179,-0.07545120,0.00267835,-0.00267828,0.35935789,-0.35935476,0.19015069,-0.19015115,0.34129987,-0.34129956,0.05637188,-0.05637134,0.51575267,-0.51575581
0.60930465,1.61425607,-1.61424983,0.57190725,-0.57190355,0.07797997,-0.07797929,0.00295859,-0.00295850,0.36671019,-0.36670696,0.18917418,-0.18917428,0.34716790,-0.34716723,0.05904496,-0.05904438,0.50218229,-0.50218470
0.61530765,1.64043941,-1.64043166,0.58546532,-0.58546141,0.08083658,-0.08083582,0.00328918,-0.00328909,0.37394531,-0.37394198,0.18932249,-0.18932223,0.35428074,-0.35427971,0.06190934,-0.06190871,0.49034757,-0.49034926
0.62131066,1.67106330,-1.67105408,0.59931308,-0.59930897,0.08399487,-0.08399404,0.00367478,-0.00367467,0.38110715,-0.38110374,0.19056549,-0.19056489,0.36259466,-0.36259328,0.06496170,-0.06496104,0.48033955,-0.48034053
0.62731366,1.70601011,-1.70599951,0.61341278,-0.61340851,0.08742271,-0.08742180,0.00411991,-0.00411978,0.38823757,-0.38823408,0.19285981,-0.19285888,0.37204193,-0.37204023,0.06819332,-0.06819261,0.47223546,-0.47223575
0.63331666,1.74508473,-1.74507285,0.62770516,-0.62770076,0.09108308,-0.09108211,0.00462876,-0.00462862,0.39537360,-0.39537005,0.19615052,-0.19614930,0.38253301,-0.38253102,0.07158958,-0.07158883,0.46609956,-0.46609918
0.63931966,1.78801872,-1.78800568,0.64210977,-0.64210528,0.09493477,-0.09493376,0.00520505,-0.00520489,0.40254535,-0.40254175,0.20037294,-0.20037145,0.39395943,-0.39395717,0.07512982,-0.07512904,0.46198365,-0.46198263
0.64532266,1.83447675,-1.83446270,0.65652663,-0.65652209,0.09893316,-0.09893211,0.00585182,-0.00585165,0.40977460,-0.40977097,0.20545429,-0.20545255,0.40619718,-0.40619468,0.07878733,-0.07878651,0.45992741,-0.45992578
0.65132566,1.88406525,-1.88405033,0.67083897,-0.67083442,0.10303112,-0.10303006,0.00657124,-0.00657104,0.41707416,-0.41707052,0.21131535,-0.21131338,0.41911057,-0.41910788,0.08252960,-0.08252876,0.45995847,-0.45995624
0.65732866,1.93634262,-1.93632699,0.68491686,-0.68491237,0.10717998,-0.10717890,0.00736443,-0.00736422,0.42444795,-0.42444432,0.21787196,-0.21786981,0.43255632,-0.43255348,0.08631886,-0.08631800,0.46209218,-0.46208940
0.66333167,1.99083073,-1.99081454,0.69862161,-0.69861720,0.11133052,-0.11132944,0.00823134,-0.00823111,0.43189170,-0.43188810,0.22503648,-0.22503417,0.44638772,-0.44638476,0.09011275,-0.09011189,0.46633127,-0.46632796
0.66933467,2.04702693,-2.04701034,0.71181041,-0.71180615,0.11543399,-0.11543292,0.00917058,-0.00917033,0.43939411,-0.43939055,0.23271901,-0.23271655,0.46045859,-0.46045554,0.09386528,-0.09386442,0.47266518,-0.47266138
0.67533767,2.10441598,-2.10439914,0.72434119,-0.72433712,0.11944310,-0.11944207,0.01017937,-0.01017910,0.44693830,-0.44693480,0.24082847,-0.24082591,0.47462695,-0.47462386,0.09752780,-0.09752695,0.48106913,-0.48106486
0.68134067,2.16248125,-2.16246430,0.73607710,-0.73607325,0.12331295,-0.12331196,0.01125342,-0.01125314,0.45450345,-0.45450003,0.24927363,-0.24927099,0.48875818,-0.48875507,0.10105027,-0.10104945,0.49150301,-0.49149830
0.68734367,2.22071462,-2.22069771,0.74689052,-0.74688692,0.12700180,-0.12700085,0.01238696,-0.01238666,0.46206635,-0.46206302,0.25796380,-0.25796109,0.50272751,-0.50272442,0.10438246,-0.10438168,0.50390997,-0.50390485
0.69334667,2.27862455,-2.27860780,0.75666629,-0.75666299,0.13047177,-0.13047088,0.01357271,-0.01357240,0.46960269,-0.46959946,0.26680948,-0.26680674,0.51642175,-0.51641871,0.10747523,-0.10747450,0.51821486,-0.51820935
0.69934967,2.33574203,-2.33572555,0.76530406,-0.76530107,0.13368940,-0.13368857,0.01480196,-0.01480164,0.47708807,-0.47708494,0.27572284,-0.27572009,0.52974021,-0.52973723,0.11028183,-0.11028116,0.53432250,-0.53431665
0.70535268,2.39162418,-2.39160808,0.77271950,-0.77271684,0.13662598,-0.13662521,0.01606468,-0.01606435,0.48449847,-0.48449546,0.28461804,-0.28461531,0.54259479,-0.54259191,0.11275908,-0.11275847,0.55211595,-0.55210978
0.71135568,2.44585561,-2.44583999,0.77884458,-0.77884227,0.13925778,-0.13925708,0.01734961,-0.01734928,0.49181038,-0.49180748,0.29341149,-0.29340879,0.55490937,-0.55490659,0.11486847,-0.11486794,0.57145473,-0.57144830
0.71735868,2.49804760,-2.49803257,0.78362690,-0.78362496,0.14156609,-0.14156547,0.01864444,-0.01864411,0.49900030,-0.49899751,0.30202195,-0.30201930,0.56661840,-0.56661575,0.11657722,-0.11657677,0.59217339,-0.59216672
0.72336168,2.54783560,-2.54782122,0.78702817,-0.78702659,0.14353710,-0.14353656,0.01993603,-0.01993570,0.50604397,-0.50604130,0.31037068,-0.31036810,0.57766513,-0.57766262,0.11785902,-0.11785866,0.61408030,-0.61407344
0.72936468,2.59487534,-2.59486171,0.78902207,-0.78902086,0.14516166,-0.14516120,0.02121058,-0.02121025,0.51291526,-0.51291271,0.31838153,-0.31837905,0.58799936,-0.58799701,0.11869477,-0.11869451,0.63695709,-0.63695011
0.73536768,2.63883849,-2.63882569,0.78959184,-0.78959101,0.14643496,-0.14643457,0.02245389,-0.02245357,0.51958491,-0.51958248,0.32598105,-0.32597868,0.59757515,-0.59757298,0.11907298,-0.11907282,0.66055878,-0.66055173
0.74137069,2.67940813,-2.67939624,0.78872768,-0.78872723,0.14735604,-0.14735574,0.02365162,-0.02365131,0.52601933,-0.52601702,0.33309866,-0.33309642,0.60634850,-0.60634652,0.11899007,-0.11899000,0.68461476,-0.68460772
0.74737369,2.71627499,-2.71626410,0.78642438,-0.78642431,0.14792737,-0.14792715,0.02478949,-0.02478919,0.53217959,-0.53217742,0.33966694,-0.33966484,0.61427539,-0.61427362,0.11845039,-0.11845042,0.70883085,-0.70882389
