energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-2.08604302,2.00755472,0.00000528,0.06980433,0.00136690,0.47298732,0.12610348,0.05690605,0.26559497,1.39397574
-2.08004002,2.01242977,0.00000569,0.06918659,0.00148724,0.43416639,0.12133968,0.05667659,0.25786580,1.42935762
-2.07403702,2.02587944,0.00000616,0.06879216,0.00160878,0.39725243,0.11703095,0.05672186,0.25114260,1.47088135
-2.06803402,2.04761200,0.00000669,0.06862373,0.00173023,0.36248898,0.11320239,0.05702805,0.24544170,1.51811438
-2.06203102,2.07706877,0.00000726,0.06867542,0.00185022,0.33006903,0.10986119,0.05757435,0.24074894,1.57042569
-2.05602801,2.11343710,0.00000788,0.06893286,0.00196738,0.30013237,0.10699718,0.05833322,0.23702085,1.62699906
-2.05002501,2.15567141,0.00000854,0.06937359,0.00208031,0.27276501,0.10458404,0.05927108,0.23418667,1.68685192
-2.04402201,2.20252171,0.00000922,0.06996769,0.00218761,0.24800051,0.10258108,0.06034905,0.23215134,1.74885911
-2.03801901,2.25256837,0.00000992,0.07067884,0.00228796,0.22582318,0.10093545,0.06152407,0.23079917,1.81178085
-2.03201601,2.30426204,0.00001062,0.07146551,0.00238008,0.20617289,0.09958468,0.06275001,0.22999810,1.87429399
-2.02601301,2.35596739,0.00001131,0.07228241,0.00246283,0.18895121,0.09845952,0.06397905,0.22960435,1.93502556
-2.02001001,2.40600922,0.00001198,0.07308211,0.00253514,0.17402859,0.09748684,0.06516305,0.22946728,1.99258778
-2.01400700,2.45271967,0.00001261,0.07381668,0.00259613,0.16125219,0.09659261,0.06625498,0.22943430,2.04561347
-2.00800400,2.49448495,0.00001320,0.07443939,0.00264503,0.15045416,0.09570467,0.06721039,0.22935564,2.09279101
-2.00200100,2.52979035,0.00001372,0.07490639,0.00268127,0.14145978,0.09475545,0.06798872,0.22908883,2.13289786
-1.99599800,2.55726234,0.00001418,0.07517821,0.00270441,0.13409551,0.09368426,0.06855456,0.22850286,2.16483175
-1.98999500,2.57570632,0.00001455,0.07522116,0.00271424,0.12819636,0.09243927,0.06887882,0.22748174,2.18763883
-1.98399200,2.58413933,0.00001483,0.07500854,0.00271067,0.12361257,0.09097912,0.06893959,0.22592756,2.20053794
-1.97798899,2.58181650,0.00001501,0.07452155,0.00269382,0.12021523,0.08927401,0.06872287,0.22376285,2.20294031
-1.97198599,2.56825068,0.00001509,0.07374992,0.00266397,0.11790087,0.08730636,0.06822304,0.22093230,2.19446426
-1.96598299,2.54322462,0.00001507,0.07269232,0.00262156,0.11659473,0.08507096,0.06744309,0.21740371,2.17494431
-1.95997999,2.50679537,0.00001494,0.07135639,0.00256717,0.11625271,0.08257473,0.06639449,0.21316836,2.14443454
-1.95397699,2.45929073,0.00001471,0.06975846,0.00250154,0.11686200,0.07983604,0.06509694,0.20824054,2.10320594
-1.94797399,2.40129777,0.00001438,0.06792302,0.00242552,0.11844020,0.07688355,0.06357771,0.20265651,2.05173791
-1.94197099,2.33364395,0.00001396,0.06588189,0.00234008,0.12103316,0.07375490,0.06187084,0.19647281,1.99070407
-1.93596798,2.25737114,0.00001346,0.06367314,0.00224629,0.12471143,0.07049501,0.06001606,0.18976399,1.92095282
-1.92996498,2.17370350,0.00001288,0.06133984,0.00214529,0.12956544,0.06715426,0.05805752,0.18261991,1.84348327
-1.92396198,2.08401027,0.00001224,0.05892859,0.00203829,0.13569956,0.06378646,0.05604241,0.17514256,1.75941735
-1.91795898,1.98976448,0.00001155,0.05648798,0.00192653,0.14322521,0.06044692,0.05401946,0.16744261,1.66996893
-1.91195598,1.89249921,0.00001082,0.05406702,0.00181128,0.15225310,0.05719041,0.05203731,0.15963573,1.57641115
-1.90595298,1.79376256,0.00001006,0.05171349,0.00169381,0.16288500,0.05406925,0.05014297,0.15183884,1.48004291
-1.89994997,1.69507313,0.00000930,0.04947238,0.00157534,0.17520517,0.05113160,0.04838028,0.14416639,1.38215576
-1.89394697,1.59787731,0.00000853,0.04738450,0.00145707,0.18927190,0.04841989,0.04678845,0.13672673,1.28400232
-1.88794397,1.50350988,0.00000777,0.04548509,0.00134014,0.20510937,0.04596948,0.04540076,0.12961884,1.18676712
-1.88194097,1.41315930,0.00000702,0.04380278,0.00122559,0.22270026,0.04380769,0.04424346,0.12292929,1.09154095
-1.87593797,1.32783869,0.00000630,0.04235873,0.00111438,0.24197952,0.04195300,0.04333487,0.11672984,0.99929934
-1.86993497,1.24836351,0.00000562,0.04116594,0.00100734,0.26282952,0.04041470,0.04268479,0.11107541,0.91088578
-1.86393197,1.17533653,0.00000497,0.04022901,0.00090521,0.28507702,0.03919274,0.04229411,0.10600282,0.82700002
