energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
1.60580290,0.51927759,0.00455734,0.08597802,0.08090065,0.00000000,0.14852990,0.36244579
1.61180590,0.52074698,0.00459060,0.08995937,0.08212468,0.00000000,0.15261351,0.35882936
1.61780890,0.52276457,0.00464003,0.09424870,0.08351226,0.00000000,0.15751427,0.35516526
1.62381191,0.52538511,0.00471005,0.09884637,0.08509354,0.00000000,0.16332007,0.35149684
1.62981491,0.52867107,0.00480500,0.10374703,0.08689505,0.00000000,0.17011111,0.34788403
1.63581791,0.53268932,0.00492904,0.10893894,0.08893811,0.00000000,0.17795579,0.34440193
1.64182091,0.53750765,0.00508594,0.11440333,0.09123739,0.00000000,0.18690660,0.34113904
1.64782391,0.54319154,0.00527892,0.12011422,0.09379990,0.00000000,0.19699646,0.33819525
1.65382691,0.54980125,0.00551053,0.12603849,0.09662417,0.00000000,0.20823557,0.33567979
1.65982991,0.55738970,0.00578245,0.13213632,0.09969998,0.00000000,0.22060892,0.33370927
1.66583292,0.56600101,0.00609544,0.13836200,0.10300853,0.00000000,0.23407481,0.33240571
1.67183592,0.57566991,0.00644923,0.14466516,0.10652299,0.00000000,0.24856435,0.33189484
1.67783892,0.58642207,0.00684251,0.15099223,0.11020958,0.00000000,0.26398203,0.33230449
1.68384192,0.59827509,0.00727285,0.15728819,0.11402896,0.00000000,0.28020748,0.33376313
1.68984492,0.61124017,0.00773685,0.16349853,0.11793793,0.00000000,0.29709828,0.33639845
1.69584792,0.62532424,0.00823010,0.16957130,0.12189145,0.00000000,0.31449383,0.34033594
1.70185093,0.64053227,0.00874739,0.17545907,0.12584460,0.00000000,0.33222005,0.34569742
1.70785393,0.65686956,0.00928278,0.18112090,0.12975468,0.00000000,0.35009485,0.35259933
1.71385693,0.67434373,0.00982983,0.18652399,0.13358317,0.00000000,0.36793394,0.36115083
1.71985993,0.69296621,0.01038173,0.19164509,0.13729743,0.00000000,0.38555700,0.37145158
1.72586293,0.71275298,0.01093157,0.19647149,0.14087213,0.00000000,0.40279367,0.38358917
1.73186593,0.73372454,0.01147248,0.20100154,0.14429033,0.00000000,0.41948927,0.39763632
1.73786893,0.75590480,0.01199790,0.20524477,0.14754405,0.00000000,0.43550990,0.41364778
1.74387194,0.77931911,0.01250167,0.20922140,0.15063444,0.00000000,0.45074669,0.43165700
1.74987494,0.80399139,0.01297828,0.21296147,0.15357151,0.00000000,0.46511910,0.45167294
1.75587794,0.82994049,0.01342292,0.21650346,0.15637334,0.00000000,0.47857691,0.47367682
1.76188094,0.85717605,0.01383164,0.21989261,0.15906503,0.00000000,0.49110111,0.49761940
1.76788394,0.88569400,0.01420137,0.22317890,0.16167721,0.00000000,0.50270338,0.52341860
1.77388694,0.91547228,0.01452996,0.22641485,0.16424442,0.00000000,0.51342436,0.55095804
1.77988994,0.94646671,0.01481613,0.22965330,0.16680330,0.00000000,0.52333081,0.58008648
1.78589295,0.97860772,0.01505948,0.23294514,0.16939073,0.00000000,0.53251172,0.61061832
1.79189595,1.01179798,0.01526036,0.23633725,0.17204208,0.00000000,0.54107365,0.64233542
1.79789895,1.04591125,0.01541980,0.23987067,0.17478956,0.00000000,0.54913548,0.67499022
1.80390195,1.08079265,0.01553941,0.24357900,0.17766077,0.00000000,0.55682283,0.70831017
1.80990495,1.11626042,0.01562123,0.24748733,0.18067758,0.00000000,0.56426244,0.74200334
1.81590795,1.15210913,0.01566762,0.25161142,0.18385529,0.00000000,0.57157666,0.77576522
1.82191096,1.18811430,0.01568117,0.25595736,0.18720214,0.00000000,0.57887839,0.80928630
1.82791396,1.22403817,0.01566459,0.26052170,0.19071915,0.00000000,0.58626656,0.84226025
1.83391696,1.25963644,0.01562058,0.26529183,0.19440026,0.00000000,0.59382237,0.87439233
1.83991996,1.29466558,0.01555185,0.27024682,0.19823284,0.00000000,0.60160647,0.90540774
1.84592296,1.32889038,0.01546098,0.27535842,0.20219841,0.00000000,0.60965696,0.93505940
1.85192596,1.36209137,0.01535044,0.28059237,0.20627348,0.00000000,0.61798855,0.96313491
1.85792896,1.39407173,0.01522258,0.28590973,0.21043070,0.00000000,0.62659260,0.98946245
1.86393197,1.42466339,0.01507959,0.29126842,0.21463995,0.00000000,0.63543818,1.01391510
